
[00:00:00.000 --> 00:00:06.000]  今天我們要看最後的一位,也就是第六位,就是蒂摩泰。
[00:00:06.000 --> 00:00:10.000]  在蒂摩泰前書六章十一節,
[00:00:10.000 --> 00:00:14.000]  蒂摩泰前書六章十一節,
[00:00:14.000 --> 00:00:21.000]  保羅稱呼蒂摩泰是尼澤屬神的人。
[00:00:21.000 --> 00:00:25.000]  屬神的人的原文就是神人。
[00:00:25.000 --> 00:00:29.000]  這是蒂摩泰得到了一個很高的稱呼。
[00:00:29.000 --> 00:00:34.000]  蒂摩泰實在可以教導我們許多殊靈的功課。
[00:00:34.000 --> 00:00:40.000]  我們可以在兩方面從蒂摩泰身上學習殊靈的功課,
[00:00:40.000 --> 00:00:45.000]  一方面是從他個人的歷史裏面來學功課,
[00:00:45.000 --> 00:00:52.000]  另外一方面是從保羅對他的勸勉上來學功課。
[00:00:52.000 --> 00:01:00.000]  現在我們看第一方面,就是從蒂摩泰個人的歷史裏面來學功課。
[00:01:00.000 --> 00:01:07.000]  蒂摩泰從他的外祖母和他的母親接受了無爲的信心,
[00:01:07.000 --> 00:01:12.000]  就是沒有虛假的信心,也就是真實的信心。
[00:01:12.000 --> 00:01:19.000]  這是我們在蒂摩泰後書第一章第五節所看見的。
[00:01:19.000 --> 00:01:22.000]  蒂摩泰後書一章五節,
[00:01:22.000 --> 00:01:28.000]  我讀出來師徒保羅關於蒂摩泰所說的話。
[00:01:28.000 --> 00:01:33.000]  保羅這樣說:想到你心裏無爲之信,
[00:01:33.000 --> 00:01:41.000]  這信是先在你外祖母羅姨和你母親尤尼基心裏的,
[00:01:41.000 --> 00:01:45.000]  我深信也在你的心裏。
[00:01:45.000 --> 00:01:52.000]  從外祖母傳到母親,又從母親傳到兒子,
[00:01:52.000 --> 00:01:59.000]  也就真是很美麗的一幅圖畫,一個很寶貴的過程。
[00:01:59.000 --> 00:02:08.000]  我們看見在教會的家庭裏面,一代一代的得到真誠的信仰,
[00:02:08.000 --> 00:02:15.000]  從父母傳到兒女,從兒女又傳到第三代,這樣的一直傳下去。
[00:02:15.000 --> 00:02:20.000]  這是一個非常好的信仰傳統。
[00:02:20.000 --> 00:02:28.000]  家庭的信仰教育是非常基本的,非常重要的,非常寶貴的。
[00:02:28.000 --> 00:02:35.000]  這是直接的傳授,是非常無爲的信心。
[00:02:35.000 --> 00:02:44.000]  另外一方面,提瑪泰得到保祿稱讚他從小就認識了聖經的真理,
[00:02:44.000 --> 00:02:49.000]  這是記載在提瑪泰後書三章十五節裏面。
[00:02:49.000 --> 00:02:56.000]  提瑪泰後書三章十五節,我讀出來給大家聽。
[00:02:56.000 --> 00:03:07.000]  並且知道你是從小明白聖經,這聖經能使你因信基督耶穌有得救的智慧。
[00:03:07.000 --> 00:03:17.000]  聖經都是神所默示的,與教訓、督則、施人規政、教導人、學藝都是有益的,
[00:03:17.000 --> 00:03:24.000]  教熟神的人得以完全預備行各樣的善事。
[00:03:24.000 --> 00:03:35.000]  提瑪泰從小就從母親學習了神的寶貴的話語,不但學習而且明白,
[00:03:35.000 --> 00:03:42.000]  因此聖經的書靈的功效就在他的身上鮮明出來了。
[00:03:42.000 --> 00:03:49.000]  這是我們從保祿的話語中所認識的提瑪泰。
[00:03:49.000 --> 00:04:01.000]  那麼另外一方面,我們從十途行傳十六章第二節,十途行傳第十六章第二節看見,
[00:04:01.000 --> 00:04:08.000]  提瑪泰得到了許許多多的信徒的稱讚。
[00:04:08.000 --> 00:04:15.000]  當時在兩個城市裏面都得到了這樣的稱讚。
[00:04:15.000 --> 00:04:23.000]  記載在十途行傳十六章的第二節,我讀出來給大家聽,
[00:04:23.000 --> 00:04:28.000]  路斯德和伊格唸的弟兄都稱讚他。
[00:04:28.000 --> 00:04:34.000]  這是不容易的一件事,得到所有的信徒的稱讚,
[00:04:34.000 --> 00:04:40.000]  這就是說他在一般人的心目中留下一個很好的印象。
