
[00:00:00.000 --> 00:00:03.000]  教科書第十章第25節提及的
[00:00:03.000 --> 00:00:06.000]  是耶穌基督所講述的一個比喻
[00:00:06.000 --> 00:00:09.000]  一個很撒瑪利亞人的比喻
[00:00:09.000 --> 00:00:13.000]  相信大家以前都曾經讀過這個比喻
[00:00:13.000 --> 00:00:16.000]  也可以說是在歷世歷代
[00:00:16.000 --> 00:00:19.000]  眾聖徒是不斷講述的
[00:00:19.000 --> 00:00:23.000]  宗教會不斷傳述的一個重要的比喻
[00:00:23.000 --> 00:00:26.000]  這個比喻是說每一個屬神的人
[00:00:26.000 --> 00:00:30.000]  應當學校主他憐憫人的榜樣
[00:00:30.000 --> 00:00:33.000]  同時這個榜樣這個比喻
[00:00:33.000 --> 00:00:36.000]  很明顯是對著很多的祭司
[00:00:36.000 --> 00:00:39.000]  尼美人律法師所講的
[00:00:39.000 --> 00:00:41.000]  或者按照我們今天所用的名詞
[00:00:41.000 --> 00:00:44.000]  是對著今天很多教會的領袖
[00:00:44.000 --> 00:00:46.000]  牧師傳道所講的
[00:00:46.000 --> 00:00:50.000]  因此很多時候當牧師傳道講一段經文的時候
[00:00:50.000 --> 00:00:52.000]  都是戰戰兢兢
[00:00:52.000 --> 00:00:55.000]  因為我們知道聖經所講的
[00:00:55.000 --> 00:00:57.000]  不單叫我們明白真理
[00:00:57.000 --> 00:01:02.000]  而是呼喚我們提醒我們能夠實行真理
[00:01:02.000 --> 00:01:06.000]  無論講的人聽的人都要留心
[00:01:06.000 --> 00:01:10.000]  怎樣能夠讓領袖的行在生活當中
[00:01:10.000 --> 00:01:12.000]  因此我們帶著一份恭敬的心
[00:01:12.000 --> 00:01:15.000]  來到一起思想這一段經文
[00:01:15.000 --> 00:01:17.000]  在開始的時候提到一位律法師
[00:01:17.000 --> 00:01:21.000]  很明顯他有些錯誤對真理的了解
[00:01:21.000 --> 00:01:24.000]  在第25節
[00:01:24.000 --> 00:01:27.000]  有一個律法師起來試探耶穌說
[00:01:27.000 --> 00:01:32.000]  老師我應該作什麼才可以承受永生呢?
[00:01:32.000 --> 00:01:34.000]  當時可能耶穌和一群朋友
[00:01:34.000 --> 00:01:37.000]  一群門徒講述真理
[00:01:37.000 --> 00:01:41.000]  當時一般都會坐下來聽老師的教導
[00:01:41.000 --> 00:01:44.000]  在那時候突然間一位律法師站起來
[00:01:44.000 --> 00:01:46.000]  他想問一個問題
[00:01:46.000 --> 00:01:48.000]  但不是出於真誠的尋問
[00:01:48.000 --> 00:01:51.000]  而是想試探耶穌
[00:01:51.000 --> 00:01:53.000]  在當中他就問
[00:01:53.000 --> 00:01:59.000]  人是否可以做一些事情就承受永生呢?
[00:01:59.000 --> 00:02:01.000]  所問的問題含義就是
[00:02:01.000 --> 00:02:07.000]  我做一些善行就可以賺取到永生
[00:02:07.000 --> 00:02:09.000]  也意味著他以為
[00:02:09.000 --> 00:02:12.000]  人可以憑著行為得救
[00:02:12.000 --> 00:02:14.000]  以為我只要積一點功德
[00:02:14.000 --> 00:02:17.000]  就有資格得到永生
[00:02:17.000 --> 00:02:19.000]  耶穌沒有直接回答他的問題
[00:02:19.000 --> 00:02:20.000]  只是詢問他
[00:02:20.000 --> 00:02:24.000]  你既然是律法師你的意思如何呢?
[00:02:24.000 --> 00:02:27.000]  這位律法師就按照他對律法的了解
[00:02:27.000 --> 00:02:29.000]  就說27節
[00:02:29.000 --> 00:02:32.000]  他回答你要全心全性
[00:02:32.000 --> 00:02:35.000]  全力全意愛主你的神
[00:02:35.000 --> 00:02:39.000]  並要愛倫社如同自己
[00:02:39.000 --> 00:02:41.000]  他很清楚舊約律法的真義
[00:02:41.000 --> 00:02:44.000]  將其中的精髓講出來
[00:02:44.000 --> 00:02:47.000]  因此耶穌聽完之後就讚賞他
[00:02:47.000 --> 00:02:50.000]  就說你答得對
[00:02:50.000 --> 00:02:52.000]  然後耶穌說
[00:02:52.000 --> 00:02:56.000]  你這樣行就必得永生
[00:02:56.000 --> 00:02:58.000]  必得生命
[00:02:58.000 --> 00:02:59.000]  同樣耶穌說
[00:02:59.000 --> 00:03:02.000]  如果你能夠走出來就必得生命
[00:03:02.000 --> 00:03:03.000]  耶穌並不是說
[00:03:03.000 --> 00:03:07.000]  你有善行就能夠得永生
[00:03:07.000 --> 00:03:09.000]  其實內宗的含義是說
[00:03:09.000 --> 00:03:12.000]  如果你真的能夠走出來
[00:03:12.000 --> 00:03:15.000]  你就得到生命
[00:03:15.000 --> 00:03:20.000]  也意味著人不能靠自己走出來
[00:03:20.000 --> 00:03:23.000]  人做不到這件事情
[00:03:23.000 --> 00:03:25.000]  其實大家都會很明白
[00:03:25.000 --> 00:03:28.000]  我們每個人如果不是經歷過
[00:03:28.000 --> 00:03:30.000]  主耶穌愛的救贖
[00:03:30.000 --> 00:03:32.000]  祂拯救我們
[00:03:32.000 --> 00:03:35.000]  我們不會懂得去愛神
[00:03:35.000 --> 00:03:37.000]  因此你記得《約翰一書》第四章提及
[00:03:37.000 --> 00:03:43.000]  我們愛人是因為神先愛我們
[00:03:43.000 --> 00:03:46.000]  我們經歷過主耶穌給我們救贖的大愛
[00:03:46.000 --> 00:03:48.000]  所以我們懂得去回應神的愛
[00:03:48.000 --> 00:03:50.000]  去愛神
[00:03:50.000 --> 00:03:51.000]  而愛神的人
[00:03:51.000 --> 00:03:54.000]  很自然他就會去愛人
[00:03:54.000 --> 00:03:55.000]  所以聖經說
