
[00:00:00.000 --> 00:00:02.000]  好,請姐妹平安
[00:00:02.000 --> 00:00:08.000]  很多時候我們都會說一句話
[00:00:08.000 --> 00:00:11.000]  人在心不在
[00:00:11.000 --> 00:00:15.000]  在什麼情況會見呢?
[00:00:15.000 --> 00:00:18.000]  去家裡吃飯,或者
[00:00:18.000 --> 00:00:22.000]  或者什麼?那個叫做
[00:00:22.000 --> 00:00:24.000]  走漏
[00:00:24.000 --> 00:00:26.000]  走漏,想不起來怎麼說
[00:00:28.000 --> 00:00:35.000]  見到現象是一起吃飯,不過就各自看自己的手機
[00:00:35.000 --> 00:00:43.000]  Stin 讚揚我們香港人的特性,是很多功能的
[00:00:43.000 --> 00:00:46.000]  每時每刻都在做超過一件事
[00:00:46.000 --> 00:00:49.000]  可能在吃飯就要處理很多事情
[00:00:49.000 --> 00:00:55.000]  不過回想早幾年我們在疫情的相反現象
[00:00:56.000 --> 00:00:59.000]  我們因為各自隔離了
[00:00:59.000 --> 00:01:03.000]  很難約人吃飯,就唯有一個人拿著自己的飯盒
[00:01:03.000 --> 00:01:07.000]  在視像一起吃飯,很奇怪
[00:01:07.000 --> 00:01:11.000]  你今天吃什麼?我吃腸蛋飯,你那碗呢?
[00:01:11.000 --> 00:01:14.000]  看著視像
[00:01:14.000 --> 00:01:19.000]  但所謂復常就沒有了
[00:01:19.000 --> 00:01:22.000]  反而各自忙碌
[00:01:22.000 --> 00:01:25.000]  很多有趣的現象
[00:01:25.000 --> 00:01:29.000]  不正常反而我們有正常的關係
[00:01:29.000 --> 00:01:32.000]  不知道是怎樣的現象
[00:01:32.000 --> 00:01:35.000]  所以人在心在
[00:01:35.000 --> 00:01:40.000]  人容易被太多東西分散注意力
[00:01:40.000 --> 00:01:44.000]  或者把重點放在我自己那裡
[00:01:44.000 --> 00:01:47.000]  有時一個狀況是這樣
[00:01:47.000 --> 00:01:51.000]  忙碌,失去了自我,忽略了
[00:01:52.000 --> 00:01:55.000]  忽略了可能一直在傳道書
[00:01:55.000 --> 00:01:59.000]  你的墳你可以享受,但我們太忙碌,聚焦了另一件事
[00:01:59.000 --> 00:02:03.000]  所以同台吃飯以前有句說話
[00:02:03.000 --> 00:02:06.000]  各自手行,各自守機
[00:02:06.000 --> 00:02:09.000]  人在心在不在呢?
[00:02:09.000 --> 00:02:12.000]  透過我們人生的旅程
[00:02:12.000 --> 00:02:16.000]  人在,未死就在
[00:02:16.000 --> 00:02:19.000]  心在不在呢?在不在神那裡
[00:02:20.000 --> 00:02:22.000]  在不在你和我的生命裡呢?
[00:02:22.000 --> 00:02:28.000]  所以今天去到第九章一開始
[00:02:28.000 --> 00:02:31.000]  說到人在和心在
[00:02:31.000 --> 00:02:34.000]  人在,人生是變化莫測的
[00:02:34.000 --> 00:02:37.000]  這個不需要太多解釋,經文很直接
[00:02:37.000 --> 00:02:39.000]  他將一切事放在心上
[00:02:39.000 --> 00:02:42.000]  詳細考察就知道
[00:02:42.000 --> 00:02:44.000]  二人和智慧人並他們
[00:02:44.000 --> 00:02:49.000]  作為在神手中,或是愛或是恨都在他們面前
[00:02:49.000 --> 00:02:51.000]  最重要是人不能知道
[00:02:51.000 --> 00:02:56.000]  原來他很清楚明白理解
[00:02:56.000 --> 00:02:59.000]  沒有人能夠預知你所有的遭遇
[00:02:59.000 --> 00:03:04.000]  延續第八章十六十七節說過
[00:03:04.000 --> 00:03:07.000]  變化莫測,當然你說有計劃
[00:03:07.000 --> 00:03:09.000]  我可以預計到,可以做到
[00:03:09.000 --> 00:03:14.000]  但有時都會發現有變化莫測的事
