
[00:00:00.000 --> 00:00:05.000]  我們揭開第三頁的講演
[00:00:05.000 --> 00:00:08.000]  幾位靈修學者都看到
[00:00:08.000 --> 00:00:11.000]  剛才那幾句話
[00:00:11.000 --> 00:00:14.000]  第二節下半節就說
[00:00:14.000 --> 00:00:16.000]  願你的熱愛
[00:00:16.000 --> 00:00:19.000]  因為你的熱愛比酒更美
[00:00:19.000 --> 00:00:23.000]  中文翻譯其實新譯本已經翻得很好
[00:00:23.000 --> 00:00:25.000]  但這裡翻得不對
[00:00:25.000 --> 00:00:29.000]  熱愛其實原文的意思不只是熱愛
[00:00:29.000 --> 00:00:32.000]  是苦魔
[00:00:32.000 --> 00:00:35.000]  願你的苦魔
[00:00:35.000 --> 00:00:39.000]  因為你的苦魔比酒更美
[00:00:39.000 --> 00:00:43.000]  你的香的膏油
[00:00:43.000 --> 00:00:45.000]  香氣芬芳
[00:00:45.000 --> 00:00:47.000]  第三樣
[00:00:47.000 --> 00:00:53.000]  你的名字好像倒出來的滋潤膏油
[00:00:53.000 --> 00:00:56.000]  這裡有三樣形容詞
[00:00:56.000 --> 00:00:59.000]  有靈修學者說
[00:00:59.000 --> 00:01:08.000]  這代表了一個和神最親切的禱告三種感受
[00:01:08.000 --> 00:01:11.000]  什麼叫做正觀禱告
[00:01:11.000 --> 00:01:14.000]  我們不說很複雜的學術問題
[00:01:14.000 --> 00:01:17.000]  正觀禱告就是為了禱告而禱告
[00:01:17.000 --> 00:01:20.000]  為了親近神而親近神
[00:01:20.000 --> 00:01:22.000]  不是那些行禱
[00:01:22.000 --> 00:01:24.000]  也不只是公禱
[00:01:24.000 --> 00:01:26.000]  公禱不是不好
[00:01:26.000 --> 00:01:28.000]  是為了其他人一起而祈禱
[00:01:28.000 --> 00:01:30.000]  也不是那些行禱式的
[00:01:30.000 --> 00:01:32.000]  自己不知道自己在祈禱什麼
[00:01:32.000 --> 00:01:34.000]  不過不祈禱就不好意思
[00:01:34.000 --> 00:01:36.000]  下午吃飯的時候
[00:01:36.000 --> 00:01:38.000]  同事看著就不好意思
[00:01:38.000 --> 00:01:40.000]  不祈禱就不好意思
[00:01:40.000 --> 00:01:42.000]  搓搓額頭就算祈禱完了
[00:01:42.000 --> 00:01:46.000]  主多謝下午給我吃飯
[00:01:46.000 --> 00:01:48.000]  那些叫做行禱祈禱
[00:01:48.000 --> 00:01:50.000]  或者臨睡很累的時候
[00:01:50.000 --> 00:01:52.000]  主今天又不好了不好意思
[00:01:52.000 --> 00:01:54.000]  不知道自己在說什麼凝聚
[00:01:54.000 --> 00:01:56.000]  不知道自己在說什麼感謝
[00:01:56.000 --> 00:01:58.000]  這類就是行禱式的祈禱
[00:01:58.000 --> 00:02:02.000]  也不是那些公利式的祈禱
[00:02:02.000 --> 00:02:04.000]  有所求才來到神的面前
[00:02:04.000 --> 00:02:06.000]  一開口第一句就主求你什麼什麼
[00:02:06.000 --> 00:02:08.000]  那些
[00:02:08.000 --> 00:02:10.000]  正觀的祈禱就是沒有任何其他的原因
[00:02:10.000 --> 00:02:16.000]  沒有任何其他的公利的關係
[00:02:16.000 --> 00:02:18.000]  只是為了親近神而親近神那種
[00:02:18.000 --> 00:02:20.000]  為了愛神而來到神的面前
[00:02:20.000 --> 00:02:22.000]  與神聊天的那種祈禱
[00:02:22.000 --> 00:02:24.000]  OK
