
[00:00:00.000 --> 00:00:03.520]  今日的題目福音是一份愛惜,將來式的禮物
[00:00:03.520 --> 00:00:04.520]  說什麼呢?
[00:00:04.520 --> 00:00:10.360]  如果說地圖是一份禮物,為什麼呢?
[00:00:10.360 --> 00:00:11.880]  有這個地方
[00:00:11.880 --> 00:00:16.560]  其實土地在聖經特別是舊約裡面
[00:00:16.560 --> 00:00:19.560]  很多主題都有意思
[00:00:19.560 --> 00:00:22.200]  跟過去有關
[00:00:22.200 --> 00:00:24.360]  為什麼呢?稍後再說
[00:00:24.360 --> 00:00:31.920]  很多電影劇集都有題目是講科幻一點的
[00:00:31.920 --> 00:00:35.200]  回到未來、過去、穿越
[00:00:35.200 --> 00:00:38.520]  為什麼會有些除了有趣之外
[00:00:38.520 --> 00:00:41.840]  就是因為活在現今的人
[00:00:41.840 --> 00:00:46.280]  受到過去影響或者會想像未來
[00:00:46.280 --> 00:00:49.200]  所以彼此緊扣關係
[00:00:49.200 --> 00:00:53.280]  而在聖經裡面出現了過去和將來主題
[00:00:53.280 --> 00:00:56.600]  過去就是土地
[00:00:56.600 --> 00:00:58.920]  將來是關於生育
[00:00:58.920 --> 00:01:02.840]  這兩個題目其實都是一個題目
[00:01:02.840 --> 00:01:04.040]  什麼意思呢?
[00:01:04.040 --> 00:01:09.920]  其實土地、生育是關乎你的身份、使命和成全
[00:01:09.920 --> 00:01:11.760]  過去、現在、將來有關係
[00:01:11.760 --> 00:01:14.120]  土地是關於過去
[00:01:14.120 --> 00:01:18.880]  每個地方都有它的歷史、發展、傳統
[00:01:18.880 --> 00:01:22.800]  有個說法我今早問九點崇拜的頂展會
[00:01:22.800 --> 00:01:24.800]  有些是頭上有些是頭下
[00:01:24.800 --> 00:01:28.120]  有些住在港島
[00:01:28.120 --> 00:01:29.640]  有些可能不是住在港島
[00:01:29.640 --> 00:01:31.440]  我其實在九龍長大的
[00:01:31.440 --> 00:01:36.880]  後來才搬來鴨脷洲
[00:01:36.880 --> 00:01:40.200]  我住在鴨脷洲即是港島區
[00:01:40.200 --> 00:01:42.880]  偶爾有人跟他聊天
[00:01:42.880 --> 00:01:44.160]  你住在港島嗎?
[00:01:44.160 --> 00:01:45.880]  你們比較有錢
[00:01:45.880 --> 00:01:49.120]  認不認同?
[00:01:49.120 --> 00:01:53.480]  有些是這樣
[00:01:53.480 --> 00:01:56.480]  九點也是這樣
[00:01:56.480 --> 00:01:59.280]  你們什麼角度呢?
[00:01:59.280 --> 00:02:01.000]  港島沒有窮人嗎?
[00:02:01.000 --> 00:02:06.000]  的確某些地區可能會貧窮一點
[00:02:06.000 --> 00:02:07.720]  平均來說
[00:02:07.720 --> 00:02:09.320]  我都不懂怎樣回答
[00:02:09.320 --> 00:02:10.120]  通常人們會說
[00:02:10.120 --> 00:02:12.360]  你住在港島,你們比較有錢
[00:02:12.360 --> 00:02:17.800]  原來你住的地方有它的歷史、發展和特色
[00:02:17.800 --> 00:02:22.800]  富貴一點、貧窮一點的國家地區
[00:02:22.800 --> 00:02:25.600]  有不同的配套、地積比例
[00:02:25.600 --> 00:02:27.320]  或者學校網
[00:02:27.320 --> 00:02:29.080]  我們現實一點來說
[00:02:29.080 --> 00:02:31.760]  都會影響那個地區
[00:02:31.760 --> 00:02:33.680]  可能你住在那裡都會覺得
[00:02:33.680 --> 00:02:37.920]  我是被賦予一種身份、認同角色
