
[00:00:00.000 --> 00:00:04.000]  感謝神的恩典讓我和弟兄姊妹分享聖經的信息
[00:00:04.000 --> 00:00:06.800]  經過禱告和思考
[00:00:06.800 --> 00:00:09.200]  我決定今天講到的題目是
[00:00:09.200 --> 00:00:13.600]  「聆聽分析合宜的表達立場」
[00:00:13.600 --> 00:00:17.200]  講道經文就是《雅各書》第一章十八到二十節
[00:00:17.200 --> 00:00:20.000]  我會將講道分三個部分
[00:00:20.000 --> 00:00:22.800]  第一部分是客觀的去聆聽
[00:00:22.800 --> 00:00:25.600]  第二部分是中肯的分析
[00:00:25.600 --> 00:00:29.400]  第三部分是合宜地表達立場
[00:00:29.400 --> 00:00:32.000]  剛才經文已經讀過了
[00:00:32.000 --> 00:00:34.600]  其實最近幾個月
[00:00:34.600 --> 00:00:38.800]  我們香港人的內心都是很沉重的
[00:00:38.800 --> 00:00:43.400]  有人自殺、失望、絕望的情緒
[00:00:43.400 --> 00:00:46.000]  是影響著很多人的
[00:00:46.000 --> 00:00:48.400]  目者和信徒領袖的責任
[00:00:48.400 --> 00:00:51.400]  是要將人帶到神的面前
[00:00:51.400 --> 00:00:55.200]  但是很多時候我們很多同道都不知道
[00:00:55.200 --> 00:00:58.400]  應該講些甚麼或者做些甚麼
[00:00:58.400 --> 00:01:01.800]  有些同道講了一些意見、做了一些事
[00:01:01.800 --> 00:01:04.400]  就會被其他的同道反對
[00:01:04.400 --> 00:01:08.800]  究竟我們怎樣去分辨是非對錯呢?
[00:01:08.800 --> 00:01:12.600]  我所見所聞的個案都不少
[00:01:12.600 --> 00:01:14.200]  很難一概而論
[00:01:14.200 --> 00:01:18.000]  不過《雅各書》一章十八到二十節講了一個原則
[00:01:18.000 --> 00:01:22.000]  就是我們首先要謙卑在神的面前
[00:01:22.000 --> 00:01:24.000]  聆聽神的話
[00:01:24.000 --> 00:01:26.600]  客觀的分析不同的意見
[00:01:26.600 --> 00:01:29.800]  讓聖靈去檢查我們自己的想法
[00:01:29.800 --> 00:01:31.600]  找出我們自己的立場
[00:01:31.600 --> 00:01:33.400]  每個人都可以不同的
[00:01:33.400 --> 00:01:36.200]  同時我們要尊重其他人的看法
[00:01:36.200 --> 00:01:40.200]  還有在家庭、在家族的圈裏面
[00:01:40.200 --> 00:01:42.200]  你要保持你自己
[00:01:42.200 --> 00:01:45.200]  同時你又保持一個和諧的關係
[00:01:45.200 --> 00:01:46.800]  在工作的環境
[00:01:46.800 --> 00:01:48.600]  你又要保持你自己
[00:01:48.600 --> 00:01:51.600]  又要保持同事和諧的關係
[00:01:51.600 --> 00:01:53.200]  在教會裏面
[00:01:53.200 --> 00:01:54.800]  你又要保持你自己
[00:01:54.800 --> 00:01:58.400]  又要和其他人和諧的關係
[00:01:58.400 --> 00:02:00.800]  如果遇到關於聖經真理的問題
[00:02:00.800 --> 00:02:02.800]  那應該怎樣處理呢?
[00:02:02.800 --> 00:02:05.400]  如果你有看我的Facebook的頻道
[00:02:05.400 --> 00:02:07.600]  其實都有很多人在裏面的了
[00:02:07.600 --> 00:02:09.200]  都應該知道我
[00:02:09.200 --> 00:02:14.400]  將支持和反對修訂逃犯條例的法律意見發放
[00:02:14.400 --> 00:02:18.400]  又將關於612事件的各種片段比較
[00:02:18.400 --> 00:02:21.000]  又有信仰反省的資料
[00:02:21.000 --> 00:02:24.400]  我一直用客觀的態度對待不同的觀點
[00:02:24.400 --> 00:02:26.000]  中肯地去分析
[00:02:26.000 --> 00:02:30.200]  鼓勵不同的立場的對比
[00:02:30.200 --> 00:02:33.200]  盡可能去對話達致和解
[00:02:33.200 --> 00:02:38.400]  在七一有示威者衝入了立法會大樓的時候
