
[00:00:00.000 --> 00:00:05.500]  在那個時刻,我整個人都崩潰
[00:00:05.500 --> 00:00:10.500]  我覺得我自己的情緒崩潰
[00:00:10.500 --> 00:00:12.500]  我的理智也崩潰
[00:00:12.500 --> 00:00:15.500]  甚至我的信仰也崩潰
[00:00:15.500 --> 00:00:23.500]  剛好有一個好朋友帶著他的女兒來探望我
[00:00:23.500 --> 00:00:26.500]  我不理那麼多
[00:00:27.000 --> 00:00:31.000]  我跟他說:你想辦法看著他們兩個
[00:00:31.000 --> 00:00:33.000]  我現在要走出去一會兒
[00:00:33.000 --> 00:00:39.000]  於是我不理他,也不理他能不能看著兩個女兒
[00:00:39.000 --> 00:00:43.000]  我自己一個人離開了家裡
[00:00:43.000 --> 00:00:47.500]  那天我整天在街上流蕩
[00:00:47.500 --> 00:00:50.500]  我自己也不知道自己走到哪裡去了
[00:00:50.500 --> 00:00:54.500]  一直向前走,一路走,一路走
[00:00:56.500 --> 00:01:02.000]  我腦裡只想著一個問題
[00:01:02.000 --> 00:01:06.000]  那個問題就是
[00:01:06.000 --> 00:01:11.000]  如果我不再做基督徒
[00:01:11.000 --> 00:01:16.000]  我可以改行做什麼職業?
[00:01:16.000 --> 00:01:24.000]  這個問題的背後有很多痛苦
[00:01:24.500 --> 00:01:28.000]  很多掙扎,很多憤憤不平
[00:01:28.000 --> 00:01:33.000]  我心裡不能夠制止我對神的不平
[00:01:33.000 --> 00:01:38.000]  我心裡對神說:如果你想我侍奉你
[00:01:38.000 --> 00:01:40.000]  我很願意
[00:01:40.000 --> 00:01:46.000]  但起碼你給我一個稍微正常一點的家庭
[00:01:46.000 --> 00:01:54.000]  那我才可以有時間,有精神,有情緒為你工作
[00:01:55.000 --> 00:01:57.500]  現在你連一個這樣的家庭都給不了我
[00:01:57.500 --> 00:02:01.500]  你怎麼可以要求我繼續去廣道
[00:02:01.500 --> 00:02:05.500]  去寫作,去教學生,去侍奉你呢?
[00:02:05.500 --> 00:02:12.500]  那天這個問題就一直在我腦裡打轉
[00:02:12.500 --> 00:02:15.500]  我一路走,一路想這個問題
[00:02:15.500 --> 00:02:18.500]  其實這是一個很可怕的問題
[00:02:18.500 --> 00:02:21.500]  你留意到這個問題
[00:02:22.000 --> 00:02:26.500]  不單是問我究竟侍奉神還是不再侍奉神
[00:02:26.500 --> 00:02:31.500]  甚至不是問我究竟再做不做基督徒
[00:02:31.500 --> 00:02:35.500]  而我是問如果我不做基督徒
[00:02:35.500 --> 00:02:38.500]  那我可以做哪一行好呢?
[00:02:38.500 --> 00:02:45.500]  不如我改行去教書,去教大學,去教哲學
[00:02:45.500 --> 00:02:50.500]  甚至重新回去物理那一行
[00:02:51.500 --> 00:02:54.000]  當我這樣問的時候
[00:02:54.000 --> 00:02:58.000]  其實我心底裡都感覺到一種寒氣
[00:02:58.000 --> 00:03:01.000]  我知道在那個時刻
[00:03:01.000 --> 00:03:05.000]  是我信仰面臨最大的考驗的時刻
[00:03:05.000 --> 00:03:15.000]  最後我一路走,一路走,走到尖沙咀
[00:03:15.000 --> 00:03:18.000]  我找了一間很靜的餐廳
[00:03:18.500 --> 00:03:24.000]  坐下來,窗口對著維多利亞港的海岸
[00:03:24.000 --> 00:03:28.000]  我就坐在那裡
[00:03:28.000 --> 00:03:35.000]  我要解決這個信心最大的危機
[00:03:35.000 --> 00:03:39.000]  或者我現在就告訴你
[00:03:39.000 --> 00:03:44.000]  那一天,在我的思想,在我的掙扎當中
[00:03:44.500 --> 00:03:50.000]  怎樣突破這個信心的危機
[00:03:50.000 --> 00:03:54.000]  我記得那一天
[00:03:54.000 --> 00:04:01.000]  我就從信仰的三個時間的向度
[00:04:01.000 --> 00:04:05.000]  去重新支撐自己的信心
[00:04:05.000 --> 00:04:09.000]  所謂三個時間的向度
[00:04:09.000 --> 00:04:13.000]  是表示自己信心的回顧
[00:04:14.000 --> 00:04:16.500]  當下的信心
[00:04:16.500 --> 00:04:20.500]  和面對將來的勇氣
[00:04:20.500 --> 00:04:23.500]  是向後看
[00:04:23.500 --> 00:04:26.500]  向現在看
[00:04:26.500 --> 00:04:28.500]  和向將來看
[00:04:28.500 --> 00:04:33.500]  或者我要詳細解釋一下這三方面
[00:04:33.500 --> 00:04:38.500]  怎樣可以將我從一個信心的危機當中
[00:04:38.500 --> 00:04:41.500]  挽救回來
[00:04:42.500 --> 00:04:48.000]  首先是一個回顧的信心
[00:04:48.000 --> 00:04:54.000]  我坐在那裡的時候
[00:04:54.000 --> 00:04:57.000]  我就問我自己一個問題
[00:04:57.000 --> 00:05:00.000]  我要回想
[00:05:00.000 --> 00:05:06.000]  究竟在我以往對神的了解
[00:05:06.000 --> 00:05:09.000]  我以往做基督徒的經歷當中
[00:05:09.500 --> 00:05:14.000]  有沒有什麼可以幫助我現在
[00:05:14.000 --> 00:05:19.000]  所面對這種信心的崩潰的危機呢?
[00:05:19.000 --> 00:05:26.000]  於是我就回顧自己生命歷史當中
[00:05:26.000 --> 00:05:29.000]  究竟發生過什麼事
[00:05:29.000 --> 00:05:32.000]  我逼我自己去想
[00:05:32.000 --> 00:05:34.000]  逼我自己從1968年我信耶穌
[00:05:34.000 --> 00:05:36.000]  一直到那時候
[00:05:36.000 --> 00:05:38.000]  這十幾年的當中
[00:05:38.500 --> 00:05:41.000]  我要問自己一個問題
[00:05:41.000 --> 00:05:46.000]  究竟一件一件
[00:05:46.000 --> 00:05:48.000]  所發生在我生命裡的事
[00:05:48.000 --> 00:05:51.000]  一次又一次
[00:05:51.000 --> 00:05:54.000]  我與神很深入的交通
[00:05:54.000 --> 00:05:57.000]  體會神很奇妙的帶領
