
[00:00:00.000 --> 00:00:07.500]  我們來到門徒性格的第二段
[00:00:07.500 --> 00:00:10.500]  就是門徒的經歷
[00:00:10.500 --> 00:00:16.000]  我們要看三位門徒的方樣
[00:00:16.000 --> 00:00:19.500]  彼得、約翰、保羅
[00:00:19.500 --> 00:00:23.500]  彼得是使徒的領袖
[00:00:23.500 --> 00:00:26.500]  可以說是大使徒
[00:00:27.300 --> 00:00:31.300]  約翰是主所愛的那門徒
[00:00:31.300 --> 00:00:37.100]  保羅是主親自地檢選
[00:00:37.100 --> 00:00:42.300]  無上猶大的第十二位的使徒
[00:00:42.300 --> 00:00:46.300]  他自己說是使徒中最小的
[00:00:46.300 --> 00:00:52.300]  但是他對於神的家的貢獻
[00:00:52.300 --> 00:00:54.300]  卻是最大的
[00:00:55.100 --> 00:00:59.800]  所以這三位都是有特點的門徒
[00:00:59.800 --> 00:01:03.800]  彼得、約翰、保羅
[00:01:03.800 --> 00:01:08.800]  他們的方樣是標準的方樣
[00:01:08.800 --> 00:01:13.800]  有豐富的學習的內容
[00:01:13.800 --> 00:01:16.800]  我們看見這三位門徒
[00:01:16.800 --> 00:01:19.800]  實在是讓我們羨慕
[00:01:19.800 --> 00:01:22.800]  他們的方樣使我們感動
[00:01:23.300 --> 00:01:29.800]  也常常使我們好像對著鏡子看見自己
[00:01:29.800 --> 00:01:35.800]  從他們身上領悟許多門徒的功課
[00:01:35.800 --> 00:01:41.300]  現在就開始看彼得
[00:01:41.300 --> 00:01:44.800]  他自己所學的功課
[00:01:44.800 --> 00:01:48.300]  有十個基本的功課
[00:01:49.300 --> 00:01:55.300]  他學習的過程是記載在四複印裏面
[00:01:55.300 --> 00:02:02.800]  而他學到的成果是反映在他所寫的書信裏面
[00:02:02.800 --> 00:02:07.300]  所以我們看見他如何的學習
[00:02:07.300 --> 00:02:10.300]  學習的處境是怎麼樣
[00:02:10.300 --> 00:02:13.800]  然後看見他學會了以後
[00:02:13.800 --> 00:02:18.300]  變成他的信息在他的書信裏頭
[00:02:18.800 --> 00:02:24.300]  傳講出來讓收信人得到幫助
[00:02:24.300 --> 00:02:30.300]  這十個功課每一個都是很基本的
[00:02:30.300 --> 00:02:32.300]  很重要的
[00:02:32.300 --> 00:02:36.300]  也是普遍性的寶貴
[00:02:36.300 --> 00:02:43.300]  我們每一個做出門徒的人必須學習的
[00:02:44.800 --> 00:02:51.300]  第一個功課就是僕人心態的功課
[00:02:51.300 --> 00:02:55.800]  主耶穌呼召人做門徒
[00:02:55.800 --> 00:03:01.300]  每一個門徒必須有僕人的心態
[00:03:01.300 --> 00:03:03.800]  才能去服侍人
[00:03:03.800 --> 00:03:06.300]  才能被主所用
[00:03:06.300 --> 00:03:08.300]  才能謙卑
[00:03:09.300 --> 00:03:16.300]  這樣的僕人心態是我們成為有用的門徒的基本條件
[00:03:16.300 --> 00:03:22.300]  那我們在三個複印書裏頭
[00:03:22.300 --> 00:03:26.300]  《路加福音》、《馬太福音》的兩個複印書裏頭
[00:03:26.300 --> 00:03:30.300]  對不起再加上《約翰福音》
[00:03:30.300 --> 00:03:32.300]  三個複印書裏頭
[00:03:32.300 --> 00:03:38.300]  我們看見彼得和其他的門徒
[00:03:38.800 --> 00:03:41.800]  如何地學這個功課
[00:03:41.800 --> 00:03:48.300]  他們從要爭誰偉大的心態
[00:03:48.300 --> 00:03:51.300]  變成僕人的心態
[00:03:51.300 --> 00:03:57.800]  這個過程非常的重要
[00:03:57.800 --> 00:03:59.300]  值得我們注意
[00:03:59.300 --> 00:04:03.300]  在這複印書裏頭
[00:04:04.300 --> 00:04:08.800]  三次記載他們爭論誰偉大
[00:04:08.800 --> 00:04:13.300]  我們把這三次的經文來看一看
[00:04:13.300 --> 00:04:18.300]  先看《路加福音》九章四十六節
[00:04:18.300 --> 00:04:23.300]  《路加福音》第九章四十六節
[00:04:23.300 --> 00:04:27.300]  門徒中間起了議論
[00:04:27.300 --> 00:04:30.300]  誰將偉大
[00:04:31.300 --> 00:04:35.300]  那麼什麼時候他們這樣爭論呢
[00:04:35.300 --> 00:04:40.300]  我們看第四十四節
[00:04:40.300 --> 00:04:44.300]  你們要把這些話存在耳中
[00:04:44.300 --> 00:04:48.300]  因為人子將要被交在人手裏
[00:04:48.300 --> 00:04:55.300]  主心中所想的是他要犧牲自己
[00:04:55.300 --> 00:04:57.300]  要上世之家
[00:04:57.300 --> 00:04:59.800]  要成為贖罪祭
[00:05:00.300 --> 00:05:05.300]  要做最卑微的罪犯
[00:05:05.300 --> 00:05:09.300]  當主耶穌這樣告訴他們的時候
[00:05:09.300 --> 00:05:12.800]  他們的心不能完全明白
[00:05:12.800 --> 00:05:15.300]  在這樣的一個時刻
[00:05:15.300 --> 00:05:17.300]  他們的表現
[00:05:17.300 --> 00:05:19.300]  他們所求所想的
[00:05:19.300 --> 00:05:24.300]  剛剛和主的心一百八十度的分裂
[00:05:24.300 --> 00:05:26.300]  背道而馳
[00:05:26.300 --> 00:05:28.300]  相反的方向
[00:05:28.300 --> 00:05:31.300]  就在這個時候四十六節
[00:05:31.300 --> 00:05:34.300]  說門徒中間起了議論
[00:05:34.300 --> 00:05:36.300]  誰將偉大
[00:05:36.300 --> 00:05:40.300]  你看他們的心態和主的心態
[00:05:40.300 --> 00:05:42.300]  真是一個強烈的對比
[00:05:42.300 --> 00:05:47.300]  當主聽見他們這樣做的時候
