
[00:00:00.000 --> 00:00:02.500]  聖經無誤
[00:00:02.500 --> 00:00:06.760]  聖經是指聖經傳遞神的話語
[00:00:06.760 --> 00:00:08.760]  信息是無誤的
[00:00:08.760 --> 00:00:10.960]  我們作為基督徒
[00:00:10.960 --> 00:00:14.400]  我們要先理解神傳遞給我們的信息
[00:00:14.400 --> 00:00:17.700]  從而我們可以跟隨這些信息
[00:00:17.700 --> 00:00:19.700]  去效法耶穌基督
[00:00:19.700 --> 00:00:21.500]  去行事為人
[00:00:21.500 --> 00:00:23.200]  去做主門徒
[00:00:23.200 --> 00:00:26.000]  所以讀經非常重要
[00:00:26.000 --> 00:00:29.500]  理解神的話語的信息非常重要
[00:00:29.500 --> 00:00:31.500]  但是我們知道的話
[00:00:31.500 --> 00:00:33.500]  在聖靈的保守底下
[00:00:33.500 --> 00:00:37.500]  讀經不可以隨意地穿著附會
[00:00:37.500 --> 00:00:40.500]  或是斷章起義
[00:00:40.500 --> 00:00:43.500]  我們要通過整本聖經的原則
[00:00:43.500 --> 00:00:47.500]  去瞭解聖經作者想傳達怎樣的信息
[00:00:47.500 --> 00:00:50.500]  而整本聖經的原則
[00:00:50.500 --> 00:00:53.500]  就需要有聖經神學
[00:00:53.500 --> 00:00:56.500]  以及教育神學的基礎
[00:00:56.500 --> 00:00:59.500]  比方說我們知道雅各
[00:00:59.500 --> 00:01:03.500]  講了非常多的男女愛情的故事
[00:01:03.500 --> 00:01:07.500]  當然我們可以理解成為男女愛情的故事
[00:01:07.500 --> 00:01:12.500]  但是我們也要從中看到婚約 盟約
[00:01:12.500 --> 00:01:19.500]  乃是上帝跟人立約的一個相互呼應的影子
[00:01:19.500 --> 00:01:22.500]  所以如果不從盟約的角度來理解的話
[00:01:22.500 --> 00:01:25.500]  僅僅當它是一個愛情事個的話
[00:01:25.500 --> 00:01:27.500]  這樣的一個讀經的話
[00:01:27.500 --> 00:01:32.500]  肯定是難以完全領會神要傳遞的信息
[00:01:32.500 --> 00:01:34.500]  另外我再舉個例子
[00:01:34.500 --> 00:01:37.500]  耶穌基督說我們是世上的光
[00:01:37.500 --> 00:01:39.500]  以及世上的鹽
[00:01:39.500 --> 00:01:41.500]  那這有什麼意思呢?
[00:01:41.500 --> 00:01:45.500]  所以這要回到我們的背景文化和生活裡頭
[00:01:45.500 --> 00:01:47.500]  我們知道在中東的時候
[00:01:47.500 --> 00:01:52.500]  當時很多食物比較容易腐爛的情況底下
[00:01:52.500 --> 00:01:58.500]  比如說肉類可能就會用鹽來醃制防腐
[00:01:58.500 --> 00:02:03.500]  同時我們也知道鹽在古代世界是非常寶貴的東西
[00:02:03.500 --> 00:02:06.500]  是用來調味的非常寶貴的東西
[00:02:06.500 --> 00:02:10.500]  所以我們發現鹽有兩種基本的作用
[00:02:10.500 --> 00:02:13.500]  它是防腐同時也是調味的
[00:02:13.500 --> 00:02:15.500]  所以從這兩個經文我們來理解
[00:02:15.500 --> 00:02:18.500]  作為門徒的話
[00:02:18.500 --> 00:02:22.500]  作為門徒它在這個世上有兩個作用
[00:02:22.500 --> 00:02:24.500]  基本的兩個作用
[00:02:24.500 --> 00:02:27.500]  乃是防止這個社會的腐敗
