
[00:00:00.000 --> 00:00:02.640]  在這幾個月我們一起學習
[00:00:02.640 --> 00:00:05.800]  如何成為一個禱告的教會
[00:00:05.800 --> 00:00:10.000]  所以我們一起不斷研究《士徒行傳》
[00:00:10.000 --> 00:00:12.760]  今天我們所讀的聖經也是《士徒行傳》
[00:00:12.760 --> 00:00:16.680]  所以我想請弟兄姊妹一起打開《士徒行傳》第二章
[00:00:16.680 --> 00:00:18.680]  剛才我們所讀的聖經
[00:00:18.680 --> 00:00:22.400]  《士徒行傳》第二章第37節開始
[00:00:22.400 --> 00:00:27.200]  在我們新約的唐容聖經131頁
[00:00:27.680 --> 00:00:31.080]  我們唐容聖經131頁
[00:00:31.080 --> 00:00:33.560]  我們一起思想神自己的話
[00:00:33.560 --> 00:00:35.600]  《士徒行傳》第二章我們讀的時候
[00:00:35.600 --> 00:00:36.880]  我想你也會發覺
[00:00:36.880 --> 00:00:38.960]  是一篇很熟悉的聖經
[00:00:38.960 --> 00:00:42.400]  描述到初期教會那種復興的現象
[00:00:42.400 --> 00:00:46.480]  尤其是我們很羨慕第41節裡面所說的
[00:00:46.480 --> 00:00:49.840]  一天之內增加了三千人
[00:00:49.840 --> 00:00:52.720]  如果我們根據第一章聖經說到
[00:00:52.720 --> 00:00:56.120]  當時門徒在五旬節之前
[00:00:56.120 --> 00:00:58.520]  只不過是只有120人的話
[00:00:58.520 --> 00:01:01.040]  一天之內增加了
[00:01:01.040 --> 00:01:05.240]  到達3120人,即是26倍了
[00:01:05.240 --> 00:01:08.000]  所以這是一個很興奮的
[00:01:08.000 --> 00:01:11.640]  令我們很羨慕的教會的爆炸
[00:01:11.640 --> 00:01:15.280]  我們希望北宣家也能夠成為
[00:01:15.280 --> 00:01:17.840]  像初期教會一樣這麼復興的教會
[00:01:17.840 --> 00:01:19.600]  不過我們要留意一件事
[00:01:19.600 --> 00:01:21.920]  這個復興並不是沒有原因的
[00:01:21.920 --> 00:01:24.560]  它有條件的,有很多很基本的條件
[00:01:24.560 --> 00:01:25.840]  如果沒有這些條件的話
[00:01:25.840 --> 00:01:27.960]  復興不會是莫無緣的
[00:01:27.960 --> 00:01:29.840]  所以頂智慕我們今天一起研究
[00:01:29.840 --> 00:01:32.440]  究竟這個復興的爆炸
[00:01:32.440 --> 00:01:34.960]  初期教會的興奮現象
[00:01:34.960 --> 00:01:37.160]  令我們很羨慕的教會
[00:01:37.160 --> 00:01:40.160]  究竟之前之後發生了什麼事
[00:01:40.160 --> 00:01:41.840]  然後我們對比我們
[00:01:41.840 --> 00:01:43.560]  作為北宣家的頂智慕
[00:01:43.560 --> 00:01:46.560]  我們這間教會有沒有這些條件
[00:01:46.560 --> 00:01:48.960]  能不能夠成為一個神所祝福的
[00:01:48.960 --> 00:01:50.600]  同樣這麼興旺的教會
[00:01:50.600 --> 00:01:51.120]  好不好
[00:01:51.120 --> 00:01:53.360]  我們一起祈禱,我們求聖靈幫助我們
[00:01:53.360 --> 00:01:55.080]  親愛的聖靈,我們感謝你
[00:01:55.080 --> 00:01:58.360]  你將初期教會中復興的現象留給我們
[00:01:58.360 --> 00:02:00.200]  作為我們的一個榜樣
[00:02:00.200 --> 00:02:01.560]  讓我們很羨慕
[00:02:01.560 --> 00:02:04.320]  但我們也求主你今天光照我們的心
[00:02:04.320 --> 00:02:05.480]  讓我們眾弟兄姊妹
[00:02:05.480 --> 00:02:08.920]  無論是領導的、教會的牧羊的
[00:02:08.920 --> 00:02:10.080]  或者是弟兄姊妹
[00:02:10.080 --> 00:02:11.920]  我們都同樣的來看見
[00:02:11.920 --> 00:02:14.320]  你自己的真理究竟是什麼事
[00:02:14.320 --> 00:02:15.640]  讓我們真的知道
[00:02:15.640 --> 00:02:17.920]  我們今天要成為你所起義的教會
[00:02:17.920 --> 00:02:19.880]  需要一些什麼樣的條件
[00:02:19.880 --> 00:02:22.440]  最終一定遵守一些什麼樣的教導
[00:02:22.440 --> 00:02:24.280]  求主恩代替我們祈求
[00:02:24.280 --> 00:02:25.480]  奉耶穌基督的名
[00:02:25.480 --> 00:02:26.480]  阿門
[00:02:26.480 --> 00:02:31.160]  好,我們來看看究竟在這個教會的興旺當中
[00:02:31.160 --> 00:02:32.800]  有些什麼的秘訣
[00:02:32.800 --> 00:02:35.120]  通常我們今天一說到秘訣
[00:02:35.120 --> 00:02:37.040]  通常會想一下有什麼的program
[00:02:37.040 --> 00:02:37.760]  是不是
[00:02:37.760 --> 00:02:39.120]  這些沒有錯的
[00:02:39.120 --> 00:02:40.600]  有很多的方式
[00:02:40.600 --> 00:02:41.680]  很多的策略
[00:02:41.680 --> 00:02:43.280]  我們現在也很流行的
[00:02:43.280 --> 00:02:45.800]  不斷在外國學一些策略回來
[00:02:45.800 --> 00:02:47.480]  我們教會就可以建立了
[00:02:47.480 --> 00:02:51.040]  就可以人數由幾百人到幾千人了
[00:02:51.040 --> 00:02:53.720]  這個呢,我們也沒有反對這件事
[00:02:53.720 --> 00:02:54.840]  策略也是需要的
[00:02:54.840 --> 00:02:56.280]  不過我們要留意一件事
[00:02:56.280 --> 00:02:57.320]  策略
[00:02:57.320 --> 00:02:58.440]  方法
[00:02:58.440 --> 00:02:59.840]  這些是一個手段
[00:02:59.840 --> 00:03:01.360]  只不過是工具
[00:03:01.360 --> 00:03:03.960]  工具不能夠令到教會復興
[00:03:03.960 --> 00:03:05.720]  真正令教會復興的
[00:03:05.720 --> 00:03:07.640]  就是用這些工具背後
[00:03:07.640 --> 00:03:09.120]  在過程當中
[00:03:09.120 --> 00:03:12.080]  究竟我們這一群是什麼的基督徒
[00:03:12.080 --> 00:03:13.160]  好像初期教會一樣
[00:03:13.160 --> 00:03:15.240]  是那群基督徒的復興
[00:03:15.240 --> 00:03:17.880]  是教會的領袖使徒們
[00:03:17.880 --> 00:03:20.640]  帶領他們對自己的要求
[00:03:20.640 --> 00:03:23.200]  才產生這種現象
[00:03:23.200 --> 00:03:24.560]  究竟使徒
[00:03:24.560 --> 00:03:26.000]  或者弟兄姊妹
[00:03:26.000 --> 00:03:27.600]  教會當時的人
[00:03:27.600 --> 00:03:29.800]  那些人有什麼原因
[00:03:29.800 --> 00:03:31.080]  有什麼的秘訣
[00:03:31.080 --> 00:03:33.960]  令到他們有這種復興呢
[00:03:33.960 --> 00:03:35.440]  我們首先看一下
