
[00:00:00.000 --> 00:00:02.720]  今天當我們大家一起打開聖經
[00:00:02.720 --> 00:00:04.720]  路加福音第24章
[00:00:04.720 --> 00:00:08.480]  我們思想到有兩位當時的門徒
[00:00:08.480 --> 00:00:10.480]  他們在一種很低沉
[00:00:10.480 --> 00:00:12.920]  很愁煩的狀況裏面
[00:00:12.920 --> 00:00:15.240]  但是他們遇見耶穌
[00:00:15.240 --> 00:00:18.360]  整個的生命就改變了
[00:00:18.360 --> 00:00:21.720]  我想我們不單止看到這些過去的事情
[00:00:21.720 --> 00:00:24.360]  我們今天都可以不斷地經歷到
[00:00:24.360 --> 00:00:28.720]  這位復活的主怎樣來改變我們的生命
[00:00:28.720 --> 00:00:30.600]  開始時我想提一件事情
[00:00:30.600 --> 00:00:33.640]  就是很多年之前認識一位弟兄
[00:00:33.640 --> 00:00:38.760]  這位弟兄他以前在未信主之前是吸毒的
[00:00:38.760 --> 00:00:41.000]  經過很長的時間反反覆覆
[00:00:41.000 --> 00:00:44.880]  後來有人鼓勵他透過福音戒毒
[00:00:44.880 --> 00:00:46.600]  他成功戒了毒
[00:00:46.600 --> 00:00:48.880]  生命有很大的轉變
[00:00:48.880 --> 00:00:51.120]  有一次他提及到一位朋友
[00:00:51.120 --> 00:00:54.360]  和他聊天知道他做了教徒
[00:00:54.360 --> 00:00:56.560]  當他講起到復活的事的時候
[00:00:56.560 --> 00:00:59.480]  這位朋友就一直問他
[00:00:59.480 --> 00:01:01.680]  你證明給我知道
[00:01:01.680 --> 00:01:04.080]  怎樣可以有任何證據證明
[00:01:04.080 --> 00:01:05.880]  耶穌真的復活了
[00:01:05.880 --> 00:01:07.200]  你讓我知道吧
[00:01:07.200 --> 00:01:09.000]  一直問他
[00:01:09.000 --> 00:01:11.960]  這位弟兄想了一會之後
[00:01:11.960 --> 00:01:14.080]  他就跟對方說
[00:01:14.080 --> 00:01:17.360]  他說我不懂得甚麼偉大的理論
[00:01:17.360 --> 00:01:20.600]  但是我知道耶穌在我裏面活著
[00:01:20.600 --> 00:01:22.960]  他拍胸膛就說
[00:01:22.960 --> 00:01:25.480]  因為我裏面一直到今天
[00:01:25.480 --> 00:01:28.320]  都不斷經歷復活的主
[00:01:28.320 --> 00:01:30.920]  怎樣改變我的生命
[00:01:30.920 --> 00:01:32.960]  我清楚知道自己的轉變
[00:01:32.960 --> 00:01:36.520]  也都經歷到主耶穌復活的能力
[00:01:36.520 --> 00:01:39.920]  在我裏面改變我
[00:01:39.920 --> 00:01:42.200]  我記得當他分享這件事情的時候
[00:01:42.200 --> 00:01:45.600]  我心裏就有一種很自然的回應
[00:01:45.600 --> 00:01:47.440]  就是沒錯
[00:01:47.440 --> 00:01:50.640]  不單止聖經裏面講述到復活的事情
[00:01:50.640 --> 00:01:54.200]  也都有不少不同的歷史證據
[00:01:54.200 --> 00:01:55.920]  但是同樣重要的
[00:01:55.920 --> 00:01:57.680]  或者更加重要的就是
[00:01:57.680 --> 00:01:59.960]  在我們自己個人生命當中
[00:01:59.960 --> 00:02:02.040]  會經歷到復活的能力
[00:02:02.040 --> 00:02:03.080]  怎樣更新
[00:02:03.080 --> 00:02:05.760]  怎樣改變我們的生命
[00:02:05.760 --> 00:02:07.680]  而今天當我們讀到這兩位的
[00:02:07.680 --> 00:02:09.680]  聖經所講的門徒的時候
[00:02:09.680 --> 00:02:12.280]  你都會看到他們那種的改變
[00:02:12.280 --> 00:02:14.640]  是怎樣將他們的受煩
[00:02:14.640 --> 00:02:17.040]  變成為一種喜樂的人生
[00:02:17.040 --> 00:02:19.200]  我請大家再看回聖經
[00:02:19.200 --> 00:02:22.840]  剛才我們讀到十二十四章的第二十五節
[00:02:22.840 --> 00:02:24.360]  在前面一段的經文
[00:02:24.360 --> 00:02:25.320]  大家都會熟悉
[00:02:25.320 --> 00:02:26.880]  我稍微提一下
[00:02:26.880 --> 00:02:28.320]  聖經提到有兩個門徒
