
[00:00:00.000 --> 00:00:03.000]  請我們感謝神今天晚上
[00:00:03.000 --> 00:00:05.000]  我們大家能夠一起聚集
[00:00:05.000 --> 00:00:06.280]  不單是一個人
[00:00:06.280 --> 00:00:09.400]  而是整個群體一起到主的面前
[00:00:09.400 --> 00:00:12.400]  見祂耶穌曾經為我們聽死
[00:00:12.400 --> 00:00:14.400]  曾經為我們付出代價
[00:00:14.400 --> 00:00:16.400]  我進來禮拜堂之後
[00:00:16.400 --> 00:00:20.000]  我才留意到台上有三個十字架
[00:00:20.000 --> 00:00:22.600]  兩邊的兩個十字架
[00:00:22.600 --> 00:00:26.400]  用樹枝造成很粗糙的十字架
[00:00:26.400 --> 00:00:28.400]  但我相信耶穌聽十字架的時候
[00:00:28.400 --> 00:00:32.400]  祂的十字架相信也是同樣粗糙
[00:00:32.400 --> 00:00:35.400]  在後面正堂的十字架上面
[00:00:35.400 --> 00:00:39.400]  有一個我們自己製造成的
[00:00:39.400 --> 00:00:41.400]  一個荊棘的冠冕
[00:00:41.400 --> 00:00:44.400]  提醒我們主耶穌被釘的時候
[00:00:44.400 --> 00:00:46.400]  祂是戴著冠冕
[00:00:46.400 --> 00:00:48.400]  祂是王 祂是上帝
[00:00:48.400 --> 00:00:50.400]  但這個冠冕卻是帶給祂
[00:00:50.400 --> 00:00:53.400]  有各方面的痛苦
[00:00:53.400 --> 00:00:55.400]  我想不單是三個十字架
[00:00:55.400 --> 00:00:57.400]  或者應該多一個十字架
[00:00:57.400 --> 00:00:59.400]  在你和我的心中
[00:00:59.400 --> 00:01:01.400]  在我們的思念中
[00:01:01.400 --> 00:01:03.400]  就算不是受苦節
[00:01:03.400 --> 00:01:04.400]  我們常常會記得
[00:01:04.400 --> 00:01:07.400]  耶穌曾經為我釘死
[00:01:07.400 --> 00:01:11.400]  曾經為我付出了祂生命的代價
[00:01:11.400 --> 00:01:12.400]  就算離開了這個禮拜堂
[00:01:12.400 --> 00:01:14.400]  就算沒有十字架的地方
[00:01:14.400 --> 00:01:17.400]  這個十字架永遠長存在我們的心中
[00:01:17.400 --> 00:01:21.400]  常常叫我們想念耶穌的恩惠
[00:01:21.400 --> 00:01:24.400]  今天晚上是一個寶貴的時刻
[00:01:24.400 --> 00:01:26.400]  讓我們能夠再一次思念主的愛
[00:01:26.400 --> 00:01:29.400]  重新一次體會主給我們的代價
[00:01:29.400 --> 00:01:31.400]  付出的代價和恩典
[00:01:31.400 --> 00:01:33.400]  我想大家和我一起祈禱
[00:01:33.400 --> 00:01:36.400]  我們將這段時間一起再加給神
[00:01:36.400 --> 00:01:46.400]  慈愛的主 我們到祢的面前
[00:01:46.400 --> 00:01:49.400]  我們知道就算我們怎樣去紀念
[00:01:49.400 --> 00:01:50.400]  怎樣去表達
[00:01:50.400 --> 00:01:55.400]  都不能夠完全講述你自己的慈愛
[00:01:55.400 --> 00:01:58.400]  主我們只想回到詩人所說
[00:01:58.400 --> 00:02:00.400]  祢以後恩代我們
[00:02:00.400 --> 00:02:03.400]  因此我們的心可以安穩
[00:02:03.400 --> 00:02:05.400]  我們帶著感謝的心
[00:02:05.400 --> 00:02:07.400]  帶著平安的心到祢的面前來
[00:02:07.400 --> 00:02:10.400]  主我們很願意在受苦節的時候
[00:02:10.400 --> 00:02:12.400]  一同紀念祢
[00:02:12.400 --> 00:02:15.400]  主求祢再次藉著聖靈
[00:02:15.400 --> 00:02:17.400]  將祢的愛囂觀我們的心
[00:02:17.400 --> 00:02:20.400]  讓我們不單單理性上知道
[00:02:20.400 --> 00:02:21.400]  祢曾經愛我們
[00:02:21.400 --> 00:02:23.400]  也不是循例的每一年
[00:02:23.400 --> 00:02:25.400]  是紀念一次
[00:02:25.400 --> 00:02:28.400]  而是主讓我們心靈的深處
[00:02:28.400 --> 00:02:30.400]  被祢的愛觸摸
