
[00:00:00.000 --> 00:00:04.240]  今天我們仍然查考《聖經》新約裏面
[00:00:04.240 --> 00:00:07.600]  希伯來書的寶貴的信息
[00:00:07.600 --> 00:00:11.280]  今天是希伯來書的第五講
[00:00:11.280 --> 00:00:13.920]  我們在過去的四講裏面
[00:00:13.920 --> 00:00:15.280]  已經看過
[00:00:15.280 --> 00:00:17.280]  希伯來書告訴我們
[00:00:17.280 --> 00:00:18.600]  在宇宙裏面
[00:00:18.600 --> 00:00:20.120]  天地之間
[00:00:20.120 --> 00:00:21.480]  人世上
[00:00:21.480 --> 00:00:23.000]  有許許多多
[00:00:23.000 --> 00:00:25.680]  常常改變的事
[00:00:25.680 --> 00:00:27.160]  我們也看見
[00:00:27.160 --> 00:00:30.560]  主耶穌基督卻永遠不改變
[00:00:30.560 --> 00:00:32.120]  昨日、今日
[00:00:32.120 --> 00:00:33.680]  一直到永遠
[00:00:33.680 --> 00:00:36.560]  耶穌基督是不改變的
[00:00:36.560 --> 00:00:38.560]  祂的權柄能力
[00:00:38.560 --> 00:00:40.080]  永不改變
[00:00:40.080 --> 00:00:41.400]  我們也看見
[00:00:41.400 --> 00:00:44.160]  祂的大祭司的職任
[00:00:44.160 --> 00:00:45.760]  永不改變
[00:00:45.760 --> 00:00:48.160]  我們在上一次也看見
[00:00:48.160 --> 00:00:50.520]  主耶穌基督的應許
[00:00:50.520 --> 00:00:52.120]  永不改變
[00:00:52.120 --> 00:00:55.000]  今天我們在第五講裏面
[00:00:55.000 --> 00:00:58.600]  要看希伯來書如何地告訴我們
[00:00:58.600 --> 00:01:00.800]  主耶穌基督的公義
[00:01:00.800 --> 00:01:02.240]  永不改變
[00:01:02.240 --> 00:01:04.320]  主耶穌基督的公義
[00:01:04.320 --> 00:01:06.680]  永不改變
[00:01:06.680 --> 00:01:08.120]  我要讀的經文
[00:01:08.120 --> 00:01:09.840]  是在希伯來書
[00:01:09.840 --> 00:01:13.320]  第七章二節到三節
