
[00:00:00.000 --> 00:00:02.960]  亞各書的一個最重要的主題
[00:00:02.960 --> 00:00:05.880]  就是講到信心和行為的關係
[00:00:05.880 --> 00:00:07.960]  一個真正有信心的人
[00:00:07.960 --> 00:00:10.720]  一個真正對上帝有信心
[00:00:10.720 --> 00:00:13.560]  或者一個真正信靠耶穌的人
[00:00:13.560 --> 00:00:16.200]  他們在日常生活裏面
[00:00:16.200 --> 00:00:20.200]  就會活出一個遵守上帝吩咐的
[00:00:20.200 --> 00:00:22.920]  一個生活模式的一班人
[00:00:22.920 --> 00:00:26.160]  所以這兩者是有一個很密切的關係
[00:00:26.160 --> 00:00:29.840]  所以在亞各書第一章的上文裏
[00:00:29.840 --> 00:00:33.080]  正正講到信心沒有行為
[00:00:33.080 --> 00:00:34.960]  這個信心其實是死的
[00:00:34.960 --> 00:00:38.960]  但是這個行為就是表彰我們一個內在
[00:00:38.960 --> 00:00:41.240]  對上帝的信心
[00:00:41.240 --> 00:00:45.280]  接著在第一章的26-27節繼續發揮
[00:00:45.280 --> 00:00:50.480]  或者再講這個這麼重要信仰核心的內容
[00:00:50.480 --> 00:00:53.920]  究竟是什麼來的呢
[00:00:53.920 --> 00:00:57.840]  接著在第一章的第19-20節
[00:00:57.840 --> 00:01:00.880]  亞各繼續講什麼叫真正的虔誠
[00:01:00.880 --> 00:01:05.680]  真正的虔誠就是我們所講的
[00:01:05.680 --> 00:01:10.200]  出來的時候就要去做我們口中所講的一些說話
[00:01:10.200 --> 00:01:11.240]  在第19節裏說
[00:01:11.240 --> 00:01:12.880]  若有人指為虔誠
[00:01:12.880 --> 00:01:14.800]  卻不勒住自己的舌頭
[00:01:14.800 --> 00:01:16.480]  反欺控自己的心
[00:01:16.480 --> 00:01:18.200]  指人的虔誠是虛的
[00:01:18.200 --> 00:01:19.920]  在神我們的父面前
[00:01:19.920 --> 00:01:22.880]  那清潔沒有玷污的虔誠
[00:01:22.880 --> 00:01:25.840]  就是看顧在患難中的孤兒寡婦
[00:01:25.840 --> 00:01:28.920]  並且保守自己不沾染世俗
[00:01:28.920 --> 00:01:31.800]  亞各在這裏說
[00:01:31.800 --> 00:01:34.280]  有些人指為虔誠
[00:01:34.280 --> 00:01:37.800]  指為說了很多很淑寧的說話
[00:01:37.800 --> 00:01:41.720]  或者說了很多很正確的說話
[00:01:41.720 --> 00:01:46.960]  說了很多自己怎樣認真跟從上帝的說話
[00:01:46.960 --> 00:01:50.000]  不過在他們的行為裏面
[00:01:50.000 --> 00:01:54.800]  卻是表現不到他們口中所說的一些說話
[00:01:54.800 --> 00:01:59.800]  他們可能懂得跟你說一些淑寧的原則
[00:01:59.800 --> 00:02:02.560]  一些聖經的說話
[00:02:02.560 --> 00:02:07.160]  但是他們的行為是完全表現不到
[00:02:07.160 --> 00:02:11.520]  他們所說的一些內容
[00:02:11.520 --> 00:02:13.280]  亞各在這裏說
[00:02:13.280 --> 00:02:15.920]  這些虔誠其實是虛假的
[00:02:15.920 --> 00:02:19.280]  然後他就再帶出甚麼是真正的虔誠
[00:02:19.280 --> 00:02:22.080]  真正的虔誠就是
[00:02:22.080 --> 00:02:23.880]  亞各在這裏說兩方面
[00:02:23.880 --> 00:02:28.360]  就是那些照顧在患難中的孤兒寡婦
[00:02:28.360 --> 00:02:31.360]  並且保守自己不沾染世俗
[00:02:31.360 --> 00:02:34.680]  其實亞各在這裏只是說一些例子
[00:02:34.680 --> 00:02:36.280]  甚麼是真正的虔誠
[00:02:36.280 --> 00:02:38.280]  就是那些說出來
[00:02:38.280 --> 00:02:41.720]  然後去做他們所說的那群人
[00:02:41.720 --> 00:02:43.320]  所以亞各不是說
[00:02:43.320 --> 00:02:47.800]  只是探望那些照顧那些孤兒寡婦才是虔誠
[00:02:47.800 --> 00:02:48.320]  不是
[00:02:48.320 --> 00:02:49.680]  他只是舉例子
[00:02:49.680 --> 00:02:53.000]  如果我們
[00:02:53.000 --> 00:02:57.160]  口中說我們去關心那些貧窮的人
[00:02:57.160 --> 00:02:59.560]  或關心那些有需要的人
[00:02:59.560 --> 00:03:00.840]  如果我們去關心
[00:03:00.840 --> 00:03:04.040]  說我們要關心那些孤兒寡婦
[00:03:04.040 --> 00:03:05.280]  這些很有需要的人
[00:03:05.280 --> 00:03:09.960]  但是我們卻沒有在行動上去幫助他們的時候
[00:03:09.960 --> 00:03:12.720]  這些只不過是虛幻
[00:03:12.720 --> 00:03:14.480]  所以亞各其實在說
[00:03:14.480 --> 00:03:16.760]  其實言行一致
[00:03:16.760 --> 00:03:17.920]  這個道理
[00:03:17.920 --> 00:03:19.440]  所以亞各不是說
[00:03:19.440 --> 00:03:24.640]  只是去照顧患難中的孤兒寡婦才是真正的虔誠
[00:03:24.640 --> 00:03:25.840]  他是要帶出
[00:03:25.840 --> 00:03:28.960]  當我們去說關心人的時候
[00:03:28.960 --> 00:03:32.320]  我們就在行動上去做關心人的行為
[00:03:32.320 --> 00:03:34.680]  第二方面
[00:03:34.680 --> 00:03:36.000]  亞各在說
[00:03:36.000 --> 00:03:37.360]  甚麼叫做真正虔誠
[00:03:37.360 --> 00:03:41.120]  就是保守自己不沾染世俗
[00:03:41.120 --> 00:03:45.440]  這裏亞各的意思就是說
[00:03:45.440 --> 00:03:48.640]  當我們願意去信靠上帝
[00:03:48.640 --> 00:03:50.640]  或是去跟從上帝的時候
[00:03:50.640 --> 00:03:52.560]  我們的生活
[00:03:52.560 --> 00:03:56.480]  是表現出跟從上帝的那種價值觀
[00:03:56.480 --> 00:03:59.840]  是跟我們過去不是跟從上帝的時候
[00:03:59.840 --> 00:04:02.760]  那種價值觀是不同的
[00:04:02.760 --> 00:04:05.680]  所以亞各是要強調
[00:04:05.680 --> 00:04:08.760]  一個仍然是言行一致的問題
[00:04:08.760 --> 00:04:10.760]  當我們說跟從上帝的時候
[00:04:10.760 --> 00:04:14.960]  我們有沒有聽上帝的吩咐去做呢
[00:04:14.960 --> 00:04:16.640]  是不是就像以前一樣
[00:04:16.640 --> 00:04:20.680]  上帝在我們生命當中是完全沒有位置的呢
[00:04:20.680 --> 00:04:23.480]  我們完全不會聽上帝的話呢
[00:04:23.480 --> 00:04:27.440]  在這裏亞各其實是帶出一個重要的問題
[00:04:27.440 --> 00:04:29.440]  沾染世俗
[00:04:29.440 --> 00:04:31.600]  我們信了耶穌
[00:04:31.600 --> 00:04:35.200]  我們的價值觀應該跟以前是不同的
[00:04:35.200 --> 00:04:38.560]  接著亞各繼續去舉例子
[00:04:38.560 --> 00:04:42.480]  在教會當中為甚麼仍然有很多人
[00:04:42.480 --> 00:04:45.040]  仍然用以往那種
[00:04:45.040 --> 00:04:48.640]  好像未信上帝未跟從上帝的時候
[00:04:48.640 --> 00:04:50.640]  那種價值觀去生活呢
[00:04:50.640 --> 00:04:52.640]  接著亞各就舉了例子
[00:04:52.640 --> 00:04:55.360]  在第二章的第一至第四節說
[00:04:55.360 --> 00:04:58.600]  你們信我的親愛的弟兄們
[00:04:58.600 --> 00:05:01.480]  你們信奉我們榮耀的主耶穌基督
[00:05:01.480 --> 00:05:03.480]  便不可戴著外貌待人
[00:05:03.480 --> 00:05:05.200]  若有一個人戴著金戒指
[00:05:05.200 --> 00:05:07.920]  穿著華美的衣服進你們的會堂去
[00:05:07.920 --> 00:05:11.720]  又有一個窮人穿著康莊的衣服也進去
[00:05:11.720 --> 00:05:14.520]  你們就縱看那穿著華美衣服的人說
[00:05:14.520 --> 00:05:16.200]  請坐在這好位上
[00:05:16.200 --> 00:05:17.240]  又對那窮人說
[00:05:17.240 --> 00:05:21.080]  你站在那裡或坐在我的腳椅下
[00:05:21.080 --> 00:05:23.080]  這豈不是你們偏心待人
[00:05:23.080 --> 00:05:25.080]  用惡意斷定人嗎
[00:05:25.080 --> 00:05:28.080]  亞各在這裡說
[00:05:28.080 --> 00:05:30.080]  當時教會有一群人
[00:05:30.080 --> 00:05:32.080]  應該不少人
[00:05:32.080 --> 00:05:34.560]  用我們四個字去說完
[00:05:34.560 --> 00:05:36.560]  就是眾父興奮
[00:05:36.560 --> 00:05:40.000]  亞各在這裡說
[00:05:40.000 --> 00:05:42.680]  當我們一開始說
[00:05:42.680 --> 00:05:46.680]  我們要尊崇耶穌是一位榮耀的主
[00:05:46.680 --> 00:05:49.280]  我們信奉這個榮耀的主的時候
[00:05:49.280 --> 00:05:53.120]  就不可以向外貌待人
[00:05:53.120 --> 00:05:54.120]  意思就是說
[00:05:54.120 --> 00:05:57.320]  當我們說耶穌是榮耀的主
[00:05:57.320 --> 00:05:58.560]  我相信祂的時候
[00:05:58.560 --> 00:06:01.320]  應該用耶穌的教訓去生活
[00:06:01.320 --> 00:06:06.560]  不應該像過去未曾跟從耶穌的人一樣
[00:06:06.560 --> 00:06:08.920]  外貌待人
[00:06:08.920 --> 00:06:11.600]  就是說以前那種價值觀
[00:06:11.600 --> 00:06:13.920]  以前未信耶穌的價值觀
[00:06:13.920 --> 00:06:17.920]  是一種眾父興奮的價值觀
[00:06:17.920 --> 00:06:19.920]  這是當時社會上
[00:06:19.920 --> 00:06:24.720]  很容易有的對人的態度
[00:06:24.720 --> 00:06:27.720]  但是亞各在這裡提醒我們
[00:06:27.720 --> 00:06:31.000]  我們是一群跟從耶穌的人
[00:06:31.000 --> 00:06:34.520]  耶穌教訓我們要愛人如己
[00:06:34.520 --> 00:06:36.520]  所以亞各在這裡說
[00:06:36.520 --> 00:06:40.120]  整個律法其中一個很重要的精神
[00:06:40.120 --> 00:06:45.120]  就是愛鄰舍如同自己的律法精神
[00:06:45.120 --> 00:06:47.120]  亞各在這裡舉例說
[00:06:47.120 --> 00:06:50.120]  讀者如果我們是憑外貌待人
[00:06:50.120 --> 00:06:53.920]  就是說我們用人的外表
[00:06:53.920 --> 00:06:56.320]  去衡量他的價值有多高
