
[00:00:00.000 --> 00:00:03.500]  早晨 再次代表區議員向大家問安
[00:00:03.500 --> 00:00:04.700]  再次代表
[00:00:04.700 --> 00:00:09.300]  我第一次來到港島
[00:00:09.300 --> 00:00:13.300]  不過我在門口經過了好幾次
[00:00:13.300 --> 00:00:16.000]  原因是我自己喜歡跑步
[00:00:16.000 --> 00:00:20.800]  在疫情期間 大約在2022年4月前
[00:00:20.800 --> 00:00:22.500]  我心裏面有個感動
[00:00:22.500 --> 00:00:25.700]  就要分區分時間
[00:00:25.700 --> 00:00:29.900]  就去了港九新界121間宣導會
[00:00:29.900 --> 00:00:30.800]  就跑遍了
[00:00:30.800 --> 00:00:32.800]  所以在門口我都打卡了
[00:00:32.800 --> 00:00:36.800]  所以都在這裏
[00:00:36.800 --> 00:00:38.300]  今天第一次進來
[00:00:38.300 --> 00:00:39.800]  真的很感恩
[00:00:39.800 --> 00:00:42.800]  作為外圍港元
[00:00:42.800 --> 00:00:45.000]  其實我也有個很大的優勢
[00:00:45.000 --> 00:00:48.400]  因為我可以帶著一兩三篇的講章
[00:00:48.400 --> 00:00:50.800]  就走遍全港九新界的
[00:00:50.800 --> 00:00:52.600]  你又不會追我星
[00:00:52.600 --> 00:00:54.300]  你又不知道我上星期去了哪間堂會
[00:00:54.300 --> 00:00:56.200]  去港島 你不會的
[00:00:56.200 --> 00:01:00.700]  不過宣導會我們有個宣導精神
[00:01:00.700 --> 00:01:02.700]  就是靈命進心
[00:01:02.700 --> 00:01:04.200]  使命承擔
[00:01:04.200 --> 00:01:06.200]  Deeper life and mission
[00:01:06.200 --> 00:01:08.200]  所以我知道在上年
[00:01:08.200 --> 00:01:10.700]  我知道我成為下一任的總幹事
[00:01:10.700 --> 00:01:11.700]  就是現在
[00:01:11.700 --> 00:01:13.700]  我自己有個心願
[00:01:13.700 --> 00:01:15.700]  我都希望自己能夠
[00:01:15.700 --> 00:01:17.700]  盡心的認識耶穌是基督
[00:01:17.700 --> 00:01:20.700]  所以我每每去到每一間堂會
[00:01:20.700 --> 00:01:23.200]  宣導會 區議員會 辦公室
[00:01:23.200 --> 00:01:25.200]  真的有很多事情要做
[00:01:25.200 --> 00:01:27.200]  很多會議 很多文件
[00:01:27.200 --> 00:01:29.200]  大小事情
[00:01:29.200 --> 00:01:31.200]  不過我自己的心願就是
[00:01:31.200 --> 00:01:32.200]  去到每一間堂會
[00:01:32.200 --> 00:01:34.200]  我都會預備一篇新的講章
[00:01:34.200 --> 00:01:35.200]  所以這篇是新的
[00:01:35.200 --> 00:01:37.200]  我自己都求主幫助我
[00:01:37.200 --> 00:01:40.200]  讓我自己不斷的認識聖經
[00:01:40.200 --> 00:01:41.200]  打開聖經
[00:01:41.200 --> 00:01:42.200]  所以鼓勵大家
[00:01:42.200 --> 00:01:44.200]  如果你真的沒有
[00:01:44.200 --> 00:01:46.200]  恆常每天讀經
[00:01:46.200 --> 00:01:47.200]  營修的習慣
[00:01:47.200 --> 00:01:49.200]  今天開始
[00:01:49.200 --> 00:01:51.200]  真的要好好讀聖經
[00:01:51.200 --> 00:01:53.200]  另外一個引言
[00:01:53.200 --> 00:01:54.200]  我想講的就是
[00:01:54.200 --> 00:01:56.200]  楊正己所講的東西
[00:01:56.200 --> 00:01:57.200]  你們可以不聽
[00:01:57.200 --> 00:01:59.200]  但是神的話你要聽
[00:01:59.200 --> 00:02:02.200]  都比金紙可羨慕
[00:02:02.200 --> 00:02:04.200]  且比極多的精金可羨慕
[00:02:04.200 --> 00:02:05.200]  比蜜金甜
[00:02:05.200 --> 00:02:08.200]  且比瘋狂下迪的蜜金甜
[00:02:08.200 --> 00:02:10.200]  耶和華的話在我腳前的燈
[00:02:10.200 --> 00:02:11.200]  路上的光
[00:02:11.200 --> 00:02:14.200]  聖經乃是神所物事的
[00:02:14.200 --> 00:02:17.200]  於教訓 督責 使人歸正
[00:02:17.200 --> 00:02:20.200]  教導人學而 都是有益的
[00:02:20.200 --> 00:02:22.200]  教育神的人得以完全
[00:02:22.200 --> 00:02:24.200]  預備行各樣的善事
[00:02:24.200 --> 00:02:25.200]  真的
[00:02:25.200 --> 00:02:27.200]  我們的生命只能夠
[00:02:27.200 --> 00:02:29.200]  今天我活著
[00:02:29.200 --> 00:02:31.200]  是上帝的工作
[00:02:31.200 --> 00:02:34.200]  讓我們將神的話藏在心中
[00:02:34.200 --> 00:02:37.200]  我特別選擇這個詩篇133篇
[00:02:37.200 --> 00:02:38.200]  有原因的
[00:02:38.200 --> 00:02:41.200]  因為我一個多月前
[00:02:41.200 --> 00:02:43.200]  我開始思考
[00:02:43.200 --> 00:02:46.200]  來葵芳街講信息的時候
[00:02:46.200 --> 00:02:48.200]  要認識一間堂會
[00:02:48.200 --> 00:02:50.200]  先找找有沒有網站
[00:02:50.200 --> 00:02:52.200]  你們是有網站的
[00:02:52.200 --> 00:02:53.200]  不過放心
[00:02:53.200 --> 00:02:55.200]  不是每間教宣徒會都有網站
[00:02:55.200 --> 00:02:58.200]  你們堂會是有網站的
[00:02:58.200 --> 00:03:00.200]  你們的網站一打開
