
[00:00:00.000 --> 00:00:03.600]  剛才提到的是士美那教會
[00:00:03.600 --> 00:00:07.280]  也是第二間我們所思想的啟示錄教會
[00:00:07.280 --> 00:00:10.200]  大家會記得上次我們有提及過
[00:00:10.200 --> 00:00:12.200]  或者有其他同工有提及過的
[00:00:12.200 --> 00:00:14.680]  就是在七間教會當中
[00:00:14.680 --> 00:00:18.600]  只有兩間教會是神沒有責備的
[00:00:18.600 --> 00:00:21.280]  其中一間就是士美那
[00:00:21.280 --> 00:00:23.280]  另一間是菲拉鐵非教會
[00:00:23.280 --> 00:00:25.680]  神稱讚這間教會
[00:00:25.680 --> 00:00:28.600]  特別稱讚他們在各種的艱難當中
[00:00:28.600 --> 00:00:32.400]  堅定的持久的向神忠心
[00:00:32.400 --> 00:00:35.600]  不會拒絕承認耶穌的名
[00:00:35.600 --> 00:00:40.080]  因此他們的見證成為我們今天的鼓勵
[00:00:40.080 --> 00:00:41.000]  我想先說
[00:00:41.000 --> 00:00:43.000]  我不知道大家有沒有去過一個地方
[00:00:43.000 --> 00:00:44.280]  或者看過一些圖片
[00:00:44.280 --> 00:00:48.600]  就是英國倫敦的西敏子大教堂
[00:00:48.600 --> 00:00:49.880]  這間大教堂很出名
[00:00:49.880 --> 00:00:52.880]  很多人去的時候都會特別去參觀
[00:00:52.880 --> 00:00:55.880]  西敏子大教堂的向西的西門
[00:00:55.880 --> 00:00:58.080]  一對拱門的上面
[00:00:58.080 --> 00:01:00.080]  有十磚的石像
[00:01:00.080 --> 00:01:02.080]  雕刻在上面
[00:01:02.080 --> 00:01:03.080]  所以你去到的時候
[00:01:03.080 --> 00:01:05.600]  就會看到十磚的石像在上面
[00:01:05.600 --> 00:01:09.600]  很多人都問這十磚石像是誰來的呢?
[00:01:09.600 --> 00:01:13.920]  這十磚石像是十位二十世紀的
[00:01:13.920 --> 00:01:17.200]  殉道士
[00:01:17.200 --> 00:01:20.200]  其中第十位是中國人
[00:01:20.200 --> 00:01:24.200]  這個人叫做王思明牧師
[00:01:24.200 --> 00:01:29.200]  他本身是在中國雲南省的武定縣
[00:01:29.200 --> 00:01:34.200]  他曾經在文化大革命期間殉道
[00:01:34.200 --> 00:01:38.200]  王牧師當時不願意參加一些批判大會
[00:01:38.200 --> 00:01:43.200]  他拒絕去誣告當時很多無辜的人
[00:01:43.200 --> 00:01:47.200]  因此當時紅衛兵來迫他
[00:01:47.200 --> 00:01:50.200]  因此在1969年
[00:01:50.200 --> 00:01:53.200]  他全家被拘捕坐牢
[00:01:53.200 --> 00:01:55.200]  在監獄當中四年
[00:01:55.200 --> 00:01:58.200]  後來他被處決死亡
[00:01:58.200 --> 00:02:00.200]  他的家人留在監獄當中
[00:02:00.200 --> 00:02:03.200]  但其中他的第三個兒子
[00:02:03.200 --> 00:02:05.200]  當時因為忍受不到那種困難
[00:02:05.200 --> 00:02:07.200]  因此自殺
[00:02:07.200 --> 00:02:11.200]  這些故事令我們回想的時候都會難過
[00:02:11.200 --> 00:02:13.200]  但今天1980年
[00:02:13.200 --> 00:02:17.200]  政府公開平反了王思明牧師
[00:02:17.200 --> 00:02:22.200]  僅有或罕有的情況被恢復
[00:02:22.200 --> 00:02:26.200]  因此他今天的名字被人認識
[00:02:26.200 --> 00:02:29.200]  也在武定縣今天有他的紀念碑
[00:02:29.200 --> 00:02:31.200]  公開地豎立起來
[00:02:31.200 --> 00:02:38.200]  因此英國也以他為一個被迫殉道者的代表之一
[00:02:38.200 --> 00:02:40.200]  各位聽眾可能會覺得
[00:02:40.200 --> 00:02:43.200]  這只是一個代表
[00:02:43.200 --> 00:02:46.200]  沒錯,在全世界很多不同的地方
[00:02:46.200 --> 00:02:49.200]  有很多的驕徒為了主的緣故
[00:02:49.200 --> 00:02:52.200]  願意仇死殉道
[00:02:52.200 --> 00:02:53.200]  或者有些人說
[00:02:53.200 --> 00:02:56.200]  現在的殉道士會越來越少
[00:02:56.200 --> 00:02:59.200]  不比起初期的情況
[00:02:59.200 --> 00:03:01.200]  但事情剛剛相反
[00:03:01.200 --> 00:03:05.200]  基督徒的《白科傳書》有很多的研究
[00:03:05.200 --> 00:03:06.200]  其中一本提及
[00:03:06.200 --> 00:03:15.200]  1999年全世界有16萬4千人是殉道
[00:03:15.200 --> 00:03:20.200]  2000年的估計是16萬5千人
[00:03:20.200 --> 00:03:23.200]  而且是逐年增加
[00:03:23.200 --> 00:03:26.200]  不要以為是早期才有殉道士
[00:03:26.200 --> 00:03:29.200]  其實今天有更多的殉道士
[00:03:29.200 --> 00:03:32.200]  而每一個殉教士當他們死的時候
[00:03:32.200 --> 00:03:35.200]  其實他們的生命都散發一種亮光
[00:03:35.200 --> 00:03:39.200]  讓我們知道一位主耶穌
[00:03:39.200 --> 00:03:43.200]  值得我們付上我們的生命來見證他
[00:03:43.200 --> 00:03:46.200]  因此偉基教的歷史學家曾經這樣說
[00:03:46.200 --> 00:03:53.200]  他說殉道士的血是孕育教會成長的種子
[00:03:53.200 --> 00:03:56.200]  這粒種子在當中慢慢會發芽生長
[00:03:56.200 --> 00:04:00.200]  成為整個教會的一種榮耀
[00:04:00.200 --> 00:04:05.200]  很多人的殉道帶來了給教會的一種極大的興旺
[00:04:05.200 --> 00:04:08.200]  和一種生命的勉勵
[00:04:08.200 --> 00:04:10.200]  各位電影姊妹當我們想起一些事情的時候
[00:04:10.200 --> 00:04:12.200]  今天我們會思想的
[00:04:12.200 --> 00:04:16.200]  就是事滿拿教會就是一個這樣的見證的教會
[00:04:16.200 --> 00:04:22.200]  提醒我們今天要思想要忠心甚至至死
[00:04:22.200 --> 00:04:26.200]  大家請看聖經啟述錄的第二章
[00:04:26.200 --> 00:04:31.200]  第二章的第八節說
[00:04:31.200 --> 00:04:34.200]  你要寫信給事滿拿教會的使者說
[00:04:34.200 --> 00:04:38.200]  那首先的 末後的 死過又活的說
[00:04:38.200 --> 00:04:42.200]  聖經提到一位要宣告真理的上帝
[00:04:42.200 --> 00:04:45.200]  他描述和介紹自己
[00:04:45.200 --> 00:04:48.200]  他說我是首先的 又是末後的
[00:04:48.200 --> 00:04:53.200]  正正表示出他是掌管人類歷史的上帝
[00:04:53.200 --> 00:04:58.200]  一切地上所發生的事情都在他的手中
[00:04:58.200 --> 00:05:01.200]  他是首先的 也是末後的
[00:05:01.200 --> 00:05:04.200]  掌管著永恆的上帝
[00:05:04.200 --> 00:05:07.200]  而且他曾經死過又活過來
[00:05:07.200 --> 00:05:13.200]  在新義本提及曾經死去而又活過來
[00:05:13.200 --> 00:05:16.200]  竟然這位上帝是曾經死過
[00:05:16.200 --> 00:05:21.200]  因為你和我都知道是為愛我們的緣故而受死
[00:05:21.200 --> 00:05:24.200]  他從死裡復活證明他勝過死亡的權勢
[00:05:24.200 --> 00:05:26.200]  他是生命的主
[00:05:26.200 --> 00:05:30.200]  因此他的說話我們特別要小心聽
[00:05:30.200 --> 00:05:33.200]  在下面九節說
[00:05:33.200 --> 00:05:39.200]  我知道你的患難 你的貧窮 你卻是富足的
[00:05:39.200 --> 00:05:41.200]  當時聖經提到主知道
[00:05:41.200 --> 00:05:44.200]  善滿也教會面對很多的患難
[00:05:44.200 --> 00:05:48.200]  但告訴他們我知道
[00:05:48.200 --> 00:05:49.200]  各位弟兄姊妹
[00:05:49.200 --> 00:05:51.200]  很多弟兄姊妹都曾經說
[00:05:51.200 --> 00:05:53.200]  當自己經歷困難的時候
[00:05:53.200 --> 00:05:56.200]  心裡很知道主明白
[00:05:56.200 --> 00:05:59.200]  然後心裡得著安慰
