
[00:00:00.000 --> 00:00:08.000]  領姊妹好,沒見幾個月了,我又回來了
[00:00:08.000 --> 00:00:14.000]  很開心,回來離開幾個月又見到新的面孔
[00:00:14.000 --> 00:00:19.000]  見到Vicky,第一次見到你就好像我
[00:00:19.000 --> 00:00:22.000]  是啊是啊是啊,感謝主
[00:00:22.000 --> 00:00:26.000]  雖然我不認識,但是聽Vicky一直只是報告
[00:00:26.000 --> 00:00:29.000]  但是感覺她裡面的精神
[00:00:29.000 --> 00:00:32.000]  感謝主,我們是一個很好的大家的對公
[00:00:32.000 --> 00:00:36.000]  求主祝福我們,又新一年了,2014年
[00:00:36.000 --> 00:00:41.000]  我一直在2014年,我想一下有什麼訊息和大家一起去分享呢
[00:00:41.000 --> 00:00:49.000]  後來我就決定和大家講一卷很複雜,很深奧的書
[00:00:49.000 --> 00:00:54.000]  很多基督徒看到那卷書就多數都翻過去
[00:00:54.000 --> 00:01:00.000]  因為真的很多密碼,很多複雜的異象
[00:01:00.000 --> 00:01:03.000]  這個就是我們今天所看的撒加利亞書
[00:01:03.000 --> 00:01:06.000]  當然我不會講完撒加利亞書
[00:01:06.000 --> 00:01:12.000]  我就預備和大家用兩次的時間一起分享其中一些的訊息
[00:01:12.000 --> 00:01:15.000]  我覺得也是適合我們新的一年開始的時候
[00:01:15.000 --> 00:01:18.000]  我們預備我們的心智,預備我們的心情
[00:01:18.000 --> 00:01:23.000]  和預備我們的態度去面對一個不知道的未來
[00:01:23.000 --> 00:01:28.000]  撒加利亞書是蠻複雜的
[00:01:28.000 --> 00:01:34.000]  希望除了和大家學術,其實不是
[00:01:34.000 --> 00:01:38.000]  講解了其中一些很困難的地方之後
[00:01:38.000 --> 00:01:43.000]  將裡面這些很重要的訊息反而互相鼓勵
[00:01:43.000 --> 00:01:48.000]  撒加利亞書如果你稍微看過知道一下
[00:01:48.000 --> 00:01:51.000]  撒加利亞書最重要的其中前的部分
[00:01:51.000 --> 00:01:55.000]  那幾張聖經,一直是第一章到第六章
[00:01:55.000 --> 00:02:01.000]  就有記載了撒加利亞先知在夜間看到的八個異象
[00:02:01.000 --> 00:02:05.000]  有八個異象,這八個異象都很多東西
[00:02:05.000 --> 00:02:09.000]  所以我就決定講第一個,就是今天
[00:02:09.000 --> 00:02:13.000]  和下個月講最後一個,第八個
[00:02:13.000 --> 00:02:18.000]  其他如果你有興趣,你們自己慢慢去熬
[00:02:18.000 --> 00:02:23.000]  但是這些異象本身我覺得有訊息對我們講
[00:02:23.000 --> 00:02:27.000]  首先對我講,也都是希望和每一個弟兄姊妹講
[00:02:27.000 --> 00:02:30.000]  好,我們一起先祈禱,求主幫助我們
[00:02:30.000 --> 00:02:35.000]  我們主我們的神,今天我們打開你自己一卷啟示的書
[00:02:35.000 --> 00:02:44.000]  當中有很精彩的預言,也都有很多很深刻的提醒
[00:02:44.000 --> 00:02:48.000]  和讓我們警醒,求主你自己親自教我們
[00:02:48.000 --> 00:02:52.000]  聖靈啊,求你帶我們進入真理,如果不是你親自講解
[00:02:52.000 --> 00:02:56.000]  我們真的沒有辦法把觸你自己這麼奧妙的心意
[00:02:56.000 --> 00:02:58.000]  也求主不單止讓我們明白
[00:02:58.000 --> 00:03:02.000]  也讓我們在這段聖經裏面,你所講的訊息當中
[00:03:02.000 --> 00:03:06.000]  主啊,你改變我們的態度,改變我們的心智
[00:03:06.000 --> 00:03:09.000]  讓我們有新的一年,新的生命歷程
[00:03:09.000 --> 00:03:14.000]  我們繼續跟隨你,並且發光發熱,作炎
[00:03:14.000 --> 00:03:17.000]  主啊,我們求你自己恩待這段時間
[00:03:17.000 --> 00:03:20.000]  聽我們的禱告,奉耶穌基督的命求,阿們
[00:03:20.000 --> 00:03:23.000]  好,我們就可以打開這個撒加利亞書
[00:03:23.000 --> 00:03:26.000]  如果你有聖經的話,最好就打開撒加利亞書第一章
[00:03:26.000 --> 00:03:36.000]  如果沒有的話,就看著待會我們所指的那些打出來的經文都可以
[00:03:36.000 --> 00:03:40.000]  不過呢,大家知道今天我們這個講義
[00:03:40.000 --> 00:03:46.000]  就是放在大家的程序單那裏
[00:03:46.000 --> 00:03:51.000]  所以你就打開來看,因為那裏有些人幫助我們
[00:03:51.000 --> 00:03:54.000]  一起看的時候有多些的把握
[00:03:54.000 --> 00:03:58.000]  好,那我們現在開始這個學習的旅程
[00:03:58.000 --> 00:04:07.000]  撒加利亞的先知,大家知道是以色列舊約裏面最後的先知
[00:04:07.000 --> 00:04:11.000]  撒加利亞書寫作的時候大概是公元前五百年左右
[00:04:11.000 --> 00:04:16.000]  撒加利亞先知和另外一個先知差不多是同時期的
