
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹 平安
[00:00:04.000 --> 00:00:10.000]  也很歡迎弟兄姊妹在這個假期放棄出去度假
[00:00:10.000 --> 00:00:14.000]  還回到殿中跟我們這些家人一起團聚
[00:00:14.000 --> 00:00:16.000]  也是非常感謝神的恩典
[00:00:16.000 --> 00:00:22.000]  我們在講到之前 我們有一個開始的禱告
[00:00:22.000 --> 00:00:29.000]  親愛的天父 感謝你讓我們在這裡明白到
[00:00:29.000 --> 00:00:33.000]  有你是無比的好的
[00:00:33.000 --> 00:00:38.000]  親愛的天父 你賜下我們美好的氣息
[00:00:38.000 --> 00:00:40.000]  也給了我們使命
[00:00:40.000 --> 00:00:44.000]  讓我們把愛的使命可以傳遞出去
[00:00:44.000 --> 00:00:47.000]  可以關心到不同的人
[00:00:47.000 --> 00:00:54.000]  像這一次冬天遭受火災的朋友
[00:00:54.000 --> 00:00:56.000]  讓我們繼續不要忘記他們
[00:00:56.000 --> 00:00:59.000]  還可以把關愛傳遞給他們
[00:00:59.000 --> 00:01:01.000]  神啊 求你保守
[00:01:01.000 --> 00:01:08.000]  也請你保守我們遠行在不同的地方度假的弟兄姊妹
[00:01:08.000 --> 00:01:11.000]  神啊 也請你保守他們的行程
[00:01:11.000 --> 00:01:13.000]  有他們美好的團聚
[00:01:13.000 --> 00:01:17.000]  也請保守我們從不同的地方來的弟兄姊妹
[00:01:17.000 --> 00:01:19.000]  可以聚在你的殿中
[00:01:19.000 --> 00:01:22.000]  一起來享受你賜下美好的恩典
[00:01:22.000 --> 00:01:24.000]  我們這樣仰望交託
[00:01:24.000 --> 00:01:28.000]  奉主耶穌得聖的名求 阿們
[00:01:28.000 --> 00:01:35.000]  今天是聖誕後的第一個主日
[00:01:35.000 --> 00:01:43.000]  也是我們歡迎等待主再來的主日
[00:01:43.000 --> 00:01:47.000]  等著主再來的話就不能什麼都不幹
[00:01:47.000 --> 00:01:50.000]  所以我們還有很多的使命要做
[00:01:50.000 --> 00:01:52.000]  所以第一個使命的話
[00:01:52.000 --> 00:01:59.000]  我想邀請今天下午要受洗的周玉子妹和她的朋友
[00:01:59.000 --> 00:02:04.000]  一家弟兄我們一起來點燃這五根蠟燭
[00:02:04.000 --> 00:02:08.000]  尤其是最後一根點燃的是粉紅色的蠟燭
[00:02:08.000 --> 00:02:12.000]  也就是紀念主的再來
[00:02:12.000 --> 00:02:14.000]  其實你發現我們有五根蠟燭
[00:02:14.000 --> 00:02:18.000]  很多時候將臨期的話是點四根
[00:02:18.000 --> 00:02:20.000]  但是我們今天特別一點
[00:02:20.000 --> 00:02:22.000]  因為我們今天講這個使命的話
[00:02:22.000 --> 00:02:26.000]  想請他們一起點燃第五根粉紅色的蠟燭
[00:02:26.000 --> 00:02:30.000]  就是等待主再來的
