
[00:00:00.000 --> 00:00:05.000]  這段經文提及到人如何蒙恩
[00:00:05.000 --> 00:00:09.000]  當我們很多時候在一些初信班
[00:00:09.000 --> 00:00:13.000]  或是在一些不同的禪經班裏面
[00:00:13.000 --> 00:00:16.000]  都會常常提及一節經文
[00:00:16.000 --> 00:00:18.000]  大家很多會熟悉的
[00:00:18.000 --> 00:00:20.000]  而佛書書第二章第八節
[00:00:20.000 --> 00:00:23.000]  就提到我們得救是本乎因
[00:00:23.000 --> 00:00:26.000]  也因著信
[00:00:26.000 --> 00:00:31.000]  並不是出於自己乃至神所賜的
[00:00:31.000 --> 00:00:33.000]  我們常常讀經時常說
[00:00:33.000 --> 00:00:35.000]  得救不是因為我們自己
[00:00:35.000 --> 00:00:38.000]  憑著自己能夠得救
[00:00:38.000 --> 00:00:42.000]  是完全出乎因典
[00:00:42.000 --> 00:00:44.000]  但很多時候聖經亦勉勵我們
[00:00:44.000 --> 00:00:48.000]  不單是我們得救的時候知道是憑著因典
[00:00:48.000 --> 00:00:51.000]  在整個信仰的歷程裏面
[00:00:51.000 --> 00:00:55.000]  很清楚知道一切都是因典
[00:00:55.000 --> 00:00:58.000]  但當時在聖經的新約的時候
[00:00:58.000 --> 00:01:01.000]  保羅勉勵一些教會的弟兄姊妹
[00:01:01.000 --> 00:01:05.000]  要小心不要走回原來的舊路
[00:01:05.000 --> 00:01:09.000]  在迦勒提書亦在其中的第三章提及
[00:01:09.000 --> 00:01:11.000]  保羅說你們受了聖靈
[00:01:11.000 --> 00:01:13.000]  是因為遵行律法
[00:01:13.000 --> 00:01:16.000]  還是聽信福音
[00:01:16.000 --> 00:01:18.000]  很明顯他們能夠領受救
[00:01:18.000 --> 00:01:19.000]  因為領受聖靈
[00:01:19.000 --> 00:01:22.000]  是因為聽信福音
[00:01:22.000 --> 00:01:27.000]  但保羅說你們既然靠聖靈入門
[00:01:27.000 --> 00:01:31.000]  為何要靠肉身去成全呢?
[00:01:31.000 --> 00:01:33.000]  既然是靠聖靈
[00:01:33.000 --> 00:01:36.000]  憑著神的恩惠領受一切
[00:01:36.000 --> 00:01:39.000]  為何還要靠自己的努力
[00:01:39.000 --> 00:01:42.000]  自己個人的成果成就
[00:01:42.000 --> 00:01:46.000]  來得到聖靈得到因典呢?
[00:01:46.000 --> 00:01:50.000]  這是保羅所提出的一件可能的危險
[00:01:50.000 --> 00:01:53.000]  就是在跟隨主的路上
[00:01:53.000 --> 00:01:56.000]  有時候突然間自我出現
[00:01:56.000 --> 00:01:58.000]  產生一種試探
[00:01:58.000 --> 00:01:59.000]  本來是本乎因的
[00:01:59.000 --> 00:02:01.000]  但慢慢轉移
[00:02:01.000 --> 00:02:04.000]  憑著自己來跟隨上帝
[00:02:04.000 --> 00:02:06.000]  以至在過程當中
[00:02:06.000 --> 00:02:10.000]  失去很多神要持的恩惠
[00:02:10.000 --> 00:02:13.000]  當我們今天讀到馬太五十十九章的時候
[00:02:13.000 --> 00:02:18.000]  就發覺彼得當時有一個很特別的觀念
[00:02:18.000 --> 00:02:21.000]  主耶穌指出這個觀念是錯的觀念
[00:02:21.000 --> 00:02:26.000]  這正是我們今天要常常醒覺的事情
[00:02:26.000 --> 00:02:28.000]  大家看回馬太五十九章
[00:02:28.000 --> 00:02:30.000]  你一定留意到前面
[00:02:30.000 --> 00:02:32.000]  由第十六節開始
[00:02:32.000 --> 00:02:36.000]  就是在說一個少年的或青年的財主
[00:02:36.000 --> 00:02:40.000]  他來問耶穌關於永生的道理
[00:02:40.000 --> 00:02:43.000]  他是很誠懇地來問及這些事情
[00:02:43.000 --> 00:02:46.000]  但主耶穌留意到他的情況
[00:02:46.000 --> 00:02:51.000]  他提出你要撇下一切來跟隨我
[00:02:51.000 --> 00:02:53.000]  他知道自己有很多錢
[00:02:53.000 --> 00:02:54.000]  有名聲地位
[00:02:54.000 --> 00:02:56.000]  他不可以撇下
[00:02:56.000 --> 00:02:58.000]  所以他就離開了
[00:02:58.000 --> 00:03:00.000]  當他離開的時候
[00:03:00.000 --> 00:03:02.000]  當時彼得看到這樣的情況
[00:03:02.000 --> 00:03:04.000]  就問耶穌一個問題
[00:03:04.000 --> 00:03:14.000]  大家看回第十九章前面的第二十二節
[00:03:14.000 --> 00:03:18.000]  那青年聽見這話就悠悠愁愁地走了
[00:03:18.000 --> 00:03:21.000]  原來他的財產很多
[00:03:21.000 --> 00:03:23.000]  然後主耶穌就說
[00:03:23.000 --> 00:03:26.000]  財主能夠進到天國是很難
[00:03:26.000 --> 00:03:30.000]  好像駱駝穿過針眼一樣
[00:03:30.000 --> 00:03:31.000]  然後二十五節
[00:03:31.000 --> 00:03:33.000]  門徒聽見了就十分驚奇
[00:03:33.000 --> 00:03:37.000]  就問他誰可以得救呢
[00:03:37.000 --> 00:03:39.000]  在當時的觀念認為
