
[00:00:00.000 --> 00:00:02.800]  如果看第9至18節
[00:00:02.800 --> 00:00:05.240]  你會看到一系列的行動
[00:00:05.240 --> 00:00:06.920]  很多東西 說了很多東西
[00:00:06.920 --> 00:00:09.160]  他由第9節開始
[00:00:09.160 --> 00:00:10.360]  有一個綱領
[00:00:10.360 --> 00:00:13.360]  這個綱領是跟彼得前書三章十一節
[00:00:13.360 --> 00:00:15.480]  或者是詩篇34篇14節
[00:00:15.480 --> 00:00:16.760]  是相呼應的
[00:00:16.760 --> 00:00:18.480]  就是叫我們信徒
[00:00:18.480 --> 00:00:20.880]  善的 美好的事
[00:00:20.880 --> 00:00:22.560]  好好的去做
[00:00:22.560 --> 00:00:23.080]  是嗎
[00:00:23.080 --> 00:00:24.680]  要追求的
[00:00:24.680 --> 00:00:26.560]  惡的 遠離的
[00:00:26.560 --> 00:00:29.400]  不好的 行不經前的事
[00:00:29.400 --> 00:00:32.800]  這是一個很大的原則
[00:00:32.800 --> 00:00:36.560]  在教會或個人的生命上怎樣去應用
[00:00:36.560 --> 00:00:41.280]  接著保羅在這段經文當中
[00:00:41.280 --> 00:00:42.200]  如果歸納
[00:00:42.200 --> 00:00:43.760]  有三類型的人
[00:00:43.760 --> 00:00:46.280]  會浮現在我們教會當中
[00:00:46.280 --> 00:00:50.720]  保羅從9至18節歸納了三類型的人
[00:00:50.720 --> 00:00:53.480]  或者透過這三類型的人
[00:00:53.480 --> 00:00:54.560]  讓我們思考
[00:00:54.560 --> 00:00:58.000]  我們是怎樣彼此的服侍和相愛
[00:00:58.000 --> 00:01:00.000]  第一類型就是
[00:01:00.000 --> 00:01:02.600]  身邊的弟兄姊妹
[00:01:02.600 --> 00:01:06.000]  經文多處提及
[00:01:06.000 --> 00:01:08.280]  我們怎樣對待身邊的弟兄姊妹
[00:01:08.280 --> 00:01:09.480]  包括第十節
[00:01:09.480 --> 00:01:10.240]  他提及
[00:01:10.240 --> 00:01:11.640]  愛身邊的弟兄姊妹
[00:01:11.640 --> 00:01:13.640]  好像你的家人一樣
[00:01:13.640 --> 00:01:16.000]  一家人彼此相愛
[00:01:16.000 --> 00:01:18.440]  肥華比書二章三節提及
[00:01:18.440 --> 00:01:20.360]  要看別人比自己強
[00:01:20.360 --> 00:01:21.480]  優勝
[00:01:21.480 --> 00:01:23.320]  對方有的東西
[00:01:23.320 --> 00:01:24.200]  可能我沒有
[00:01:24.200 --> 00:01:27.160]  要看重對方生命的特質
[00:01:27.160 --> 00:01:30.120]  這是彼此推讓的意思
[00:01:30.120 --> 00:01:36.960]  對方真的有些東西值得我去欣賞和肯定
[00:01:36.960 --> 00:01:40.640]  有時候我去到不同場合
[00:01:40.640 --> 00:01:42.080]  在區議會都會拍照
[00:01:42.080 --> 00:01:43.320]  即是聚會
[00:01:43.320 --> 00:01:45.040]  例如按目點禮
[00:01:45.040 --> 00:01:46.920]  做一個簡單的例子
[00:01:46.920 --> 00:01:50.440]  通常在很多情況下
[00:01:50.440 --> 00:01:52.680]  我都很自然地走去一個位置
[00:01:52.680 --> 00:01:55.200]  就是走去最外面的那個
[00:01:55.200 --> 00:01:56.280]  我會一樣
[00:01:56.280 --> 00:01:57.760]  先天的牧師
[00:01:57.760 --> 00:01:59.360]  榮休的牧師
[00:01:59.360 --> 00:02:00.880]  資深的牧者
[00:02:00.880 --> 00:02:01.760]  主席
[00:02:01.760 --> 00:02:02.400]  站在中間
