
[00:00:00.000 --> 00:00:03.000]  天父,我們願用預備好的心
[00:00:03.000 --> 00:00:07.000]  恭敬地在你的面前領受你的話語
[00:00:07.000 --> 00:00:12.000]  藉著聖靈向我們心中發出來
[00:00:12.000 --> 00:00:15.000]  我們所聽見的不是人
[00:00:15.000 --> 00:00:17.000]  所要向我們講的
[00:00:17.000 --> 00:00:23.000]  乃是主自己的話語在聖經裡面為我們留下的
[00:00:23.000 --> 00:00:26.000]  我們每逢到你的面前
[00:00:26.000 --> 00:00:28.000]  就是你的食恩的臺前
[00:00:28.000 --> 00:00:31.000]  我們有一顆和睦的心
[00:00:31.000 --> 00:00:33.000]  和睦見主的面
[00:00:33.000 --> 00:00:35.000]  聽見主的聲音
[00:00:35.000 --> 00:00:38.000]  與主又密切地傳契
[00:00:38.000 --> 00:00:42.000]  求主使我們今天這個禮拜
[00:00:42.000 --> 00:00:45.000]  有這樣淑靈的時機
[00:00:45.000 --> 00:00:48.000]  保費師在我們中間運行
[00:00:48.000 --> 00:00:52.000]  把神的愛澆灌在我們的心中
[00:00:52.000 --> 00:00:55.000]  讓我們裡面有喜樂
[00:00:55.000 --> 00:00:57.000]  裡面有力量
[00:00:57.000 --> 00:01:01.000]  讓我們能夠繼續奔跑臨城
[00:01:01.000 --> 00:01:04.000]  向著標竿來追求
[00:01:04.000 --> 00:01:07.000]  求主幫助你的兩個孩子
[00:01:07.000 --> 00:01:10.000]  將你的話語傳達的清楚
[00:01:10.000 --> 00:01:12.000]  我們一同來領受
[00:01:12.000 --> 00:01:16.000]  我們這樣的祈求感謝禱告
[00:01:16.000 --> 00:01:18.000]  奉主耶穌基督的聖名
[00:01:18.000 --> 00:01:20.000]  阿門
[00:01:20.000 --> 00:01:24.000]  請大家翻到舊約
[00:01:24.000 --> 00:01:27.000]  耶利米埃哥
[00:01:27.000 --> 00:01:28.000]  請大家翻到舊約
[00:01:28.000 --> 00:01:30.000]  耶利米埃哥
[00:01:30.000 --> 00:01:32.000]  第四章
[00:01:32.000 --> 00:01:33.000]  第四章
[00:01:33.000 --> 00:01:35.000]  第三章
[00:01:35.000 --> 00:01:37.000]  耶利米埃哥第三章
[00:01:37.000 --> 00:01:38.000]  第四十節
[00:01:38.000 --> 00:01:41.000]  第三章的第四十節
[00:01:41.000 --> 00:01:43.000]  三章四十節
[00:01:43.000 --> 00:01:46.000]  我們當心心考察自己的行為
