
[00:00:00.000 --> 00:00:05.000]  今天為我們證到的是本堂賀志永傳道
[00:00:05.000 --> 00:00:07.000]  他證到的題目是
[00:00:07.000 --> 00:00:11.000]  牧羊之子與和平之君
[00:00:11.000 --> 00:00:16.000]  經文在《路加福音》二章八到二十節
[00:00:16.000 --> 00:00:19.000]  請聽我讀出經文
[00:00:19.000 --> 00:00:22.000]  在伯利衡之野地裡
[00:00:22.000 --> 00:00:24.000]  有牧羊的人
[00:00:24.000 --> 00:00:29.000]  夜間按著羹刺看守羊群
[00:00:29.000 --> 00:00:32.000]  有主的使者站在他們旁邊
[00:00:32.000 --> 00:00:36.000]  主的榮光四面照著他們
[00:00:36.000 --> 00:00:39.000]  牧羊的人就生懼怕
[00:00:39.000 --> 00:00:41.000]  那天使對他們說
[00:00:41.000 --> 00:00:43.000]  不要懼怕
[00:00:43.000 --> 00:00:46.000]  我報給你們一個大喜的信息
[00:00:46.000 --> 00:00:48.000]  是關乎萬民的
[00:00:48.000 --> 00:00:50.000]  因今天在大衛的城裡
[00:00:50.000 --> 00:00:52.000]  為你們生了救主
[00:00:52.000 --> 00:00:55.000]  就是主基督
[00:00:55.000 --> 00:00:57.000]  你們要看見一個嬰孩
[00:00:57.000 --> 00:00:59.000]  包著布
[00:00:59.000 --> 00:01:01.000]  臥在馬槽裡
[00:01:01.000 --> 00:01:03.000]  那就是記號了
[00:01:03.000 --> 00:01:06.000]  忽然有一大隊天兵
[00:01:06.000 --> 00:01:08.000]  同那天使讚美神說
[00:01:08.000 --> 00:01:10.000]  在至高之處
[00:01:10.000 --> 00:01:12.000]  榮耀歸於神
[00:01:12.000 --> 00:01:16.000]  在地上平安歸於他所喜悅的人
[00:01:16.000 --> 00:01:19.000]  眾天使離開他們
[00:01:19.000 --> 00:01:21.000]  升天去了
[00:01:21.000 --> 00:01:23.000]  牧羊的人彼此說
[00:01:23.000 --> 00:01:26.000]  我們往伯利衡去看看所成的事
[00:01:26.000 --> 00:01:29.000]  就是主所指示我們的
[00:01:29.000 --> 00:01:31.000]  他們急忙去了
[00:01:31.000 --> 00:01:34.000]  就尋見瑪利亞和約瑟
