
[00:00:00.000 --> 00:00:03.000]  聚集在你的面前
[00:00:03.000 --> 00:00:05.000]  奉主的名
[00:00:05.000 --> 00:00:08.000]  來領受你的話語
[00:00:08.000 --> 00:00:11.000]  我們懇求寶貴師聖靈
[00:00:11.000 --> 00:00:13.000]  親自的教導我們
[00:00:13.000 --> 00:00:16.000]  除去我們裡面一切的攔阻
[00:00:16.000 --> 00:00:19.000]  賜給我們和睦的心
[00:00:19.000 --> 00:00:21.000]  在你的話語上
[00:00:21.000 --> 00:00:23.000]  在書靈的道路上
[00:00:23.000 --> 00:00:25.000]  功課上
[00:00:25.000 --> 00:00:27.000]  繼續的追求
[00:00:27.000 --> 00:00:29.000]  不斷地有長進
[00:00:29.000 --> 00:00:32.000]  能夠合乎你的心意
[00:00:32.000 --> 00:00:34.000]  求你這個時候
[00:00:34.000 --> 00:00:36.000]  藉著聖經的話語
[00:00:36.000 --> 00:00:37.000]  教導我們
[00:00:37.000 --> 00:00:41.000]  使每一個人都有所領受
[00:00:41.000 --> 00:00:42.000]  我們這樣的仰望
[00:00:42.000 --> 00:00:45.000]  祈求奉主耶穌基督的名
[00:00:45.000 --> 00:00:47.000]  阿們
[00:00:47.000 --> 00:00:50.000]  各位弟兄姊妹
[00:00:50.000 --> 00:00:52.000]  我感謝主的恩典
[00:00:52.000 --> 00:00:54.000]  再一次賜給我機會
[00:00:54.000 --> 00:00:56.000]  可以和大家一同
[00:00:56.000 --> 00:00:59.000]  領受主的話語
[00:00:59.000 --> 00:01:01.000]  我們的神
[00:01:01.000 --> 00:01:04.000]  是一位回應的神
[00:01:04.000 --> 00:01:07.000]  他回應我們的信心
[00:01:07.000 --> 00:01:10.000]  他回應我們的渴慕
[00:01:10.000 --> 00:01:12.000]  來滿足我們
[00:01:12.000 --> 00:01:15.000]  他回應我們的奉獻
[00:01:15.000 --> 00:01:17.000]  來使用我們
[00:01:17.000 --> 00:01:22.000]  所以我們對著這樣的一位父神
[00:01:22.000 --> 00:01:24.000]  我們願意常常地
