
[00:00:00.000 --> 00:00:04.000]  我記得第一次聽到一位宣教士跟我們分享他的經歷
[00:00:04.000 --> 00:00:06.320]  他聽到一件事情
[00:00:06.320 --> 00:00:09.920]  就是在國內有一間家庭教會
[00:00:09.920 --> 00:00:12.280]  那間家庭教會正在聚會的時候
[00:00:12.280 --> 00:00:16.080]  有一些公安來到去封查他們的地方
[00:00:16.080 --> 00:00:17.760]  當時弟兄姊妹很慌張
[00:00:17.760 --> 00:00:19.920]  就被這些公安抓了出來
[00:00:19.920 --> 00:00:22.040]  抓了出來之後
[00:00:22.040 --> 00:00:26.200]  這些公安就說我們要拘捕你們
[00:00:26.200 --> 00:00:29.360]  當時弟兄姊妹就很慌張很擔心
[00:00:29.360 --> 00:00:30.840]  後來其中一位領袖
[00:00:30.840 --> 00:00:33.640]  公安負責的領袖就進入教堂
[00:00:33.640 --> 00:00:35.080]  他們的家庭裡面
[00:00:35.080 --> 00:00:37.240]  拔了一張耶穌的相片出來
[00:00:37.240 --> 00:00:39.480]  就丟了在地上
[00:00:39.480 --> 00:00:42.520]  然後跟那班信徒說
[00:00:42.520 --> 00:00:47.840]  你們誰吐口水在這張相片上就可以走
[00:00:47.840 --> 00:00:51.680]  如果不是就跟我回公安處
[00:00:51.680 --> 00:00:53.640]  當時大家眼望我眼
[00:00:53.640 --> 00:00:54.720]  都不知道怎麼辦
[00:00:54.720 --> 00:00:57.440]  還做嗎?吐不吐呢?
[00:00:57.440 --> 00:01:00.600]  後來有一個人靜悄悄地走到前面
[00:01:00.600 --> 00:01:03.680]  對著相片
[00:01:03.680 --> 00:01:04.760]  然後公安告訴他
[00:01:04.760 --> 00:01:07.720]  好!你可以走
[00:01:07.720 --> 00:01:10.960]  接著其他弟兄姊妹看到這樣的情況
[00:01:10.960 --> 00:01:15.200]  有很多人就陸續走到相片上
[00:01:15.200 --> 00:01:16.640]  就走了
[00:01:16.640 --> 00:01:19.040]  一個一個的走了
[00:01:19.040 --> 00:01:23.680]  後來見到一個少年的女孩
[00:01:23.680 --> 00:01:26.440]  她就走到相片上
[00:01:26.440 --> 00:01:30.200]  大家以為她一定會跟著大人
[00:01:30.200 --> 00:01:33.440]  但竟然她看著相片一直不動
[00:01:33.440 --> 00:01:35.640]  然後出乎大家的意料
[00:01:35.640 --> 00:01:39.560]  她就把相片從地上拿上來
[00:01:39.560 --> 00:01:44.160]  然後拿著衣服一邊抹一邊抹
[00:01:44.160 --> 00:01:49.960]  然後把相片放在自己的心旁
[00:01:49.960 --> 00:01:51.240]  我很記得這個故事
[00:01:51.240 --> 00:01:52.240]  當我聽到的時候
[00:01:52.240 --> 00:01:54.640]  我心裡有很大的感動
[00:01:54.640 --> 00:01:57.240]  這個少年雖然年紀小
[00:01:57.240 --> 00:01:59.960]  但是他內心那種愛耶穌的心
[00:01:59.960 --> 00:02:02.720]  透過他的行動表達出來
[00:02:02.720 --> 00:02:04.080]  不單只是愛心
[00:02:04.080 --> 00:02:06.000]  也是他相信這位的神
[00:02:06.000 --> 00:02:07.160]  是掌權的神
[00:02:07.160 --> 00:02:09.400]  面對著惡權勢
[00:02:09.400 --> 00:02:11.680]  他沒有什麼畏懼
[00:02:11.680 --> 00:02:17.840]  然後當眾地把這幅相拿起來抹乾淨
[00:02:17.840 --> 00:02:20.880]  這種行為是一種帶著信心
[00:02:20.880 --> 00:02:23.560]  和愛心有的行為
[00:02:23.560 --> 00:02:26.040]  是神所起源的
[00:02:26.040 --> 00:02:26.760]  各位弟兄姊妹
[00:02:26.760 --> 00:02:28.640]  我們常常說要信耶穌
[00:02:28.640 --> 00:02:30.160]  沒錯很多人都相信
