
[00:00:00.000 --> 00:00:03.640]  大家知道今天是聖靈降臨主日
[00:00:03.640 --> 00:00:05.000]  在教會歷史當中
[00:00:05.000 --> 00:00:07.320]  每次去到一個主日的時候
[00:00:07.320 --> 00:00:09.480]  我們都特別思想到
[00:00:09.480 --> 00:00:12.880]  在過去神怎樣賜下聖靈
[00:00:12.880 --> 00:00:16.360]  臨到每一個屬祂的人生上
[00:00:16.360 --> 00:00:17.600]  在教會的時候
[00:00:17.600 --> 00:00:19.920]  猶太人他們會常常慶祝一個節日
[00:00:19.920 --> 00:00:22.440]  就是五旬節
[00:00:22.440 --> 00:00:24.520]  在五旬節之前50天
[00:00:24.520 --> 00:00:26.520]  亦都是他們的逾越節
[00:00:26.520 --> 00:00:27.720]  大家很多時候都會聽到
[00:00:27.720 --> 00:00:31.400]  逾越節是紀念受被殺的羔羊
[00:00:31.400 --> 00:00:33.320]  當他們在逾越節當中
[00:00:33.320 --> 00:00:35.720]  通常他們會將初熟的果子
[00:00:35.720 --> 00:00:38.600]  亦都是他們收割的開始的時候
[00:00:38.600 --> 00:00:42.040]  將初熟的果子亦都獻情給神
[00:00:42.040 --> 00:00:44.760]  在新日的時候我們知道這個初熟的果子
[00:00:44.760 --> 00:00:48.280]  正是在說主耶穌祂自己將生命奉獻
[00:00:48.280 --> 00:00:51.200]  祂是初熟的果子
[00:00:51.200 --> 00:00:55.600]  在他們獻上初熟果子之後的七個星期
[00:00:55.600 --> 00:00:58.280]  連續七個星期他們不斷地收割
[00:00:58.280 --> 00:01:02.360]  因此他們稱為七七節
[00:01:02.360 --> 00:01:04.400]  當他們完成了這個收割之後
[00:01:04.400 --> 00:01:06.560]  那個時間一起再慶祝
[00:01:06.560 --> 00:01:08.960]  這個就是收割節
[00:01:08.960 --> 00:01:13.000]  其實七七節、收割節和五旬節
[00:01:13.000 --> 00:01:15.680]  是同一個時間
[00:01:15.680 --> 00:01:19.040]  因為當他們從逾越節開始計算
[00:01:19.040 --> 00:01:20.840]  去到收割節的時候
[00:01:20.840 --> 00:01:22.560]  或者是五旬節的時候
[00:01:22.560 --> 00:01:24.560]  剛剛是五十天
[00:01:24.560 --> 00:01:27.600]  所以他們就稱為五旬節
