
[00:00:00.000 --> 00:00:02.000]  同志們
[00:00:02.000 --> 00:00:07.000]  我們科目生命的長進
[00:00:07.000 --> 00:00:11.000]  沒有任何一件其他的事
[00:00:11.000 --> 00:00:13.000]  比我們生命的長進
[00:00:13.000 --> 00:00:17.000]  更加能夠滿足主的心
[00:00:17.000 --> 00:00:20.000]  主捨去他的生命
[00:00:20.000 --> 00:00:22.000]  就是要我們得生命
[00:00:22.000 --> 00:00:25.000]  而且得得更豐盛
[00:00:25.000 --> 00:00:27.000]  當我們的生命
[00:00:27.000 --> 00:00:32.000]  漸漸進入豐盛的生命的境界的時候
[00:00:32.000 --> 00:00:37.000]  我們主的心是滿足喜樂
[00:00:37.000 --> 00:00:41.000]  我們用這樣體會主的心
[00:00:41.000 --> 00:00:47.000]  來接受七十六裡面關於生命的信息
[00:00:47.000 --> 00:00:49.000]  在這兩堂裡面
[00:00:49.000 --> 00:00:53.000]  我們的重點是放在得生的生命上
[00:00:53.000 --> 00:00:55.000]  昨天晚上
[00:00:55.000 --> 00:00:58.000]  我們看了基督的寶座
[00:00:58.000 --> 00:01:02.000]  基督的寶座是得勝的寶座
[00:01:02.000 --> 00:01:05.000]  寶座在聖經裡面
[00:01:05.000 --> 00:01:08.000]  有三個基本的意義
[00:01:08.000 --> 00:01:12.000]  第一恩惠的寶座
[00:01:12.000 --> 00:01:15.000]  第二得勝的寶座
[00:01:15.000 --> 00:01:19.000]  第三神盼的寶座
[00:01:19.000 --> 00:01:24.000]  我們的重點是放在得勝的寶座上
[00:01:24.000 --> 00:01:26.000]  在七十六裡面
[00:01:26.000 --> 00:01:29.000]  我們看見神的寶座
[00:01:29.000 --> 00:01:33.000]  有兩部的章節
[00:01:33.000 --> 00:01:38.000]  第一部是在教會裡面的章節
[00:01:38.000 --> 00:01:44.000]  請看十六章十七節
[00:01:44.000 --> 00:01:48.000]  十六章十七節
[00:01:48.000 --> 00:01:52.000]  第七位天使把碗倒在空中
[00:01:52.000 --> 00:01:59.000]  就有大聲音從殿中的寶座上出來說成了
[00:01:59.000 --> 00:02:01.000]  成了兩個字
[00:02:01.000 --> 00:02:04.000]  從寶座上發出來
[00:02:04.000 --> 00:02:06.000]  寶座在哪裡
[00:02:06.000 --> 00:02:08.000]  在殿中
[00:02:08.000 --> 00:02:12.000]  今天教會是神的殿
[00:02:12.000 --> 00:02:14.000]  是神的家
[00:02:14.000 --> 00:02:17.000]  基督的寶座在這個時代裡面
[00:02:17.000 --> 00:02:22.000]  僅僅鮮明在教會裡面
[00:02:22.000 --> 00:02:24.000]  足說究數的人
[00:02:24.000 --> 00:02:26.000]  在現在的生活中
[00:02:26.000 --> 00:02:28.000]  就尊足偉大
[00:02:28.000 --> 00:02:30.000]  尊足偉盛
[00:02:30.000 --> 00:02:35.000]  讓足舉手為張王犬
[00:02:35.000 --> 00:02:38.000]  這是一半的彰顯
[00:02:38.000 --> 00:02:41.000]  一半隱藏一半彰顯
[00:02:41.000 --> 00:02:46.000]  世上的人看不見基督的王犬
[00:02:46.000 --> 00:02:48.000]  但是到了第二部
[00:02:48.000 --> 00:02:53.000]  那就是第二十一章第三節
[00:02:53.000 --> 00:02:55.000]  二十一章第三節
[00:02:55.000 --> 00:02:59.000]  我聽見有大聲音從寶座出來說
[00:02:59.000 --> 00:03:00.000]  看啊
[00:03:00.000 --> 00:03:04.000]  神的帳目在人間
[00:03:04.000 --> 00:03:08.000]  大聲音從寶座出來
[00:03:08.000 --> 00:03:10.000]  下面第五節
[00:03:10.000 --> 00:03:12.000]  寶座上的聲音再一次說
[00:03:12.000 --> 00:03:16.000]  都成了
