
[00:00:00.000 --> 00:00:03.740]  鄧小平安 我自己也有感動
[00:00:03.740 --> 00:00:08.140]  希望由今次開始 我們有幾次崇拜的講道
[00:00:08.140 --> 00:00:13.000]  都圍繞著剛才我們列出來的主題
[00:00:13.000 --> 00:00:16.060]  是取自《雅各書》的第一章
[00:00:16.060 --> 00:00:22.060]  因為人的怒氣並不成就神的意願
[00:00:22.060 --> 00:00:25.620]  我們就以人的怒氣 人的憤怒
[00:00:25.620 --> 00:00:29.740]  作為我們這幾次講道的主題
[00:00:29.740 --> 00:00:32.160]  為什麼選擇一個這樣的題目呢?
[00:00:32.160 --> 00:00:37.020]  我心裡的想法 我相信大家也能猜到九成
[00:00:37.020 --> 00:00:42.680]  因為我們發覺我們真的越來越普遍的不快樂
[00:00:42.680 --> 00:00:46.440]  或者我們在這個末世的日子裡
[00:00:46.440 --> 00:00:51.480]  我們會碰到太多令我們很失望的事情
[00:00:51.480 --> 00:00:55.540]  我們會見到越來越多令我們失望的人
[00:00:55.540 --> 00:00:59.740]  有時候觸動這個情緒有很多的不滿
[00:00:59.740 --> 00:01:03.580]  不要說得那麼遠 全世界我們只看香港
[00:01:03.580 --> 00:01:06.680]  我總覺得或者大家也會有很大的共鳴
[00:01:06.680 --> 00:01:08.840]  在過去這兩三年裡
[00:01:08.840 --> 00:01:11.940]  香港的人真的脾氣好不好
[00:01:11.940 --> 00:01:14.160]  你想一下 你自己想一下
[00:01:14.160 --> 00:01:19.760]  無論在家裡甚至在工作的環境
[00:01:19.760 --> 00:01:23.040]  在地鐵 在巴士
[00:01:23.040 --> 00:01:25.260]  我們聽到人聊天 說話
[00:01:25.260 --> 00:01:28.860]  有時候甚至你會驚訝發覺自己
[00:01:28.860 --> 00:01:31.900]  都是很暴躁的 是不是?
[00:01:31.900 --> 00:01:36.580]  就是很好本來可以說一句話都說得很刻薄
[00:01:36.580 --> 00:01:39.380]  很不耐煩的聲氣
[00:01:39.380 --> 00:01:45.860]  而且為什麼不可以說得比較柔和一點
[00:01:45.860 --> 00:01:49.580]  比較鼓勵一點 可以安慰一點呢?
[00:01:49.580 --> 00:01:53.180]  這個就是我自己心裡很想重新
[00:01:53.180 --> 00:01:57.340]  和大家一起在聖經神的說話裡面
[00:01:57.340 --> 00:02:00.860]  再看看這個問題
[00:02:00.860 --> 00:02:08.980]  究竟基督徒可不可以應不應該發怒呢?
[00:02:08.980 --> 00:02:11.340]  我們先來問一個問題
[00:02:11.340 --> 00:02:13.580]  發怒是不是好事呢?
[00:02:13.580 --> 00:02:15.500]  發怒一定不是好事
[00:02:15.500 --> 00:02:18.380]  沒有人覺得發怒是會快樂的事
[00:02:18.380 --> 00:02:21.020]  也不會說 哇 你發怒發得真是好事
[00:02:21.020 --> 00:02:23.260]  大家誤會的 是不是?
[00:02:23.260 --> 00:02:26.460]  所以我們說發怒其實有很多的陷阱
[00:02:26.460 --> 00:02:28.780]  你和我都知道的
[00:02:28.780 --> 00:02:32.300]  不需要多說 不過說出來可能和大家一起
[00:02:32.300 --> 00:02:35.140]  回顧一下你自己的經驗
[00:02:35.140 --> 00:02:38.300]  有時候發覺你自己都有這樣的情緒
[00:02:38.300 --> 00:02:40.180]  當我們發怒的時候
[00:02:40.180 --> 00:02:42.860]  我們發覺一爆的時候
[00:02:42.860 --> 00:02:47.700]  很明顯的你從來都不會想過自己的理由對不對
[00:02:47.700 --> 00:02:49.580]  一定是很自然的
[00:02:49.580 --> 00:02:51.580]  覺得我對的 當然是
[00:02:51.580 --> 00:02:53.420]  應該是這樣的
[00:02:53.420 --> 00:02:55.220]  我們香港人很喜歡說的
[00:02:55.220 --> 00:02:56.220]  你有沒有搞錯啊?
[00:02:56.220 --> 00:02:57.940]  那就是你搞錯了
[00:02:57.940 --> 00:02:59.700]  我沒有錯 是你搞錯了
[00:02:59.700 --> 00:03:02.740]  用了自己的標準去量度對方
[00:03:02.740 --> 00:03:05.500]  並且心裡面很想踐踏對方
[00:03:05.500 --> 00:03:07.260]  說完一句就不夠
[00:03:07.260 --> 00:03:10.740]  還要多說兩句去騙騙他
[00:03:10.740 --> 00:03:14.420]  踐踏他 或者甚至是攻擊他
[00:03:14.420 --> 00:03:15.740]  雖然沒有出手
[00:03:15.740 --> 00:03:18.220]  但是語言暴力都會有
[00:03:18.220 --> 00:03:21.260]  就算說不出 不想說那麼多
[00:03:21.260 --> 00:03:27.060]  心裡面都覺得這個人真的活該了
[00:03:27.060 --> 00:03:29.300]  所以我們發覺是一種攻擊性
[00:03:29.300 --> 00:03:32.020]  一種爆炸性 一種踐踏
[00:03:32.020 --> 00:03:37.220]  並且覺得自己是站在高位裡面去看對方
[00:03:37.220 --> 00:03:41.620]  這個是我們生氣的時候 憤怒的時候
