
[00:00:00.000 --> 00:00:04.000]  我們的思想是有關健全生命的真理
[00:00:04.000 --> 00:00:08.000]  今天特別想到的是主耶穌在地上的時候
[00:00:08.000 --> 00:00:11.000]  祂不懼怕權勢
[00:00:11.000 --> 00:00:15.000]  祂很願意釋放受捆綁的人
[00:00:15.000 --> 00:00:19.000]  帶給他們有釋放和平安
[00:00:19.000 --> 00:00:21.000]  我相信大家都會很體會
[00:00:21.000 --> 00:00:26.000]  在今天的社會其實有很多人面對著不同形式的捆綁
[00:00:26.000 --> 00:00:29.000]  或者是罪的捆綁
[00:00:29.000 --> 00:00:33.000]  或者是在制度上受到某一類的捆綁
[00:00:33.000 --> 00:00:37.000]  或者某一些權勢操控著他們
[00:00:37.000 --> 00:00:39.000]  得不到應得的自由
[00:00:39.000 --> 00:00:44.000]  很多不同形式的捆綁在我們身邊都看到
[00:00:44.000 --> 00:00:49.000]  我們都會求神讓他們都經歷到這種生命的釋放
[00:00:49.000 --> 00:00:53.000]  也都求神用我們將這種釋放的訊息
[00:00:53.000 --> 00:00:58.000]  和釋放的一種幫助帶進他們的生命當中
[00:00:58.000 --> 00:01:00.000]  我有幾次提及在中國
[00:01:00.000 --> 00:01:02.000]  裡面有一些維權的律師
[00:01:02.000 --> 00:01:04.000]  大家看報紙會看到
[00:01:04.000 --> 00:01:09.000]  他們為一些被剝削的人尋求一些公義公平
[00:01:09.000 --> 00:01:13.000]  但是很多時候面對的是更大的壓迫
[00:01:13.000 --> 00:01:15.000]  甚至人生的威脅
[00:01:15.000 --> 00:01:18.000]  但是我知道其中有很多是基督徒
[00:01:18.000 --> 00:01:21.000]  他們持著一份侍奉神的心
[00:01:21.000 --> 00:01:25.000]  樂意去參與這種釋放別人的工作
[00:01:25.000 --> 00:01:27.000]  求神都在我們的崗位當中
[00:01:27.000 --> 00:01:30.000]  讓我們知道我們可以做什麼
[00:01:30.000 --> 00:01:33.000]  來學校我們的主耶穌
[00:01:33.000 --> 00:01:35.000]  聖經六路加福音第十三章
[00:01:35.000 --> 00:01:38.000]  剛才大家讀過的第十節開始
[00:01:38.000 --> 00:01:44.000]  講到主耶穌當時如何釋放一個被捆綁的人
[00:01:44.000 --> 00:01:46.000]  在第十節
[00:01:46.000 --> 00:01:48.000]  安息日的時候
[00:01:48.000 --> 00:01:50.000]  耶穌在會堂裡教導人
[00:01:50.000 --> 00:01:53.000]  有一個女人被邪靈附著
[00:01:53.000 --> 00:01:54.000]  病了十八年
[00:01:54.000 --> 00:01:56.000]  彎腰曲背
[00:01:56.000 --> 00:01:59.000]  完全直不起來
[00:01:59.000 --> 00:02:00.000]  耶穌看見了
[00:02:00.000 --> 00:02:03.000]  就叫她過來對她說
[00:02:03.000 --> 00:02:07.000]  「婦人,你脫離這疾病了」
[00:02:07.000 --> 00:02:10.000]  當時耶穌在會堂裡教訓人
[00:02:10.000 --> 00:02:14.000]  而相信祂是被一位會堂的主管安排
[00:02:14.000 --> 00:02:18.000]  祂才有機會在當中做教導的工作
[00:02:18.000 --> 00:02:21.000]  一般在當時在會堂裡做主管的人
[00:02:21.000 --> 00:02:24.000]  都是在社會上有名望的人
[00:02:24.000 --> 00:02:26.000]  在會堂裡
[00:02:26.000 --> 00:02:28.000]  是他負責安排哪一個講道
[00:02:28.000 --> 00:02:29.000]  哪一個讀聖經
[00:02:29.000 --> 00:02:32.000]  哪一個是祈禱等等
[00:02:32.000 --> 00:02:35.000]  因此他有一定的地位
[00:02:35.000 --> 00:02:38.000]  耶穌被邀請在當中去教訓人
[00:02:38.000 --> 00:02:41.000]  相信一般人的感受就是
[00:02:41.000 --> 00:02:45.000]  他應該尊重下一個主管
[00:02:45.000 --> 00:02:47.000]  但是似乎一種心境
[00:02:47.000 --> 00:02:51.000]  不影響耶穌去做他應該做的事情
[00:02:51.000 --> 00:02:54.000]  當時他見到一個人被鬼附了十八年
[00:02:54.000 --> 00:02:57.000]  聖經說他彎腰曲背
[00:02:57.000 --> 00:03:00.000]  當然我們今天所面對的疾病
[00:03:00.000 --> 00:03:04.000]  大多數不一定是邪靈所引致的
[00:03:04.000 --> 00:03:06.000]  當然有一些情況
[00:03:06.000 --> 00:03:10.000]  似乎有一些靈界的因素影響
[00:03:10.000 --> 00:03:15.000]  但是當時這個彎腰曲背的人
[00:03:15.000 --> 00:03:19.000]  他是被鬼附了十八年
[00:03:19.000 --> 00:03:22.000]  以致身體出現了各種毛病
[00:03:22.000 --> 00:03:24.000]  我們思想這個人所面對的
[00:03:24.000 --> 00:03:27.000]  是一種很牢固的捆綁
[00:03:27.000 --> 00:03:29.000]  所以你看到聖經所說
[00:03:29.000 --> 00:03:32.000]  完全寂不起來
[00:03:32.000 --> 00:03:34.000]  是一種很長久十八年
