
[00:00:00.000 --> 00:00:03.060]  大家一定會記得我們這一兩年一直強調
[00:00:03.060 --> 00:00:05.600]  教會追求成為使命的教會
[00:00:05.600 --> 00:00:09.000]  而我們也活出一個使命的人生
[00:00:09.000 --> 00:00:14.200]  使命人生其中一個重要的元素就是明道行道
[00:00:14.200 --> 00:00:19.000]  去明白真道有行在真道當中
[00:00:19.000 --> 00:00:21.000]  如果你是教徒
[00:00:21.000 --> 00:00:24.000]  你很需要明白自己信甚麼
[00:00:24.000 --> 00:00:27.100]  你需要知道真理的內涵
[00:00:27.100 --> 00:00:29.800]  知道分辨真理
[00:00:30.400 --> 00:00:33.800]  因為這個世界有太多似是而非的道理
[00:00:33.800 --> 00:00:36.200]  有很多歪理
[00:00:36.200 --> 00:00:38.700]  當你聽見的時候
[00:00:38.700 --> 00:00:41.700]  你會以為它是在說一些真理
[00:00:41.700 --> 00:00:43.700]  但你需要去分辨
[00:00:43.700 --> 00:00:47.700]  你去從這些歪理脫離出來
[00:00:47.700 --> 00:00:52.300]  教徒需要去幫助自己明白真理
[00:00:52.300 --> 00:00:54.300]  這個是非常之重要
[00:00:54.300 --> 00:00:56.300]  很多人會告訴你
[00:00:56.300 --> 00:00:59.200]  這個世界有很多不同類別的人
[00:00:59.300 --> 00:01:01.000]  是一個多元化的社會
[00:01:01.000 --> 00:01:05.400]  因此我們應該尊重不同的生活形式
[00:01:05.400 --> 00:01:07.000]  和自己不同的人
[00:01:07.000 --> 00:01:08.800]  這是事實
[00:01:08.800 --> 00:01:11.300]  我們學習去尊重不同的人
[00:01:11.300 --> 00:01:13.600]  無論他們的生活方式如何
[00:01:13.600 --> 00:01:15.100]  我們去尊重他們
[00:01:15.100 --> 00:01:19.800]  但尊重並不等於這個世界沒有絕對的真理
[00:01:19.800 --> 00:01:24.600]  尊重不等於我們要放棄道德
[00:01:24.600 --> 00:01:27.600]  或者簡單說
[00:01:27.600 --> 00:01:30.500]  如果有一次你去行山
[00:01:30.500 --> 00:01:34.600]  你會知道這個自然界有很多自然的定律
[00:01:34.600 --> 00:01:36.200]  當你上到山頂的時候
[00:01:36.200 --> 00:01:37.300]  你想下來
[00:01:37.300 --> 00:01:39.000]  你可以用很多不同的方式
[00:01:39.000 --> 00:01:40.400]  你可以坐纜車
[00:01:40.400 --> 00:01:41.700]  可以坐巴士
[00:01:41.700 --> 00:01:42.900]  可以走路下來
[00:01:42.900 --> 00:01:45.200]  不過有一個自然的定律
