
[00:00:00.000 --> 00:00:02.440]  帝王子妹,平安
[00:00:02.440 --> 00:00:07.020]  在我們講道之先,讓我們一起來禱告
[00:00:07.020 --> 00:00:10.880]  親愛的天父啊
[00:00:10.880 --> 00:00:14.660]  請你用你的言語來安慰我們
[00:00:14.660 --> 00:00:15.880]  帶領我們
[00:00:15.880 --> 00:00:20.160]  請你告訴我們當行的路
[00:00:20.160 --> 00:00:21.580]  當說的話
[00:00:21.580 --> 00:00:25.440]  讓我們何時都能夠擁抱
[00:00:25.440 --> 00:00:27.840]  你賜下的恩典和平安
[00:00:28.180 --> 00:00:30.300]  我們知道在這個世界上
[00:00:30.300 --> 00:00:32.540]  做你的見證實屬不易
[00:00:32.540 --> 00:00:35.360]  我們知道在這個世界上做基督徒
[00:00:35.360 --> 00:00:37.660]  而活著實屬不易
[00:00:37.660 --> 00:00:38.660]  神啊
[00:00:38.660 --> 00:00:42.040]  求你成為我們隨時的幫助
[00:00:42.040 --> 00:00:43.980]  求你成為我們
[00:00:43.980 --> 00:00:45.600]  所愛的
[00:00:45.600 --> 00:00:47.240]  所仰慕的
[00:00:47.240 --> 00:00:48.720]  所倚靠的
[00:00:48.720 --> 00:00:50.780]  我們這樣仰望交托
[00:00:50.780 --> 00:00:53.520]  奉祖耶穌得聖的名求
[00:00:53.520 --> 00:00:54.520]  Amen
[00:00:55.340 --> 00:00:58.360]  好,我想請後面的那個
[00:00:58.360 --> 00:01:04.120]  那我自己也可以啊,好,謝謝
[00:01:04.120 --> 00:01:09.900]  可能最近幾年經歷過
[00:01:09.900 --> 00:01:12.620]  最大的事情是什麼呢,大家
[00:01:12.620 --> 00:01:14.320]  疫情啊
[00:01:14.320 --> 00:01:17.520]  我想是這一輩子也沒遇見過這麼
[00:01:17.520 --> 00:01:19.020]  長時間的疫情
[00:01:19.020 --> 00:01:21.780]  那麼,疫情之後的話呢
[00:01:21.780 --> 00:01:24.300]  這個世界都不一樣了
[00:01:24.300 --> 00:01:27.020]  許多人呢,就帶著這個懷疑啊
[00:01:27.020 --> 00:01:29.100]  就離開這個城市
