
[00:00:00.000 --> 00:00:09.000]  路加番第四章講到主耶穌基督開始傳道的記載
[00:00:09.000 --> 00:00:17.000]  聖經第四章說耶穌基督先要面對魔鬼的三個人由
[00:00:17.000 --> 00:00:20.000]  他勝過了這三個人由
[00:00:20.000 --> 00:00:26.000]  第十四節說耶穌帶著聖靈的能力
[00:00:26.000 --> 00:00:32.000]  開始他的侍奉的工作去到加利利海附近的地方
[00:00:32.000 --> 00:00:37.000]  然後他的名聲就傳遍了周圍的地方
[00:00:37.000 --> 00:00:40.000]  今天我們所看的整個經文的記載
[00:00:40.000 --> 00:00:45.000]  多次強調主耶穌是帶著能力
[00:00:45.000 --> 00:00:49.000]  帶著能力去開展他的傳道
[00:00:49.000 --> 00:00:52.000]  醫病趕鬼的侍奉
[00:00:52.000 --> 00:00:55.000]  所以今天我們的主題就是權能
[00:00:55.000 --> 00:00:57.000]  主題是能力
[00:00:57.000 --> 00:01:03.000]  今天我們特別集中看看耶穌帶著能力在怎樣的情況
[00:01:03.000 --> 00:01:08.000]  我們又透過耶穌基督那種能力的表現和真理
[00:01:08.000 --> 00:01:14.000]  來反思反省你和我作為基督徒的能力應該是怎樣
[00:01:14.000 --> 00:01:17.000]  這就是我們今天的主題
[00:01:17.000 --> 00:01:19.000]  今天的經文當然比較多
[00:01:19.000 --> 00:01:23.000]  但是我會有些跳出來說
[00:01:23.000 --> 00:01:30.000]  聖經記載耶穌基督去了加利利海附近的地方
[00:01:30.000 --> 00:01:31.000]  傳道的時候
[00:01:31.000 --> 00:01:33.000]  他的名聲就遠播
[00:01:33.000 --> 00:01:35.000]  大家都很喜歡聽他講道
[00:01:35.000 --> 00:01:38.000]  覺得他很特別
[00:01:38.000 --> 00:01:40.000]  但是接著第十六節
[00:01:40.000 --> 00:01:43.000]  耶穌就回到他的家鄉
[00:01:43.000 --> 00:01:48.000]  他的鄉下拿撒勒自己長大的地方
[00:01:48.000 --> 00:01:50.000]  第一段因為聖經比較長
[00:01:50.000 --> 00:01:52.000]  所以我相信因為時間的問題
[00:01:52.000 --> 00:01:54.000]  我們沒有讀到
[00:01:54.000 --> 00:01:57.000]  在他的家鄉所發生的事
[00:01:57.000 --> 00:01:58.000]  值得我們留意
[00:01:58.000 --> 00:02:00.000]  然後我們剛才讀三十一節
[00:02:00.000 --> 00:02:04.000]  就回到加利利加伯隆的地方
[00:02:04.000 --> 00:02:06.000]  這是什麼地方
[00:02:06.000 --> 00:02:12.000]  加利利加伯隆就沿著加利利海那些部分比較活躍
[00:02:12.000 --> 00:02:14.000]  你知道每逢海邊
[00:02:14.000 --> 00:02:16.000]  以前就是做生意的
[00:02:16.000 --> 00:02:18.000]  用海船運貨的
[00:02:18.000 --> 00:02:20.000]  所以較為接觸外面多一點
[00:02:20.000 --> 00:02:25.000]  還有較為商業化的城市
[00:02:25.000 --> 00:02:33.000]  拿撒勒就在離開加利利海
[00:02:33.000 --> 00:02:35.000]  較為進入內陸的地方
[00:02:35.000 --> 00:02:36.000]  鄉下的地方
[00:02:36.000 --> 00:02:38.000]  其實是很小的鄉下
[00:02:38.000 --> 00:02:40.000]  所以耶穌所生長的鄉下
[00:02:40.000 --> 00:02:45.000]  是一個比較卑微的鄉下地方
[00:02:45.000 --> 00:02:47.000]  所以耶穌就回到第十六節
[00:02:47.000 --> 00:02:49.000]  回到他的鄉下
[00:02:49.000 --> 00:02:50.000]  做什麼呢
[00:02:50.000 --> 00:02:52.000]  按照他一貫的做法
[00:02:52.000 --> 00:02:54.000]  安息日進入會堂
[00:02:54.000 --> 00:02:55.000]  大家崇拜的地方
[00:02:55.000 --> 00:03:00.000]  有人將一個以塞亞書的書卷交給他
[00:03:00.000 --> 00:03:02.000]  他就選了其中一段來讀
[00:03:02.000 --> 00:03:05.000]  表達他的使命
[00:03:05.000 --> 00:03:07.000]  第十八節那段話是說
[00:03:07.000 --> 00:03:10.000]  主的靈在我身上
[00:03:10.000 --> 00:03:13.000]  因為祂高我去傳好消息
[00:03:13.000 --> 00:03:15.000]  福音給貧窮的人
[00:03:15.000 --> 00:03:18.000]  差遣我去宣告被老的得到釋放
[00:03:18.000 --> 00:03:20.000]  乞眼的得到看見
[00:03:20.000 --> 00:03:22.000]  受欺壓的得到自由
[00:03:22.000 --> 00:03:25.000]  宣告主越納人的欺念
[00:03:25.000 --> 00:03:27.000]  聖經說那些人聽到
[00:03:27.000 --> 00:03:30.000]  哇,很好聽,真是好
[00:03:30.000 --> 00:03:32.000]  正是需要這種信息
[00:03:32.000 --> 00:03:37.000]  於是大家就看著耶穌如何去解釋
[00:03:37.000 --> 00:03:41.000]  這是第21節和第22節所說的
[00:03:41.000 --> 00:03:44.000]  但中間有一個人突然說
[00:03:44.000 --> 00:03:46.000]  咦,這個人很熟練
[00:03:46.000 --> 00:03:48.000]  哦,耶穌啊
[00:03:48.000 --> 00:03:50.000]  藥室的兒子嘛
[00:03:50.000 --> 00:03:52.000]  認識他吧,看著他長大
[00:03:52.000 --> 00:03:58.000]  於是整個氣氛就轉了
[00:03:58.000 --> 00:04:02.000]  接著23節耶穌就跟他們說
[00:04:02.000 --> 00:04:05.000]  我知道你想說什麼
[00:04:05.000 --> 00:04:07.000]  耶穌說你聽我說醫生
[00:04:07.000 --> 00:04:09.000]  你先治好自己吧
[00:04:09.000 --> 00:04:11.000]  或者你會跟我說
[00:04:11.000 --> 00:04:13.000]  我聽見你在加伯隆
[00:04:13.000 --> 00:04:16.000]  剛才我說的加利利那裡所行的一切事
[00:04:16.000 --> 00:04:19.000]  應該在我們鄉下行
[00:04:19.000 --> 00:04:21.000]  於是他就說我告訴你
[00:04:21.000 --> 00:04:23.000]  其實他舉了兩個例子
[00:04:23.000 --> 00:04:26.000]  沒有先知在他本鄉是被尊重的
[00:04:26.000 --> 00:04:27.000]  兩個舊約的例子
[00:04:27.000 --> 00:04:30.000]  一個是以利亞,一個是以利沙
[00:04:30.000 --> 00:04:32.000]  猶太人都很熟悉這兩個偉大的先知
[00:04:32.000 --> 00:04:34.000]  我們看看以利亞
[00:04:34.000 --> 00:04:37.000]  他的工作,他的服侍
[00:04:37.000 --> 00:04:39.000]  周到都可以去
[00:04:39.000 --> 00:04:42.000]  他可以在猶太人自己的本族本鄉做事
[00:04:42.000 --> 00:04:44.000]  但是他沒有
[00:04:44.000 --> 00:04:46.000]  神差派他去到一個外邦人
[00:04:46.000 --> 00:04:50.000]  西頓格勒法的寡婦那裡
[00:04:50.000 --> 00:04:52.000]  去受他的供養
[00:04:52.000 --> 00:04:54.000]  以利沙,他有一個信息
[00:04:54.000 --> 00:04:58.000]  以利沙,我們猶太人偉大的先知
[00:04:58.000 --> 00:05:01.000]  他沒有將他的服侍留在自己的民族
[00:05:01.000 --> 00:05:02.000]  猶太人那裡
[00:05:02.000 --> 00:05:05.000]  反而神是派他去敘利亞
[00:05:05.000 --> 00:05:08.000]  那裡醫好大麻風的
[00:05:08.000 --> 00:05:10.000]  長麻風的乃曼
[00:05:10.000 --> 00:05:12.000]  難道以色列沒有麻風病人嗎?
[00:05:12.000 --> 00:05:16.000]  神是要救那些外國的人
[00:05:16.000 --> 00:05:18.000]  難道以色列人沒有東西
[00:05:18.000 --> 00:05:21.000]  不可以供養以利亞嗎?
[00:05:21.000 --> 00:05:24.000]  神就要以利亞去到西頓
[00:05:24.000 --> 00:05:26.000]  外國人的地方
[00:05:26.000 --> 00:05:28.000]  去接觸那裡的寡婦
[00:05:28.000 --> 00:05:32.000]  聖經跟著第28節
[00:05:32.000 --> 00:05:34.000]  就說到會堂裡的人
