
[00:00:00.000 --> 00:00:03.000]  我們在新一季有一個特別的方向
[00:00:03.000 --> 00:00:05.500]  我們思想一個主題就是
[00:00:05.500 --> 00:00:10.000]  基督徒生命成長的內情和外情
[00:00:10.000 --> 00:00:13.000]  大家不要聽錯 不是愛情
[00:00:13.000 --> 00:00:16.000]  是向內成長的旅程
[00:00:16.000 --> 00:00:19.000]  和向外成長的旅程
[00:00:19.000 --> 00:00:23.000]  這兩方面都是我們所需要關注的
[00:00:23.000 --> 00:00:25.000]  我記得有時候我自己坐車
[00:00:25.000 --> 00:00:27.000]  或者在某些高的地方
[00:00:27.000 --> 00:00:30.000]  偶然間看到消防局裏面的情況
[00:00:30.000 --> 00:00:33.000]  有幾次看到有些消防員
[00:00:33.000 --> 00:00:37.000]  他們在操場的地方跑步操練
[00:00:37.000 --> 00:00:43.000]  也見過他們一起打排球
[00:00:43.000 --> 00:00:45.000]  大家有時候會驚奇
[00:00:45.000 --> 00:00:49.000]  我都會驚奇為甚麼他們會在上班時間打排球
[00:00:49.000 --> 00:00:51.000]  後來我明白多一點
[00:00:51.000 --> 00:00:54.000]  消防員很需要來操練他們的身體
[00:00:54.000 --> 00:00:56.000]  平時保持好體魄
[00:00:56.000 --> 00:00:59.000]  而當挑戰來到 要救火的時候
[00:00:59.000 --> 00:01:02.000]  是能夠有足夠的力量 精神體力
[00:01:02.000 --> 00:01:05.000]  去回應這麼大的挑戰
[00:01:05.000 --> 00:01:06.000]  當我想起這件事的時候
[00:01:06.000 --> 00:01:10.000]  我想回到基督徒生命的成長的兩方面
[00:01:10.000 --> 00:01:12.000]  一方面當人去操練的時候
[00:01:12.000 --> 00:01:16.000]  我們知道是為了一個更加重要的目標
[00:01:16.000 --> 00:01:19.000]  消防員如果為了體魄而操練體魄
[00:01:19.000 --> 00:01:22.000]  有意義 但不是最大的意義
[00:01:22.000 --> 00:01:27.000]  他操練自己是為了能夠回應到很多外面的需要
[00:01:27.000 --> 00:01:29.000]  但回過頭來說
[00:01:29.000 --> 00:01:32.000]  如果消防員只是不斷去救火
[00:01:32.000 --> 00:01:34.000]  不斷去救人
[00:01:34.000 --> 00:01:37.000]  但卻忘記了去操練自己
[00:01:37.000 --> 00:01:39.000]  這個情況很危險
[00:01:39.000 --> 00:01:42.000]  因為他會發覺他不能夠救人
[00:01:42.000 --> 00:01:46.000]  甚至自己在某些火場裏面救不到自己
[00:01:46.000 --> 00:01:49.000]  以致自己可能在當時遇到意外
[00:01:49.000 --> 00:01:52.000]  甚至生命的危險
[00:01:52.000 --> 00:01:57.000]  因此操練和救火是他必須要經常交替著
[00:01:57.000 --> 00:02:02.000]  要互相配合著要走的兩條路
[00:02:02.000 --> 00:02:03.000]  我們很清楚知道
[00:02:03.000 --> 00:02:06.000]  我們基督徒也都需要在自己生命當中
[00:02:06.000 --> 00:02:08.000]  留意裏面的成長
[00:02:08.000 --> 00:02:12.000]  有靜態的安靜在神面前的默想
[00:02:12.000 --> 00:02:15.000]  祈禱 看聖經等等
[00:02:15.000 --> 00:02:17.000]  也都需要在神面前將自己擺上
[00:02:17.000 --> 00:02:21.000]  去操練作見證 傳福音
[00:02:21.000 --> 00:02:25.000]  為別人服侍等等的外在操練
[00:02:25.000 --> 00:02:29.000]  這兩者是互相關連 互相影響的
[00:02:29.000 --> 00:02:31.000]  今天是我們的靈修主日
[00:02:31.000 --> 00:02:33.000]  我們編排每年的第一個主日
[00:02:33.000 --> 00:02:35.000]  多數是一個靈修主日
[00:02:35.000 --> 00:02:38.000]  我們很盼望弟兄姊妹能夠再一次提醒自己
[00:02:38.000 --> 00:02:41.000]  我們需要神的說話
[00:02:41.000 --> 00:02:44.000]  我們需要每天每一天來到去親近神
[00:02:44.000 --> 00:02:47.000]  能夠建立和神密切的關係
[00:02:47.000 --> 00:02:49.000]  以至能夠可以抗拒很多罪
[00:02:49.000 --> 00:02:52.000]  很多的試探 很多的衝擊
[00:02:52.000 --> 00:02:54.000]  剛剛過了的神庚會
[00:02:54.000 --> 00:02:57.000]  星期一到星期六 早上七點到七點九
[00:02:57.000 --> 00:02:59.000]  我很感謝神很多弟兄姊妹回來參加
[00:02:59.000 --> 00:03:02.000]  有弟兄姊妹是從很遠的地方
[00:03:02.000 --> 00:03:03.000]  愉景灣走出來
[00:03:03.000 --> 00:03:07.000]  有弟兄姊妹是回七點三的工作
[00:03:07.000 --> 00:03:08.000]  七點三就離開北角
[00:03:08.000 --> 00:03:11.000]  她就回來三個字 然後就離開
