
[00:00:00.000 --> 00:00:01.520]  但我們進入第二講
[00:00:01.520 --> 00:00:06.840]  會較為調子會不同了,會慢一些
[00:00:06.840 --> 00:00:13.320]  以及是著重一個比較深度的角度去了解
[00:00:13.320 --> 00:00:16.200]  如何去了解本屬靈的作品
[00:00:16.200 --> 00:00:21.560]  剛才可能對很多人來說是很驚訝
[00:00:21.560 --> 00:00:23.560]  整個小時這樣說
[00:00:23.560 --> 00:00:27.440]  都沒有說到藤木詩,也沒有說到圖書
[00:00:27.440 --> 00:00:30.800]  也沒有說到摩登德烈
[00:00:30.800 --> 00:00:32.800]  連學生也不提及
[00:00:32.800 --> 00:00:36.200]  又有譯書,又有金庸
[00:00:36.200 --> 00:00:39.200]  剛才是一個不同的方向,是很闊的方向
[00:00:39.200 --> 00:00:41.200]  我希望讓大家了解這件事
[00:00:41.200 --> 00:00:43.200]  我相信中間有些人都不接受得到
[00:00:43.200 --> 00:00:47.800]  有些問題我看得到,很生氣的
[00:00:47.800 --> 00:00:55.400]  怎樣也好,總之大家都會明白
[00:00:55.400 --> 00:00:57.400]  我不是一個很傳統的人
[00:00:57.400 --> 00:00:59.400]  也不怕人生氣
[00:00:59.400 --> 00:01:01.400]  我想到的我就要說
[00:01:01.400 --> 00:01:05.400]  不過現在這個下半節跟大家說的
[00:01:05.400 --> 00:01:08.400]  就是收集範圍,只是說屬靈的書籍
[00:01:08.400 --> 00:01:10.400]  而且不單單是說屬靈書籍
[00:01:10.400 --> 00:01:12.400]  一個廣義的屬靈書籍
[00:01:12.400 --> 00:01:16.400]  因為剛才看到我們所介紹的那一百本屬靈書籍裏面
[00:01:16.400 --> 00:01:19.400]  很多是關於基督教的信仰
[00:01:19.400 --> 00:01:21.400]  甚至是護教
[00:01:21.400 --> 00:01:23.400]  很多基督徒生活行為
[00:01:23.400 --> 00:01:26.400]  甚至是教會的模樣的角度
[00:01:26.400 --> 00:01:30.400]  我們廣義通稱屬靈書籍
[00:01:30.400 --> 00:01:33.400]  我現在說的是說到
[00:01:33.400 --> 00:01:39.400]  幫助我們屬靈經歷成長的屬靈書籍
[00:01:39.400 --> 00:01:44.400]  當然在廣義裏面任何基督教所出的書籍
[00:01:44.400 --> 00:01:46.400]  都幫助我們屬靈成長
[00:01:46.400 --> 00:01:48.400]  大家明白我的意思嗎
[00:01:48.400 --> 00:01:51.400]  如果從廣義來說,任何書籍
[00:01:51.400 --> 00:01:53.400]  都可以幫助我們屬靈成長
[00:01:53.400 --> 00:01:55.400]  剛才我們上一講是這樣
[00:01:55.400 --> 00:02:00.400]  很縮省地說到所謂靈修神學的作品
