
[00:00:00.000 --> 00:00:06.000]  今天晚上,我們要看第二個比喻,
[00:00:06.000 --> 00:00:22.000]  聖靈好像什麼呢?請大家翻到《醫師解說》第三章,第三章,十四節,
[00:00:22.000 --> 00:00:32.000]  (中文)天使靈將我舉起,原文作「手」,原文作「手」,耶和華說「手」。
[00:00:32.000 --> 00:00:39.000]  (中文)為什麼原文作,然後畫作「手」,中文正經翻譯作,然後畫作「靈」呢?
[00:00:39.000 --> 00:00:45.000]  (中文)為什麼原文作,然後畫作「手」,而中文正經翻譯作,然後畫作「靈」呢?
[00:00:45.000 --> 00:00:47.000]  (中文)是不是翻譯錯了呢?
[00:00:47.000 --> 00:00:49.000]  (中文)這是不是翻譯錯誤呢?
[00:00:49.000 --> 00:01:04.000]  (中文)沒有,沒有,中文正經的翻譯者翻譯得很好,他們看得很清楚,耶和華的「手」,
[00:01:04.000 --> 00:01:10.000]  (中文)他們原來的意思就是耶和華的「靈」,
[00:01:10.000 --> 00:01:19.000]  (中文)所以用「手」來形容「靈」,用「手」來形容「靈」,然後畫作「靈」就好像畫作「手」,
[00:01:19.000 --> 00:01:22.000]  (中文)耶和華的「靈」就好像耶華的「手」,
[00:01:22.000 --> 00:01:33.000]  (中文)這個「手」要抓住我們,如果一個人被這個「手」抓住的話,
[00:01:33.000 --> 00:01:50.000]  (中文)這個「手」要在他的生命中,要在他的生活中,作工,同時又要用這個人去作工作,
[00:01:50.000 --> 00:02:11.000]  (中文)這個「手」先在人自己身上作工,他抓住誰就在誰身上作工,然後他用這個人去在別人身上作工,
[00:02:11.000 --> 00:02:24.000]  (中文)我們真是願意自己被聖靈的「手」抓住,有一個傳道人他講了一句話在我心裡有一個很深的印象,
[00:02:24.000 --> 00:02:29.000]  (中文)有一個傳道人他講了一句話在我身上有一個很深刻的印象,
[00:02:29.000 --> 00:02:39.000]  (中文)他說神的「手」在那個水平線之上來回的動,
[00:02:39.000 --> 00:02:51.000]  (中文)當一個人從這個水平線之下升上來的時候,這個「手」馬上就抓住他,
[00:02:51.000 --> 00:02:59.000]  (中文)這個人在神的手中就成為有用的器皿,
[00:02:59.000 --> 00:03:09.000]  (中文)他怎樣能夠從這個水平線之下升上來呢?他怎樣能夠在這個水平線之下馬上就升上來呢?
[00:03:09.000 --> 00:03:21.000]  (中文)只有一個條件,就是渴望的心和追求的心,當一個基督徒或者一個傳道人,
[00:03:21.000 --> 00:03:37.000]  (中文)他裡面有真正的屬靈的渴望,有真正的追求,那個時候他就升到水平線以上,
[00:03:37.000 --> 00:03:52.000]  (中文)那個時候,神的「手」就在那裡抓住他,被神的「手」抓住,也就是被聖靈抓住,
[00:03:52.000 --> 00:04:05.000]  (中文)這個時候,對一個人或者是傳道人或者是聖經徒,就變成一個不同的人,
[00:04:05.000 --> 00:04:18.000]  (中文)在神的手中成為合用的器皿,他在這個天裡面,無論是白天,無論是晚上,
[00:04:18.000 --> 00:04:28.000]  (中文)我們在心靈的深處,有真正的渴望,有真正的追求,
[00:04:28.000 --> 00:04:38.000]  (中文)他讓聖靈的「手」抓住我們,那個時候我們跟過去就不同了,
[00:04:38.000 --> 00:04:48.000]  (中文)我們就大大的用你用我,那麼現在我們要問,
[00:04:48.000 --> 00:05:00.000]  (中文)當聖靈的「手」抓住一個人的時候,他在這個人身上做什麼動作呢?
[00:05:00.000 --> 00:05:07.000]  (中文)我們再看這一節,十四節,第一句,
[00:05:07.000 --> 00:05:27.000]  (中文)「基督靈將我舉起,當聖靈的手抓住我們的時候,他要做的第一件事,就是把我們舉起來,
