
[00:00:00.000 --> 00:00:05.000]  我們到夏令會來不是要打搶金針
[00:00:05.000 --> 00:00:11.000]  我們到夏令會來那是好像聖經所說的
[00:00:11.000 --> 00:00:17.000]  我們要為主眺望,為了要為主燃燒
[00:00:17.000 --> 00:00:22.000]  我們到夏令會來是要向路喝墓洗水
[00:00:22.000 --> 00:00:24.000]  而且迎舉洗水
[00:00:24.000 --> 00:00:27.000]  為了向路一樣喝飽以後
[00:00:27.000 --> 00:00:30.000]  要跑路而跑得快
[00:00:30.000 --> 00:00:32.000]  我們到夏令會來
[00:00:32.000 --> 00:00:38.000]  我們來是要向聖經所說的春雨秋雨的滋潤
[00:00:38.000 --> 00:00:42.000]  好讓土地蘭河被澆灌
[00:00:42.000 --> 00:00:49.000]  然後能夠發展,能夠結果,為主結果
[00:00:49.000 --> 00:00:51.000]  我們到夏令會來
[00:00:51.000 --> 00:00:55.000]  來是要向聖經所說迎於聖靈
[00:00:55.000 --> 00:00:58.000]  就是我們恩賜的那個源頭
[00:00:58.000 --> 00:01:00.000]  我們迎於聖靈之後
[00:01:00.000 --> 00:01:05.000]  好讓我們的恩賜能夠更充實的來發揮
[00:01:05.000 --> 00:01:08.000]  來運用,能夠侍奉主
[00:01:08.000 --> 00:01:11.000]  能夠在主的家中起作用
[00:01:11.000 --> 00:01:15.000]  也能夠傳揚主的福音
[00:01:15.000 --> 00:01:18.000]  這是我們在夏令會的目的
[00:01:18.000 --> 00:01:22.000]  求主使我們到這裡來有一個目標
[00:01:22.000 --> 00:01:26.000]  有一個真正的追求的對象
[00:01:26.000 --> 00:01:31.000]  讓我們在這裡是具體的真實的內容那樣的
[00:01:31.000 --> 00:01:36.000]  在我們的心靈裡頭得到力量
[00:01:36.000 --> 00:01:42.000]  我們繼續的看哥羅西蘇裡面的信息
[00:01:42.000 --> 00:01:45.000]  進入基督的豐盛
[00:01:45.000 --> 00:01:52.000]  神的豐盛在降世以前的那個永恆的愛子裡頭
[00:01:52.000 --> 00:01:58.000]  神的豐盛有彰顯在降世為人的主耶穌基督
[00:01:58.000 --> 00:02:01.000]  有形有體的顯出來
[00:02:01.000 --> 00:02:05.000]  然後我們這些屬基督的人
[00:02:05.000 --> 00:02:07.000]  和基督一同復活的人
[00:02:07.000 --> 00:02:10.000]  我們重組得到豐盛
[00:02:10.000 --> 00:02:15.000]  最後神從我們這些有豐盛的生命的人
[00:02:15.000 --> 00:02:17.000]  得到豐盛的榮耀
[00:02:17.000 --> 00:02:22.000]  這是哥羅西蘇裡面四次提到豐盛的意義
[00:02:22.000 --> 00:02:25.000]  這是神的計畫
[00:02:25.000 --> 00:02:31.000]  我們向著這一個循環的路程來奔跑
[00:02:31.000 --> 00:02:37.000]  昨天我們看見我們是藉著蘇陵的長進
[00:02:37.000 --> 00:02:44.000]  而逐步的更多的更完全的進入基督的豐盛裡面
[00:02:44.000 --> 00:02:49.000]  今天早上我們要看第三章
[00:02:49.000 --> 00:02:51.000]  哥羅西蘇第三章
[00:02:51.000 --> 00:02:57.000]  在這章裡面我們看見基督復活的生命
[00:02:57.000 --> 00:03:01.000]  基督的豐盛是在他的復活的生命裡頭
[00:03:01.000 --> 00:03:05.000]  當我們與主一同死一同復活
[00:03:05.000 --> 00:03:09.000]  有基督復活的生命在我們裡頭的時候
[00:03:09.000 --> 00:03:14.000]  我們就能夠進入基督的豐盛的生命裡頭
[00:03:14.000 --> 00:03:20.000]  基督的豐盛的生命是彰顯在他的復活的生命裡頭
[00:03:20.000 --> 00:03:22.000]  所以我們看這一章的時候
[00:03:22.000 --> 00:03:26.000]  從第一節到最後的一節二十五節
[00:03:26.000 --> 00:03:28.000]  在這全章的聖經裡面
[00:03:28.000 --> 00:03:32.000]  我們要思想復活的生命
[00:03:32.000 --> 00:03:35.000]  就是我們與主一同復活
[00:03:35.000 --> 00:03:40.000]  到底這個復活的生命與生活是如何的呢?
[00:03:40.000 --> 00:03:45.000]  我們要用一個反合性的方式來看
[00:03:45.000 --> 00:03:48.000]  為什麼要用這個方式來看呢?
[00:03:48.000 --> 00:03:55.000]  一個目的就是要得到平衡的認識和平衡的追求
[00:03:55.000 --> 00:04:01.000]  反合性有正有反有合
[00:04:01.000 --> 00:04:03.000]  正面有反面
[00:04:03.000 --> 00:04:05.000]  然後合在一起
[00:04:05.000 --> 00:04:10.000]  那一個合就是平衡
[00:04:10.000 --> 00:04:13.000]  就好像我們看的第一點
[00:04:13.000 --> 00:04:21.000]  復活的生命與生活是超自然而自然的生命與生活
[00:04:21.000 --> 00:04:23.000]  超自然是正面
[00:04:23.000 --> 00:04:25.000]  自然是反面
[00:04:25.000 --> 00:04:30.000]  然後合在一起就是又超然又自然
[00:04:30.000 --> 00:04:35.000]  這樣的一個平衡的認識是我們需要的
[00:04:35.000 --> 00:04:40.000]  我們用這個反合性的方式來看這一章聖經
[00:04:40.000 --> 00:04:42.000]  還有一個目的
[00:04:42.000 --> 00:04:45.000]  就是要避免天差
[00:04:45.000 --> 00:04:50.000]  我們要得平衡是為了避免天差
[00:04:50.000 --> 00:04:52.000]  天差是問題
[00:04:52.000 --> 00:04:55.000]  天差的真理不是真理
[00:04:55.000 --> 00:04:58.000]  不分的真理不是真理
[00:04:58.000 --> 00:05:02.000]  所以我們要得到一個全面的真理
[00:05:02.000 --> 00:05:06.000]  我們要得到一個平衡的真理
[00:05:06.000 --> 00:05:12.000]  這樣我們就能夠在一個樹林的平坦的大道上奔走
[00:05:12.000 --> 00:05:17.000]  這樣我們就能夠走得穩當走得快
[00:05:17.000 --> 00:05:23.000]  我們向著目標來努力追求
[00:05:23.000 --> 00:05:25.000]  第一個要點
[00:05:25.000 --> 00:05:34.000]  就是復活的生命與生活是一個超自然而又自然的生命與生活
[00:05:34.000 --> 00:05:37.000]  我們把兩節聖經做一個對比
[00:05:37.000 --> 00:05:42.000]  請大家翻到哥羅西書第三章
[00:05:42.000 --> 00:05:44.000]  哥羅西書第三章
[00:05:44.000 --> 00:05:46.000]  我們先看第四節
[00:05:46.000 --> 00:05:50.000]  然後看第十節
[00:05:50.000 --> 00:05:53.000]  第三章第四節這樣說
[00:05:53.000 --> 00:05:56.000]  基督是我們的生命
[00:05:56.000 --> 00:06:00.000]  基督是我們的生命
[00:06:00.000 --> 00:06:03.000]  我們復活的生命不是自己的生命
[00:06:03.000 --> 00:06:05.000]  乃是基督的生命
[00:06:05.000 --> 00:06:12.000]  藉著我們的心心和生命的工作進到我們裡面成為我們的生命
[00:06:12.000 --> 00:06:16.000]  基督的生命是超自然的生命
[00:06:16.000 --> 00:06:20.000]  它是創造的生命不是被造的生命
[00:06:20.000 --> 00:06:23.000]  自然的生命都是被造的生命
[00:06:23.000 --> 00:06:27.000]  但是基督的生命是創造的生命
[00:06:27.000 --> 00:06:29.000]  是那個超自然的生命
[00:06:29.000 --> 00:06:36.000]  這個生命進到我們裡面成為我們的生命
