
[00:00:00.000 --> 00:00:06.320]  歡迎回來第四節的節目
[00:00:06.320 --> 00:00:09.400]  我們進入到實質教會生活
[00:00:09.400 --> 00:00:11.400]  問問大家的問題
[00:00:11.400 --> 00:00:15.400]  普遍華人最喜歡查經
[00:00:15.400 --> 00:00:19.680]  大家平時查經會有什麼方法?
[00:00:19.680 --> 00:00:21.680]  OIA
[00:00:21.680 --> 00:00:23.680]  大家都是OIA
[00:00:23.680 --> 00:00:25.680]  OIA
[00:00:25.680 --> 00:00:27.680]  你可否解釋一下
[00:00:27.680 --> 00:00:29.680]  O是Observation
[00:00:29.680 --> 00:00:31.680]  I是Interpretation
[00:00:31.680 --> 00:00:33.680]  A是Application
[00:00:33.680 --> 00:00:37.680]  即是有觀察、分析、形容
[00:00:37.680 --> 00:00:39.680]  咦!我們的流程很相似
[00:00:39.680 --> 00:00:41.680]  對!很相似
[00:00:41.680 --> 00:00:48.680]  所以我們經常查經時
[00:00:48.680 --> 00:00:54.680]  會因應這個方法去做不同的練習
[00:00:54.680 --> 00:01:00.680]  O是觀察經文有什麼人物、事情、發生什麼事
[00:01:00.680 --> 00:01:03.680]  I是問一些為什麼
[00:01:03.680 --> 00:01:06.680]  即是在文本中找不到的東西
[00:01:06.680 --> 00:01:09.680]  A是直接去應用
[00:01:09.680 --> 00:01:10.680]  在這種...
[00:01:10.680 --> 00:01:11.680]  WHYA有沒有問題?
[00:01:11.680 --> 00:01:12.680]  其實沒有問題
[00:01:12.680 --> 00:01:13.680]  我覺得很好用
[00:01:13.680 --> 00:01:17.680]  但問題是很多時候我們在I的層面
[00:01:17.680 --> 00:01:18.680]  即是在I的部分
[00:01:18.680 --> 00:01:22.680]  很多時候我們是跳得太快去到A
[00:01:22.680 --> 00:01:24.680]  或者是這樣
[00:01:24.680 --> 00:01:26.680]  我們形成了某種風氣
[00:01:26.680 --> 00:01:29.680]  就是經文說什麼
[00:01:29.680 --> 00:01:32.680]  我們就立刻可以找到一些應用的位置
[00:01:32.680 --> 00:01:37.680]  以至於我們好像比較自勉式地去
[00:01:37.680 --> 00:01:42.680]  應用一些經文的看見、看法
[00:01:42.680 --> 00:01:46.680]  所以其實這個都和我們一直以來所討論的
[00:01:46.680 --> 00:01:50.680]  那種聖經是歷史真實
[00:01:50.680 --> 00:01:53.680]  要跟著聖經的文本去做
[00:01:53.680 --> 00:01:56.680]  這種模式是有一點點一樣
[00:01:56.680 --> 00:02:01.680]  但當我們提到聖經作為一種神話
[00:02:01.680 --> 00:02:05.680]  其實那種意義就帶出一個更加深層的意義
[00:02:05.680 --> 00:02:09.680]  如果是一種神話的話
[00:02:09.680 --> 00:02:12.680]  其實聖經作為神話
[00:02:12.680 --> 00:02:16.680]  它帶出一種更加普世的價值
[00:02:16.680 --> 00:02:19.680]  更加是幫助我們去看到
[00:02:19.680 --> 00:02:23.680]  不單止是那個人做了某些事情
[00:02:23.680 --> 00:02:26.680]  更加是那個人在那個時代
[00:02:26.680 --> 00:02:31.680]  跟著去經驗了一些和上主之間的關係
[00:02:31.680 --> 00:02:35.680]  但這個經驗可能是屬於他的文化
[00:02:35.680 --> 00:02:39.680]  他自己去想像他和上帝的關係
[00:02:39.680 --> 00:02:41.680]  可能是一些
[00:02:41.680 --> 00:02:44.680]  他用的比喻都是一些殺種的比喻
[00:02:44.680 --> 00:02:47.680]  耶穌用的比喻是殺種的比喻
[00:02:47.680 --> 00:02:52.680]  跟著他用的一些譬如啟示錄
[00:02:52.680 --> 00:02:54.680]  他想的意象
[00:02:54.680 --> 00:02:56.680]  他看到的意象
[00:02:56.680 --> 00:02:58.680]  都是有他的時代背景的限制
[00:02:58.680 --> 00:03:00.680]  以至於我們今天的人
[00:03:00.680 --> 00:03:02.680]  其實我們去想像這些意象
[00:03:02.680 --> 00:03:03.680]  或者用比喻
[00:03:03.680 --> 00:03:05.680]  如果用今時今日的比喻
[00:03:05.680 --> 00:03:07.680]  去比喻上帝和你的關係
[00:03:07.680 --> 00:03:10.680]  你不會用一個農業社會的比喻
[00:03:10.680 --> 00:03:12.680]  你會用一個現代社會的比喻
[00:03:12.680 --> 00:03:13.680]  如果是這樣的話
[00:03:13.680 --> 00:03:15.680]  我們直接去應用
[00:03:15.680 --> 00:03:17.680]  其實是很難直接應用到
[00:03:17.680 --> 00:03:21.680]  或者是令到我們是很難直接應用到
[00:03:21.680 --> 00:03:23.680]  如果作為神話的話
