
[00:00:00.000 --> 00:00:01.200]  孫愛嘉的主題是
[00:00:01.200 --> 00:00:03.880]  「活出使人作門徒的生命」
[00:00:03.880 --> 00:00:07.840]  我們用這個可以說是主使命的方向
[00:00:07.840 --> 00:00:11.760]  去成就上帝在我們教會當中的心意
[00:00:11.760 --> 00:00:14.520]  當之前去講哥倫多後書的時候
[00:00:14.520 --> 00:00:15.840]  其實有一段經文
[00:00:15.840 --> 00:00:18.640]  我們沒有講那段經文
[00:00:18.640 --> 00:00:21.280]  我今天都希望透過這一段經文
[00:00:21.280 --> 00:00:23.840]  去再帶出究竟
[00:00:23.840 --> 00:00:27.120]  「活出使人作門徒的方向」的實質內容
[00:00:27.120 --> 00:00:29.960]  究竟可以是怎樣的呢?
[00:00:29.960 --> 00:00:35.960]  保羅在哥倫多後書11章16-33節
[00:00:35.960 --> 00:00:39.800]  他講出了自己作為仕途的使命
[00:00:39.800 --> 00:00:41.880]  和仕途的資格
[00:00:41.880 --> 00:00:44.160]  在第16節裏保羅說
[00:00:44.160 --> 00:00:47.720]  「我再說,人不可把我看作愚妄的
[00:00:47.720 --> 00:00:51.520]  縱然如此,也要把我當作愚妄人接納
[00:00:51.520 --> 00:00:54.000]  叫我可以略略自誇」
[00:00:54.000 --> 00:00:55.760]  在當時的社會當中
[00:00:55.760 --> 00:00:57.240]  或者當時的教會當中
[00:00:57.240 --> 00:00:59.800]  有些人自稱自己是一個智者
[00:00:59.800 --> 00:01:00.800]  相對來說
[00:01:00.800 --> 00:01:03.160]  其他人就是一個愚蠢的人
[00:01:03.160 --> 00:01:06.760]  保羅的敵對手
[00:01:06.760 --> 00:01:10.000]  可以說是當時有一群自稱為仕途的假仕途
[00:01:10.000 --> 00:01:11.200]  進入教會當中
[00:01:11.200 --> 00:01:12.920]  去做很多擾亂的工作
[00:01:12.920 --> 00:01:14.960]  傳講一些可以說是疑端
[00:01:14.960 --> 00:01:16.320]  一些錯誤的教訓
[00:01:16.320 --> 00:01:19.120]  而這群人可能覺得
[00:01:19.120 --> 00:01:21.480]  我是一個很有智慧的一群人
[00:01:21.480 --> 00:01:26.400]  而保羅就是一個很愚蠢的一個人
[00:01:26.400 --> 00:01:28.800]  所以他們會用自己的標準
[00:01:28.800 --> 00:01:30.280]  覺得甚麼叫有智慧
[00:01:30.280 --> 00:01:31.920]  而用這個標準去衡量
[00:01:31.920 --> 00:01:37.360]  去攻擊保羅作為仕途的身份
[00:01:37.360 --> 00:01:39.200]  保羅一開始
[00:01:39.200 --> 00:01:43.120]  他就懇求哥倫多的教會
[00:01:43.120 --> 00:01:46.720]  不要把他當作愚妄人來看待
[00:01:46.720 --> 00:01:49.000]  不過保羅的意思其實是這樣
[00:01:49.000 --> 00:01:53.400]  就算你們真的要把我當作愚妄人看待
[00:01:53.400 --> 00:01:55.640]  你們也要把我當作一個愚妄人
[00:01:55.640 --> 00:01:57.760]  你們接納我一個愚妄人的身份
[00:01:57.760 --> 00:02:01.040]  以至我仍然可以在這個身份裏面
[00:02:01.040 --> 00:02:06.320]  去做一些自誇的說話和權利
[00:02:06.320 --> 00:02:09.720]  保羅其實用了很多反諷
