
[00:00:00.000 --> 00:00:04.000]  馬可福音第一章
[00:00:04.000 --> 00:00:09.000]  神的兒子耶穌基督福音的起頭
[00:00:09.000 --> 00:00:14.000]  正如先知以塞亞書上記著說
[00:00:14.000 --> 00:00:21.000]  看啊!我要差遣我的使者在你前面預備道路
[00:00:21.000 --> 00:00:26.000]  在曠野有人聲喊著說
[00:00:26.000 --> 00:00:31.000]  預備主的道,修直祂的路
[00:00:31.000 --> 00:00:35.000]  照這句話,約翰就來了
[00:00:35.000 --> 00:00:42.000]  在曠野施洗,傳悔改的洗禮,洗罪得赦
[00:00:42.000 --> 00:00:47.000]  猶太傳遞和耶路撒冷的人都出去約翰那裡
[00:00:47.000 --> 00:00:52.000]  承認他們的罪,在藥彈殼裡面受洗
[00:00:52.000 --> 00:01:01.000]  約翰穿落陀毛的衣服,腰束皮帶,吃的是蝗蟲野物
[00:01:01.000 --> 00:01:09.000]  他傳道說:有一位在我耳後來的,能力比我更大
[00:01:09.000 --> 00:01:15.000]  我就是彎腰幫他解鞋帶,也是不配的
[00:01:15.000 --> 00:01:22.000]  我是用水幫你們施洗,他卻要用聖靈幫你們施洗
[00:01:22.000 --> 00:01:28.000]  那個時候,耶穌從加利利的拿撒勒來到
[00:01:28.000 --> 00:01:32.000]  在藥彈殼裡面收約翰的洗
[00:01:32.000 --> 00:01:38.000]  他從水裡面一上來,就看見天裂開了
[00:01:38.000 --> 00:01:43.000]  聖靈彷彿甲子降在他的身上
[00:01:43.000 --> 00:01:52.000]  又有聲音從天上來說:你是我的愛子,我喜悅你
[00:01:52.000 --> 00:01:57.000]  聖靈就將耶穌催到曠野那裡去
[00:01:57.000 --> 00:02:02.000]  他在曠野四十天受撒旦的試探
[00:02:02.000 --> 00:02:10.000]  並和耶穌在一起,而且有天使來侍候他
[00:02:10.000 --> 00:02:17.000]  約翰下監之後,耶穌來到加利利宣傳神的福音
[00:02:17.000 --> 00:02:28.000]  說:日期滿,神的國勤,你們應當悔改,順福音
[00:02:28.000 --> 00:02:31.000]  耶穌順著加利利的海邊走
[00:02:31.000 --> 00:02:38.000]  看見西門和西門的兄弟安德烈在海裡散亡
[00:02:38.000 --> 00:02:41.000]  他們本來是打魚的
[00:02:41.000 --> 00:02:47.000]  耶穌對他們說:來跟從我,我要洗你們
[00:02:47.000 --> 00:02:50.000]  得人好像得魚一樣
[00:02:50.000 --> 00:02:55.000]  他們立即扔下網,跟從了他
[00:02:55.000 --> 00:03:00.000]  耶穌稍往前走,又看見西比太的兒子雅各
[00:03:00.000 --> 00:03:05.000]  和雅各的兄弟約翰在船上保望
