
[00:00:00.000 --> 00:00:06.000]  宣讀《使徒行傳》第九章第一到十七節
[00:00:06.000 --> 00:00:10.400]  嫂羅不斷用威嚇兇悍的口氣
[00:00:10.400 --> 00:00:12.400]  向主的門徒說話
[00:00:12.400 --> 00:00:14.800]  她去見大祭司
[00:00:14.800 --> 00:00:18.700]  要求發信給大馬士革的各會堂
[00:00:18.700 --> 00:00:22.200]  若是找著信奉這道的人
[00:00:22.200 --> 00:00:25.000]  無論男女都准他
[00:00:25.000 --> 00:00:27.700]  捆綁帶到耶路撒冷
[00:00:29.200 --> 00:00:33.200]  嫂羅在途中將到大馬士革的時候
[00:00:33.200 --> 00:00:37.800]  忽然有一道光從天上下來
[00:00:37.800 --> 00:00:40.400]  四面照射著她
[00:00:40.400 --> 00:00:42.800]  她就呼倒在地
[00:00:42.800 --> 00:00:46.200]  聽見有聲音對她說
[00:00:46.200 --> 00:00:49.800]  嫂羅 嫂羅
[00:00:49.800 --> 00:00:53.600]  你為什麼迫害我
[00:00:53.600 --> 00:00:55.600]  她說
[00:00:56.600 --> 00:00:59.200]  主啊 你是誰
[00:00:59.200 --> 00:01:01.200]  主說
[00:01:01.200 --> 00:01:06.000]  我就是你所迫害的耶穌
[00:01:06.000 --> 00:01:09.200]  起來 進城去
[00:01:09.200 --> 00:01:13.600]  你應該做的事必有人告訴你
[00:01:13.600 --> 00:01:17.200]  同行的人站在那裡
[00:01:17.200 --> 00:01:19.000]  說不出話來
[00:01:19.000 --> 00:01:21.000]  因為他們聽見聲音
[00:01:21.000 --> 00:01:23.200]  卻看不見人
[00:01:24.600 --> 00:01:26.600]  嫂羅從地上起來
[00:01:26.600 --> 00:01:28.200]  睜開眼睛
[00:01:28.200 --> 00:01:30.800]  竟不能看見什麼
[00:01:30.800 --> 00:01:33.600]  有人拉她的手
[00:01:33.600 --> 00:01:36.400]  領她進了大馬士革
[00:01:36.400 --> 00:01:39.800]  她三天什麼都看不見
[00:01:39.800 --> 00:01:42.400]  也不吃 也不喝
[00:01:42.400 --> 00:01:44.400]  那時
[00:01:44.400 --> 00:01:47.000]  在大馬士革有一個門徒
[00:01:47.000 --> 00:01:49.200]  名叫亞拿尼亞
[00:01:49.200 --> 00:01:52.200]  主在意象中對她說
[00:01:52.200 --> 00:01:54.400]  亞拿尼亞
[00:01:54.800 --> 00:01:55.600]  她說
[00:01:55.600 --> 00:01:58.200]  主啊 我在這裡
