
[00:00:00.000 --> 00:00:04.920]  大家會留意到最近政府常常提出一件事情
[00:00:04.920 --> 00:00:10.180]  就是提到在全香港的食肆實行禁煙的事情
[00:00:10.180 --> 00:00:12.620]  這件事情也有很多人在討論
[00:00:12.620 --> 00:00:17.180]  也有很多不同的宣傳在電視、在報紙看到
[00:00:17.180 --> 00:00:20.020]  我記得很久之前曾經看到一張海報
[00:00:20.020 --> 00:00:24.180]  這張海報就是畫了一個墳場的情景
[00:00:24.180 --> 00:00:25.900]  這個墳場有很多個十字架
[00:00:25.900 --> 00:00:29.180]  一個一個插在地上排列開來
[00:00:29.180 --> 00:00:32.820]  我記得當我走近海報看一看的時候
[00:00:32.820 --> 00:00:37.060]  才發現那些十字架不是一些木條
[00:00:37.060 --> 00:00:41.780]  而是一支支的橫向的向煙
[00:00:41.780 --> 00:00:44.700]  大家有些人會看過就知道
[00:00:44.700 --> 00:00:48.500]  一支支的煙砌成一些十字架的形狀
[00:00:48.500 --> 00:00:53.580]  很深刻讓我感受到煙和死亡有一種關聯
[00:00:53.580 --> 00:00:56.820]  很多宣傳也有很多研究告訴我們
[00:00:56.820 --> 00:01:01.860]  吸煙的人容易染肺癌
[00:01:01.860 --> 00:01:05.900]  煙引發癌症也帶來死亡
[00:01:05.900 --> 00:01:08.540]  吸煙是會有後果的
[00:01:08.540 --> 00:01:12.260]  當然今天大家知道我不是想講吸煙的問題
[00:01:12.260 --> 00:01:13.420]  但我想講的是
[00:01:13.420 --> 00:01:16.940]  很多人認為身體上有問題就要處理
[00:01:16.940 --> 00:01:20.060]  但同時需要留心的是
[00:01:20.060 --> 00:01:25.780]  當人違背這位創造天地的神的時候
[00:01:25.780 --> 00:01:28.820]  聖經說是犯罪的時候
[00:01:28.820 --> 00:01:31.580]  這個犯罪是有後果的
[00:01:31.580 --> 00:01:33.860]  是會帶來死亡的
[00:01:33.860 --> 00:01:35.220]  正如聖經所說
[00:01:35.220 --> 00:01:38.420]  罪的公價乃是死
[00:01:38.420 --> 00:01:42.620]  犯罪而付出的代價就是死亡
[00:01:42.620 --> 00:01:45.460]  這是聖經清楚講到有的後果
[00:01:45.460 --> 00:01:48.820]  當有些朋友未認識信仰的時候
[00:01:48.820 --> 00:01:50.740]  就覺得不要緊
[00:01:50.740 --> 00:01:52.860]  死後一了百了
[00:01:52.860 --> 00:01:54.900]  不需要那麼多掛心的事情
[00:01:54.900 --> 00:01:56.180]  死後沒有什麼感覺
[00:01:56.180 --> 00:01:57.860]  早不如早些
[00:01:57.860 --> 00:02:00.580]  遲些也沒有所謂了
[00:02:00.580 --> 00:02:02.100]  但聖經清楚告訴我們
[00:02:02.100 --> 00:02:03.140]  大家都會明白
[00:02:03.140 --> 00:02:04.980]  在啟示裡說
[00:02:04.980 --> 00:02:09.860]  所有人都要面對著一個死亡
[00:02:09.860 --> 00:02:12.100]  我們有身體的死亡
[00:02:12.100 --> 00:02:15.260]  但那些未曾受神赦罪的人
[00:02:15.260 --> 00:02:18.380]  要面對第二次的死亡
[00:02:18.380 --> 00:02:20.420]  啟示裡說到第二次的死亡
[00:02:21.060 --> 00:02:25.660]  當人無論是基督徒或不是基督徒
[00:02:25.660 --> 00:02:29.300]  所有的人都會承受神給我們的復活
[00:02:29.300 --> 00:02:30.500]  但在復活裡
[00:02:30.500 --> 00:02:33.300]  我們面對神的審判
[00:02:33.300 --> 00:02:35.940]  凡是犯罪未曾蒙赦免的
[00:02:35.940 --> 00:02:39.020]  聖經說他要經歷第二次的死亡
[00:02:39.020 --> 00:02:41.700]  這個死亡是有意識的
[00:02:41.700 --> 00:02:43.540]  是會有感覺的
[00:02:43.540 --> 00:02:44.820]  是長久地
[00:02:44.820 --> 00:02:45.940]  聖經所說
[00:02:45.940 --> 00:02:49.380]  被困在火壺裡
[00:02:49.380 --> 00:02:50.820]  是會清楚地
[00:02:50.820 --> 00:02:53.580]  永恆地感受到死亡的苦楚
