
[00:00:00.000 --> 00:00:04.000]  提摩太后書是保羅寫給提摩太太
[00:00:04.000 --> 00:00:05.000]  他屬靈的兒子
[00:00:05.000 --> 00:00:08.000]  可以說是一個屬靈的遺圖
[00:00:08.000 --> 00:00:11.000]  我們相信是他最後的作品
[00:00:11.000 --> 00:00:15.000]  所以裡面充滿了很深的期待
[00:00:15.000 --> 00:00:18.000]  也是拿個心出來來說
[00:00:18.000 --> 00:00:20.000]  第三章剛才我們讀的時候
[00:00:20.000 --> 00:00:22.000]  我相信你一定有很多的共鳴
[00:00:22.000 --> 00:00:24.000]  也有很多的反思
[00:00:24.000 --> 00:00:28.000]  因為第三章前面那九節描述到
[00:00:28.000 --> 00:00:32.000]  當日也是末後的日子
[00:00:32.000 --> 00:00:37.000]  必有的艱難時刻的現象
[00:00:37.000 --> 00:00:38.000]  今天我們的時間有限
[00:00:38.000 --> 00:00:40.000]  我們就不會逐樣的
[00:00:40.000 --> 00:00:43.000]  那些現象和大家慢慢來說
[00:00:43.000 --> 00:00:45.000]  不過我相信大家讀的時候
[00:00:45.000 --> 00:00:47.000]  心裡面有很多的共鳴
[00:00:47.000 --> 00:00:48.000]  因為你讀的時候
[00:00:48.000 --> 00:00:51.000]  這件事想起你的同事
[00:00:51.000 --> 00:00:53.000]  這件事想起你在電視機里
[00:00:53.000 --> 00:00:54.000]  看新聞的時候
[00:00:54.000 --> 00:00:56.000]  看到那個人的樣子
[00:00:56.000 --> 00:00:59.000]  你自己會知道
[00:00:59.000 --> 00:01:00.000]  你和我都知道
[00:01:00.000 --> 00:01:02.000]  一點都不奇怪
[00:01:02.000 --> 00:01:04.000]  因為我們所面對的世界
[00:01:04.000 --> 00:01:06.000]  也是同樣的世界
[00:01:06.000 --> 00:01:09.000]  甚至可能更差的世界
[00:01:09.000 --> 00:01:10.000]  好
[00:01:10.000 --> 00:01:12.000]  但是我們問究竟這些問題
[00:01:12.000 --> 00:01:13.000]  為什麼會發生
