
[00:00:00.000 --> 00:00:02.000]  禾木天靜聲
[00:00:02.000 --> 00:00:04.000]  請大家看
[00:00:04.000 --> 00:00:06.000]  一百二十二篇
[00:00:06.000 --> 00:00:09.000]  詩篇一百二十二篇
[00:00:09.000 --> 00:00:11.000]  第一節
[00:00:11.000 --> 00:00:18.000]  一百二十二篇第一節
[00:00:18.000 --> 00:00:23.000]  人對我說
[00:00:23.000 --> 00:00:25.000]  我們往義和華的劍去
[00:00:25.000 --> 00:00:27.000]  我就歡喜
[00:00:28.000 --> 00:00:30.000]  這是大衛的心
[00:00:30.000 --> 00:00:31.000]  他歡喜
[00:00:31.000 --> 00:00:33.000]  為什麼歡喜
[00:00:33.000 --> 00:00:34.000]  因為他聽見
[00:00:34.000 --> 00:00:38.000]  想到要到義和華的劍去
[00:00:38.000 --> 00:00:40.000]  清靜聲
[00:00:40.000 --> 00:00:44.000]  這是他的一個很自然的
[00:00:44.000 --> 00:00:46.000]  一個反應
[00:00:46.000 --> 00:00:49.000]  一個很自然的流露
[00:00:49.000 --> 00:00:53.000]  我相信他不是講謊話
[00:00:53.000 --> 00:00:55.000]  他在神的面前
[00:00:55.000 --> 00:00:57.000]  寫這句話
[00:00:57.000 --> 00:01:00.000]  我相信他不是要欺騙神
[00:01:00.000 --> 00:01:02.000]  欺騙人
[00:01:02.000 --> 00:01:05.000]  他把他真實的感受
[00:01:05.000 --> 00:01:07.000]  這樣的寫出來
[00:01:07.000 --> 00:01:10.000]  這是何等的難得
[00:01:10.000 --> 00:01:12.000]  真的愛
[00:01:12.000 --> 00:01:14.000]  是絕定的愛
[00:01:14.000 --> 00:01:17.000]  如果你愛一個人
[00:01:17.000 --> 00:01:20.000]  你一定歡喜和他在一起
[00:01:20.000 --> 00:01:24.000]  不然你很難證明你愛他
[00:01:24.000 --> 00:01:27.000]  如果我說我愛一個人
[00:01:27.000 --> 00:01:31.000]  但是我能離他多遠就多遠
[00:01:31.000 --> 00:01:35.000]  沒有人信得過我愛他
[00:01:35.000 --> 00:01:38.000]  如果我們說我們愛神
[00:01:38.000 --> 00:01:41.000]  但是離開神很遠
[00:01:41.000 --> 00:01:43.000]  做禮拜
[00:01:43.000 --> 00:01:44.000]  聚會
[00:01:44.000 --> 00:01:45.000]  禱告
[00:01:45.000 --> 00:01:47.000]  鍍金和勉強
[00:01:47.000 --> 00:01:52.000]  是當做一個很沉重的責任去敬上
[00:01:52.000 --> 00:01:58.000]  那就證明我們裏面缺少對神的愛
[00:01:58.000 --> 00:01:59.000]  不錯
[00:01:59.000 --> 00:02:01.000]  有對神的愛
[00:02:01.000 --> 00:02:03.000]  不是沒有對神的愛
[00:02:03.000 --> 00:02:04.000]  如果沒有對神的愛
[00:02:04.000 --> 00:02:07.000]  也不會勉強自己去鍍金禱告
[00:02:07.000 --> 00:02:09.000]  做禮拜聚會
[00:02:09.000 --> 00:02:11.000]  有對神的愛
[00:02:11.000 --> 00:02:15.000]  但是那個愛是點滴的愛
[00:02:15.000 --> 00:02:18.000]  所以愛神的時候很勉強
[00:02:18.000 --> 00:02:22.000]  要加點量力才愛得下去
[00:02:22.000 --> 00:02:26.000]  大衛是全國最忙的人
[00:02:26.000 --> 00:02:28.000]  因為他是國王
[00:02:28.000 --> 00:02:32.000]  我們說日理萬機
[00:02:32.000 --> 00:02:36.000]  很重大的責任壓在他身上
[00:02:36.000 --> 00:02:39.000]  但是他因為愛神
[00:02:39.000 --> 00:02:43.000]  就找到時間來親近神
[00:02:43.000 --> 00:02:45.000]  這是個事實
[00:02:45.000 --> 00:02:47.000]  因為我們在詩篇裏面
[00:02:47.000 --> 00:02:51.000]  看見許多大衛寫的詩篇
[00:02:51.000 --> 00:02:55.000]  就表露他是何等的親近神
[00:02:55.000 --> 00:02:56.000]  仰望神
[00:02:56.000 --> 00:02:57.000]  祥道神
[00:02:57.000 --> 00:02:59.000]  默想神
[00:02:59.000 --> 00:03:00.000]  強道神
[00:03:00.000 --> 00:03:02.000]  讚美神
