
[00:00:00.000 --> 00:00:04.000]  好,我們一起聽神的說話
[00:00:04.000 --> 00:00:08.000]  今天我的港道大綱就放在我們的程序單裏面
[00:00:08.000 --> 00:00:13.000]  很小的一隻字,我也覺得是一個很有挑戰性的大綱
[00:00:13.000 --> 00:00:17.000]  我不看的,我自己忍得很大,你不用擔心,我沒那麼笨
[00:00:17.000 --> 00:00:21.000]  那就大家看近一點吧
[00:00:21.000 --> 00:00:27.000]  因為好像也多了一些東西,但是今天有一點不像港道的方式
[00:00:27.000 --> 00:00:30.000]  有一點多變成了教導多一點,不過不要緊
[00:00:30.000 --> 00:00:34.000]  我還是將它轉成為我們生命裏面一個很重要的學習
[00:00:34.000 --> 00:00:37.000]  那為什麼會說這一篇道呢?
[00:00:37.000 --> 00:00:42.000]  因為如果大家還記得我上一年就曾經有一連串
[00:00:42.000 --> 00:00:48.000]  每個星期一晚就跟大家說這個《提摩太前書》
[00:00:48.000 --> 00:00:51.000]  在提摩太前書那裏說到第六章的時候
[00:00:51.000 --> 00:00:53.000]  心裏面也有一點感動,我說
[00:00:53.000 --> 00:00:58.000]  很少聖經是這麼直接的說到錢的,很直接的說錢
[00:00:58.000 --> 00:01:02.000]  怎樣看錢,那我覺得就很想再發揮一下
[00:01:02.000 --> 00:01:06.000]  我自己看的時候心裏面也有所提醒和感動
[00:01:06.000 --> 00:01:10.000]  那後來就沒機會跟大家在聚會裏面說
[00:01:10.000 --> 00:01:14.000]  所以就等到這次我就決定不如跟大家說一下
[00:01:14.000 --> 00:01:20.000]  我們怎樣去用錢、金錢,怎樣在信仰裏面面對金錢
[00:01:20.000 --> 00:01:23.000]  但是我覺得這樣就不夠了
[00:01:23.000 --> 00:01:28.000]  剛才提摩太前書那裏只是說集中在錢
[00:01:28.000 --> 00:01:32.000]  因為更加深刻的問題就是我們怎樣面對錢
[00:01:32.000 --> 00:01:36.000]  怎樣從信仰裏面理解去看財富
[00:01:36.000 --> 00:01:40.000]  是和我們的生命更加深層的問題有關
[00:01:40.000 --> 00:01:42.000]  這個就是我稱為奉獻的生命
[00:01:42.000 --> 00:01:45.000]  奉獻當然有兩重的意思
[00:01:45.000 --> 00:01:51.000]  一個意思就是在我們信仰裏面說的是錢的奉獻
