
[00:00:00.000 --> 00:00:03.900]  請大家低頭祈禱
[00:00:03.900 --> 00:00:09.340]  愛我們的天父
[00:00:09.340 --> 00:00:14.420]  我們衷心敬拜 感謝神明
[00:00:14.420 --> 00:00:18.920]  我們在心裏面高舉你的成名
[00:00:18.920 --> 00:00:27.520]  我們高舉你自己 你的話語 你的救恩 你的真道
[00:00:28.360 --> 00:00:32.700]  我們願意時時在你的面前仰望
[00:00:32.700 --> 00:00:37.500]  等候 我們願意有受救的心
[00:00:37.500 --> 00:00:43.860]  求主令到我們有容量來接受你的話語
[00:00:43.860 --> 00:00:46.860]  成為我們的生命之糧
[00:00:46.860 --> 00:00:50.180]  我們可以時時重新得來
[00:00:50.180 --> 00:00:53.300]  求主因待這個時刻
[00:00:53.300 --> 00:00:56.600]  來幫助你的僕人 侍女
[00:00:57.220 --> 00:01:00.020]  將這個話語傳達得清楚
[00:01:00.020 --> 00:01:05.100]  我們可以一齊聯手 得到幫助 太息
[00:01:05.100 --> 00:01:09.340]  我們這樣願望祈禱 感謝奉主名禱
[00:01:09.340 --> 00:01:16.060]  我每一次到北宣來
[00:01:16.060 --> 00:01:18.780]  我每一次來到北宣
[00:01:18.780 --> 00:01:22.180]  心裏都充滿了對主的感謝
[00:01:22.180 --> 00:01:24.740]  心裏面都充滿了對主的感謝
[00:01:25.140 --> 00:01:29.580]  每一次來都有看見新的恩典
[00:01:29.580 --> 00:01:32.260]  每一次來都看到神生的恩典
[00:01:32.260 --> 00:01:37.780]  現在每一個禮拜有八次的聚會
[00:01:37.780 --> 00:01:40.780]  你們現在每一個星期有八堂的聚會
[00:01:40.780 --> 00:01:44.420]  是崇拜的聚會
[00:01:44.420 --> 00:01:49.820]  感謝主的恩典 主的同在 賢明
[00:01:49.820 --> 00:01:54.220]  感謝主的恩典和恩惠顯明
[00:01:54.220 --> 00:02:00.020]  我的內心常常為北宣獻上感恩
[00:02:00.020 --> 00:02:03.020]  我的心時時都為北宣獻上感恩
[00:02:03.020 --> 00:02:08.220]  今天我們一同領受大使命的訊息
[00:02:08.220 --> 00:02:11.420]  今天我們一同領受大使命的訊息
[00:02:11.420 --> 00:02:16.020]  北宣一直都有大使命的負擔
[00:02:16.020 --> 00:02:18.620]  北宣一直都有大使命的負擔
[00:02:18.620 --> 00:02:25.020]  多年來多年來在這項工作上被主所用
[00:02:25.020 --> 00:02:28.420]  多年來在這項工作上被主所用
[00:02:28.420 --> 00:02:31.820]  今天我們再次的溫習
[00:02:31.820 --> 00:02:35.420]  我們已經知道很清楚的信息
[00:02:35.420 --> 00:02:37.020]  今天我們再一次來溫習一下
[00:02:37.020 --> 00:02:39.220]  我們已經很清楚的信息
[00:02:39.220 --> 00:02:42.020]  主的話語我們知道了
[00:02:42.020 --> 00:02:47.220]  我們再溫習 再溫習 重新得力
[00:02:47.220 --> 00:02:49.220]  主的話語我們已經知道了
[00:02:49.220 --> 00:02:51.620]  我們重新的來溫習 溫習
[00:02:51.620 --> 00:02:55.820]  以致我們能夠重新得力
[00:02:55.820 --> 00:03:00.220]  普世傳福音的事工
[00:03:00.220 --> 00:03:05.220]  被稱作大使命
[00:03:05.220 --> 00:03:10.220]  大 意義重大
[00:03:10.220 --> 00:03:14.020]  使命是我們的責任
[00:03:14.020 --> 00:03:22.020]  猜傳是我們的意義重大的責任
[00:03:22.020 --> 00:03:28.020]  在聖經裏面提到三大命令
[00:03:28.020 --> 00:03:37.020]  第一 就是馬太福音22章37節說的
[00:03:37.020 --> 00:03:40.020]  在那裏提到第一條的誡命
[00:03:40.020 --> 00:03:45.020]  就是要盡心 盡性 盡義 盡力愛神
[00:03:45.020 --> 00:03:47.020]  那裏提到的第一條命令就是
[00:03:47.020 --> 00:03:51.620]  你要盡心 盡性 盡義 盡力愛主你的神
[00:03:51.620 --> 00:03:55.020]  第二個大的命令
[00:03:55.020 --> 00:04:00.020]  那就是總的命令
[00:04:00.020 --> 00:04:06.020]  在加拿大書五章的四節
[00:04:06.020 --> 00:04:10.020]  那裏說在誡命裏的一切的內容
[00:04:10.020 --> 00:04:15.020]  都包裹在愛人如己一句話裏面
[00:04:15.020 --> 00:04:19.020]  (主)就是說愛 誡命裏面所有的總綱
[00:04:19.020 --> 00:04:22.020]  就包括在愛人如己這句話裏面
