
[00:00:00.000 --> 00:00:04.780]  今天我們要開始領受《新約聖經》裏面
[00:00:04.780 --> 00:00:08.680]  《詩圖行傳》的寶貴的信息
[00:00:08.680 --> 00:00:12.980]  《詩圖行傳》雖然是大概兩千年以前
[00:00:12.980 --> 00:00:14.980]  寫成的一卷書
[00:00:14.980 --> 00:00:20.040]  但是它裏面藏着許多俗靈的原則
[00:00:20.040 --> 00:00:24.280]  它的價值永不改變或者減少
[00:00:24.280 --> 00:00:28.880]  今天的教會仍然可以從《詩圖行傳》裏面
[00:00:28.880 --> 00:00:32.080]  發現神對教會的心意
[00:00:32.080 --> 00:00:35.580]  和神要教會走的路線
[00:00:35.580 --> 00:00:39.980]  我們可以說《詩圖行傳》是一個寶藏
[00:00:39.980 --> 00:00:43.480]  我們取之不盡 用之不竭
[00:00:43.480 --> 00:00:48.680]  我們把這些原則領受到心中和思想中
[00:00:48.680 --> 00:00:51.380]  可以活潑地運用
[00:00:51.380 --> 00:00:54.280]  在今天的時代的背景中
[00:00:54.280 --> 00:00:56.780]  按照聖靈的引導
[00:00:56.780 --> 00:01:01.780]  運用這些寶貴的基本原則
[00:01:01.780 --> 00:01:05.580]  時代會改變 環境會改變
[00:01:05.580 --> 00:01:09.980]  但是 書靈的原則永不改變
[00:01:09.980 --> 00:01:11.880]  《詩圖》時代的教會
[00:01:11.880 --> 00:01:14.180]  在聖靈的引導之下
[00:01:14.180 --> 00:01:17.580]  解決了許許多多的難題
[00:01:17.580 --> 00:01:21.080]  這些難題 今天有的時候
[00:01:21.080 --> 00:01:24.680]  也是我們所面對 所經歷的
[00:01:24.680 --> 00:01:28.280]  感謝天父 寶輝師聖靈
[00:01:28.280 --> 00:01:32.580]  今天仍然引導我們 幫助我們
[00:01:32.580 --> 00:01:35.780]  光照我們 給我們聰明智慧
[00:01:35.780 --> 00:01:38.980]  可以克服一切的困難
[00:01:38.980 --> 00:01:41.480]  解決一切的問題
[00:01:41.480 --> 00:01:47.580]  好像當日聖靈幫助初期的教會一樣
[00:01:47.580 --> 00:01:52.080]  今天的分題就是初期教會
[00:01:52.080 --> 00:01:56.480]  也就是《詩圖》時代的教會的勝利
[00:01:56.480 --> 00:01:59.380]  初期教會面對許多問題
[00:01:59.380 --> 00:02:02.480]  他們仰望主 主就賜予智慧
[00:02:02.480 --> 00:02:04.780]  他們在聖靈的引導下
[00:02:04.780 --> 00:02:07.580]  克服了困難 解決了問題
[00:02:07.580 --> 00:02:10.780]  給我們留下美好的榜樣
[00:02:10.780 --> 00:02:15.380]  他們在什麼事上有勝利呢?
[00:02:15.380 --> 00:02:18.980]  我們要提九方面的勝利
[00:02:18.980 --> 00:02:23.480]  都是記載在《詩圖行傳》裏面的
[00:02:23.480 --> 00:02:28.480]  第一方面 他們勝過了仇恨
[00:02:28.480 --> 00:02:34.180]  大家都記得在《詩圖行傳》七章六十節
[00:02:34.180 --> 00:02:36.680]  記載這樣的話說
[00:02:36.680 --> 00:02:42.580]  當斯蒂凡被猶太人用石頭快要打死的時候
[00:02:42.580 --> 00:02:48.580]  他禱告說:主啊 不要將這罪歸於他們
[00:02:48.580 --> 00:02:51.480]  這是何等榮耀的勝利
[00:02:51.480 --> 00:02:56.980]  當時他至少勝過了仇恨的心
[00:02:56.980 --> 00:03:01.080]  猶太人那麼惡毒 那麼殘酷
[00:03:01.080 --> 00:03:04.780]  他們用石頭把斯蒂凡打死
[00:03:04.780 --> 00:03:09.780]  但是斯蒂凡充滿了主自己的愛心
[00:03:09.780 --> 00:03:15.580]  他的禱告和主耶穌在十字架上的禱告是一樣的
[00:03:15.580 --> 00:03:17.980]  當主被釘死的時候
[00:03:17.980 --> 00:03:22.780]  他禱告說:父啊 赦免他們
[00:03:22.780 --> 00:03:25.980]  因爲他們所做的 他們不曉得
[00:03:25.980 --> 00:03:30.780]  這種偉大的愛也充滿了斯蒂凡的心
[00:03:30.780 --> 00:03:34.580]  尤其是當聖靈充滿斯蒂凡的時候
[00:03:34.580 --> 00:03:38.780]  就把基督的愛澆灌在斯蒂凡的心中
[00:03:38.780 --> 00:03:43.980]  所以斯蒂凡能夠在這樣的情況之下
[00:03:43.980 --> 00:03:46.980]  跪在那禱告說:主啊
[00:03:46.980 --> 00:03:50.380]  不要將這罪歸於他們
[00:03:50.380 --> 00:03:54.980]  這是一個何等高超的榜樣
