
[00:00:00.000 --> 00:00:02.000]  鄭卿姐妹
[00:00:02.000 --> 00:00:06.000]  我們首先來一個小測試
[00:00:06.000 --> 00:00:08.000]  快問快答
[00:00:08.000 --> 00:00:12.000]  聖經一共有多少卷呢?
[00:00:12.000 --> 00:00:13.000]  現在已經過了第一關
[00:00:13.000 --> 00:00:14.000]  66卷
[00:00:14.000 --> 00:00:17.000]  在66卷的書卷裏面
[00:00:17.000 --> 00:00:21.000]  哪一卷是篇幅最長的?
[00:00:21.000 --> 00:00:24.000]  詩篇有多少首詩篇呢?
[00:00:24.000 --> 00:00:28.000]  突然間好像變了一些寶劍練習
[00:00:28.000 --> 00:00:29.000]  繼續錄下來
[00:00:29.000 --> 00:00:31.000]  在156首詩篇裏面
[00:00:31.000 --> 00:00:34.000]  哪一篇是最長的呢?
[00:00:34.000 --> 00:00:36.000]  哪一首的詩歌?
[00:00:36.000 --> 00:00:37.000]  119
[00:00:37.000 --> 00:00:39.000]  那篇很快
[00:00:39.000 --> 00:00:41.000]  好了,最後一題
[00:00:41.000 --> 00:00:49.000]  詩篇第119篇一共有多少節呢?
[00:00:49.000 --> 00:00:52.000]  啊
[00:00:52.000 --> 00:00:53.000]  是不是考起大家呢?
[00:00:53.000 --> 00:00:54.000]  因為它真的很長
[00:00:54.000 --> 00:00:58.000]  通常我們可能讀它某幾節就已經完了
[00:00:58.000 --> 00:01:00.000]  我看到有些人很聰明
[00:01:00.000 --> 00:01:05.000]  馬上打開實體聖經看看
[00:01:05.000 --> 00:01:08.000]  就是176節
[00:01:08.000 --> 00:01:11.000]  哇,真的很長
[00:01:11.000 --> 00:01:12.000]  所以應該有人選擇
[00:01:12.000 --> 00:01:15.000]  應該不會背這一首詩篇
[00:01:15.000 --> 00:01:17.000]  如果挑戰到,真的很厲害
[00:01:17.000 --> 00:01:21.000]  到底怎樣記到它是176節呢?
[00:01:21.000 --> 00:01:23.000]  詩篇第119篇
[00:01:23.000 --> 00:01:27.000]  這一首詩篇是用字母詩體去寫成的
[00:01:27.000 --> 00:01:31.000]  希伯來文是有22個字母的
[00:01:31.000 --> 00:01:34.000]  順序次序是分為22段
[00:01:34.000 --> 00:01:36.000]  每一段都是順序的
[00:01:36.000 --> 00:01:40.000]  是用一個希伯來文的字母做開頭的
[00:01:40.000 --> 00:01:44.000]  然後每一段是有8節的
[00:01:44.000 --> 00:01:47.000]  所以22個希伯來文字母
[00:01:47.000 --> 00:01:49.000]  每一段有8節
[00:01:49.000 --> 00:01:54.000]  22乘以8就是176節
[00:01:54.000 --> 00:01:58.000]  另外有一個特色就是每一段的每一節
[00:01:58.000 --> 00:02:04.000]  都是用同一個希伯來文的字母做開頭的
[00:02:04.000 --> 00:02:06.000]  即是怎樣呢?
[00:02:06.000 --> 00:02:10.000]  所以我們今天要看一段經文
[00:02:10.000 --> 00:02:16.000]  第105至122節是屬於第14段的
[00:02:16.000 --> 00:02:25.000]  所以它在希伯來文第14段的字母就是這個
[00:02:25.000 --> 00:02:28.000]  用希伯來文的字母做開頭
[00:02:28.000 --> 00:02:31.000]  每一節都是同一個
[00:02:31.000 --> 00:02:35.000]  在詩篇第119篇裏面還有一個特色
[00:02:35.000 --> 00:02:39.000]  就是整首詩篇有多少節?
[00:02:39.000 --> 00:02:43.000]  176節
[00:02:43.000 --> 00:02:47.000]  而在176節裏面除了第122節之外
[00:02:47.000 --> 00:02:52.000]  其他的175節裏面都有一個字眼
[00:02:52.000 --> 00:02:57.000]  是提到代表神的華語
[00:02:57.000 --> 00:03:03.000]  就好像我們今天要看的第105至112節
[00:03:03.000 --> 00:03:08.000]  我們看到它有甚麼字眼是代表神的華語呢?
[00:03:08.000 --> 00:03:17.000]  就是你的話、你的典章、你的律例、律法、訓詞、法道
[00:03:17.000 --> 00:03:21.000]  這些字眼雖然不同,但其實意思是相同的
[00:03:21.000 --> 00:03:24.000]  就是都是在說神的話
[00:03:24.000 --> 00:03:27.000]  我們都知道重要的東西要說多少次?
[00:03:27.000 --> 00:03:31.000]  三次!現在這個不止,是說了多少次?
[00:03:31.000 --> 00:03:33.000]  175次!
[00:03:33.000 --> 00:03:38.000]  所以我們看到這首詩篇是非常強調
[00:03:38.000 --> 00:03:46.000]  極度強調神的華語是何等的寶貴和重要
[00:03:46.000 --> 00:03:50.000]  而今天我們要看的第105至112節裏面
[00:03:50.000 --> 00:03:54.000]  它是怎樣去講到神華語的重要性呢?
[00:03:54.000 --> 00:03:58.000]  在第105節裏面,它用到的比喻是
[00:03:58.000 --> 00:04:03.000]  「你的話是我腳前的燈,是我路上的光」
[00:04:03.000 --> 00:04:07.000]  讀詩篇有一個很重要的方法
[00:04:07.000 --> 00:04:10.000]  就是一定要有些想像力
[00:04:10.000 --> 00:04:12.000]  不知道看到第105節
[00:04:12.000 --> 00:04:15.000]  神的話是我們腳前的燈,是路上的光
