
[00:00:00.000 --> 00:00:05.040]  我們在菲律賓的旅程走到最後一章
[00:00:05.040 --> 00:00:06.360]  我們打開第四章
[00:00:06.360 --> 00:00:09.960]  第四章可以說是保羅收筆了
[00:00:09.960 --> 00:00:10.760]  開始
[00:00:10.760 --> 00:00:18.840]  也說到他面對逆境坐牢的時候最後的說話和總結
[00:00:18.840 --> 00:00:24.520]  不知不覺我們已經研究了前面的三章
[00:00:24.520 --> 00:00:30.800]  第四章今天我們不會全部看完
[00:00:30.800 --> 00:00:34.320]  主要因為有些比較個人性質的事情
[00:00:34.320 --> 00:00:36.560]  我們時間不許可
[00:00:36.560 --> 00:00:39.280]  我們沒辦法將它慢慢看完
[00:00:39.280 --> 00:00:43.120]  尤其是最初第四章的三戰
[00:00:43.120 --> 00:00:47.760]  說到他勸兩位姐妹在主裏要同心
[00:00:47.760 --> 00:00:49.840]  那些我們跳過了
[00:00:49.840 --> 00:00:58.680]  我們今天特別研究第四戰至第十三戰
[00:00:58.680 --> 00:01:01.280]  第十五戰結束後
[00:01:01.280 --> 00:01:05.080]  如果大家看最後的講義
[00:01:05.080 --> 00:01:06.040]  我們會做一個副錄
[00:01:06.040 --> 00:01:09.120]  給大家講整個菲律賓書的大綱
[00:01:09.120 --> 00:01:11.120]  我也不會慢慢跟大家解釋
[00:01:11.120 --> 00:01:12.960]  給大家參考
[00:01:12.960 --> 00:01:18.080]  最後那版也有一些我認為值得推薦的解經書
[00:01:18.080 --> 00:01:19.480]  大家有興趣的
[00:01:19.480 --> 00:01:23.240]  這些都是我自己參考過的
[00:01:23.240 --> 00:01:25.800]  看過也覺得相當好的解經書
[00:01:25.800 --> 00:01:27.800]  有些比較學術性
[00:01:27.800 --> 00:01:30.760]  有些比較平易
[00:01:30.760 --> 00:01:32.560]  大家可以去看
[00:01:32.560 --> 00:01:34.320]  所以現在剩下的時間
[00:01:34.320 --> 00:01:37.840]  我們研究第四戰至第十三戰
[00:01:37.840 --> 00:01:39.120]  十字聖經
[00:01:39.120 --> 00:01:44.760]  保羅在這裏總結他的人生
[00:01:44.760 --> 00:01:46.760]  總結他的際遇
[00:01:46.760 --> 00:01:48.920]  在人看來很不順利
[00:01:49.880 --> 00:01:50.920]  很多逆境
[00:01:50.920 --> 00:01:52.920]  很多苦難
[00:01:52.920 --> 00:01:58.040]  但保羅發出一個很勝利的宣告
[00:01:58.040 --> 00:02:01.160]  我們特別要留意這個勝利的宣告之前
[00:02:01.160 --> 00:02:05.000]  這個勝利的宣告當然是第十戰至第十三戰
[00:02:05.000 --> 00:02:07.600]  這個很美麗的勝利宣告
[00:02:07.600 --> 00:02:12.760]  講到我什麼境況都可以知足
[00:02:12.760 --> 00:02:15.280]  而且保羅說我可以知道
[00:02:15.280 --> 00:02:18.360]  怎樣處悲戰 怎樣處豐富
[00:02:18.360 --> 00:02:20.360]  或飽足 或飢餓
[00:02:20.360 --> 00:02:22.360]  或有餘 或缺乏
[00:02:22.360 --> 00:02:25.480]  隨時隨在 我都得了秘訣
[00:02:25.480 --> 00:02:28.320]  我靠著那家給我力量的
[00:02:28.320 --> 00:02:31.080]  凡事都能做
[00:02:31.080 --> 00:02:34.760]  我時常相信一個人如果能夠有這樣的宣言
[00:02:34.760 --> 00:02:38.760]  從心裏發出這種勝利的歡呼的話
[00:02:38.760 --> 00:02:42.600]  在什麼逆境裏面他都能走過去
[00:02:42.600 --> 00:02:44.880]  但為什麼保羅可以在這個時間
[00:02:44.880 --> 00:02:46.880]  在這段裏面說出一些說話
[00:02:46.880 --> 00:02:48.880]  我們稍為要交代一下
[00:02:48.880 --> 00:02:50.880]  他之前說了些什麼
[00:02:50.880 --> 00:02:52.880]  有兩個很重要的訊息
[00:02:52.880 --> 00:02:54.880]  我想和大家留意看看
[00:02:54.880 --> 00:02:56.880]  第四節至第七節
[00:02:56.880 --> 00:03:01.400]  講到保羅能夠說出剛才那段說話
[00:03:01.400 --> 00:03:03.400]  他的心境是怎樣
[00:03:03.400 --> 00:03:05.400]  在這裏講到保羅的信心
[00:03:05.400 --> 00:03:07.400]  一個無憂的信心
[00:03:07.400 --> 00:03:09.400]  然後第八第九節
[00:03:09.400 --> 00:03:12.920]  講到保羅一個很積極的提議
[00:03:12.920 --> 00:03:14.920]  我們應該用眼目
[00:03:14.920 --> 00:03:16.920]  向著什麼去看
[00:03:16.920 --> 00:03:18.920]  即是我們心想什麼
[00:03:18.920 --> 00:03:20.920]  用眼睛看什麼
[00:03:20.920 --> 00:03:22.920]  校正了這兩樣
[00:03:22.920 --> 00:03:26.320]  然後我們就可以保羅的第十節
[00:03:26.320 --> 00:03:28.320]  剛才那些勝利的宣言
[00:03:28.320 --> 00:03:30.320]  所以這兩個一定要稍為交代
[00:03:30.320 --> 00:03:33.920]  不講我們就發覺沒有辦法完全體會和欣賞
[00:03:33.920 --> 00:03:35.920]  首先我們說
[00:03:35.920 --> 00:03:38.920]  保羅在第四至第七節說了些什麼呢
[00:03:38.920 --> 00:03:41.920]  保羅就要鼓勵他們
[00:03:41.920 --> 00:03:44.920]  你們要靠主上的喜樂
[00:03:44.920 --> 00:03:46.920]  我再說你們要喜樂
[00:03:46.920 --> 00:03:50.920]  當眾人知道你們謙讓的心主已經近了
[00:03:50.920 --> 00:03:51.920]  你們要喜樂
[00:03:51.920 --> 00:03:52.920]  第六
[00:03:52.920 --> 00:03:54.920]  應當一無掛慮
[00:03:54.920 --> 00:03:56.920]  只要凡事藉著禱告祈求和感謝
[00:03:56.920 --> 00:03:58.920]  將你們所要的高騷神
[00:03:58.920 --> 00:04:01.920]  神所賜出人意外的平安
[00:04:01.920 --> 00:04:07.920]  必在基督耶穌裏面保守你們的心懷而念
[00:04:07.920 --> 00:04:09.920]  這裏講到兩樣東西
[00:04:09.920 --> 00:04:10.920]  第一禱告的真理
[00:04:10.920 --> 00:04:12.920]  第二安心
[00:04:12.920 --> 00:04:15.920]  心懷意念給神保守
[00:04:15.920 --> 00:04:18.920]  以至可以一無掛慮
[00:04:18.920 --> 00:04:23.920]  還可以有一個出人意外的平安
[00:04:23.920 --> 00:04:26.920]  出人意外的平安中文很和諧
[00:04:26.920 --> 00:04:29.920]  也很文學性
[00:04:29.920 --> 00:04:31.920]  但只是一個意義
[00:04:31.920 --> 00:04:35.920]  原文的意思就是神所賜超過一切
[00:04:35.920 --> 00:04:38.920]  人所能夠理解的平安
[00:04:38.920 --> 00:04:41.920]  這個我想直接就這樣翻譯了
[00:04:41.920 --> 00:04:43.920]  簡單用廣東話來講
[00:04:43.920 --> 00:04:45.920]  神所賜的平安
[00:04:45.920 --> 00:04:48.920]  想來想去都不明白
[00:04:48.920 --> 00:04:52.920]  想來想去都不明白
[00:04:52.920 --> 00:04:54.920]  為什麼可以有平安就有了
[00:04:54.920 --> 00:04:56.920]  這個究竟是怎樣來的呢
[00:04:56.920 --> 00:04:58.920]  我們要稍為交代一點
[00:04:58.920 --> 00:05:03.920]  首先我講保羅的禱告
[00:05:03.920 --> 00:05:05.920]  保羅的禱告
[00:05:05.920 --> 00:05:07.920]  我們第一次
[00:05:07.920 --> 00:05:12.920]  前晚我們開頭第一章就講到保羅的禱告
[00:05:12.920 --> 00:05:15.920]  那裏我賣了一個關子
[00:05:15.920 --> 00:05:17.920]  時間不夠就沒有講
[00:05:17.920 --> 00:05:18.920]  但可以講的
[00:05:18.920 --> 00:05:20.920]  講到保羅的禱告裏面
[00:05:20.920 --> 00:05:25.920]  如果翻譯去第一講
[00:05:25.920 --> 00:05:27.920]  其實是第六頁
[00:05:27.920 --> 00:05:29.920]  只是看第六頁
[00:05:29.920 --> 00:05:32.920]  第六頁我們講到保羅的禱告裏面
