
[00:00:00.000 --> 00:00:02.800]  求主與我們同在
[00:00:02.800 --> 00:00:04.800]  除去一切的攔阻
[00:00:04.800 --> 00:00:07.800]  讓我們都有一個科目的心
[00:00:07.800 --> 00:00:09.800]  謙卑的心
[00:00:09.800 --> 00:00:11.800]  真誠的心
[00:00:11.800 --> 00:00:16.800]  在這裡領受聖經的真理
[00:00:16.800 --> 00:00:17.800]  主耶穌基督
[00:00:17.800 --> 00:00:19.800]  我們的主
[00:00:19.800 --> 00:00:21.800]  救主的話語
[00:00:21.800 --> 00:00:24.800]  今天晚上
[00:00:24.800 --> 00:00:26.800]  請大家翻到
[00:00:26.800 --> 00:00:33.800]  哥羅西書第三章
[00:00:33.800 --> 00:00:39.800]  我們要從這張聖經裡面看
[00:00:39.800 --> 00:00:42.800]  復活的生命
[00:00:42.800 --> 00:00:47.800]  與主一同復活的生命
[00:00:47.800 --> 00:00:51.800]  我們先做一個禱告
[00:00:51.800 --> 00:00:55.800]  天父我們感謝你
[00:00:55.800 --> 00:00:57.800]  將你的愛子
[00:00:57.800 --> 00:01:00.800]  耶穌基督賜給人類
[00:01:00.800 --> 00:01:02.800]  成為救主
[00:01:02.800 --> 00:01:05.800]  也成為我們最好的朋友
[00:01:05.800 --> 00:01:08.800]  成為我們的嚮導
[00:01:08.800 --> 00:01:10.800]  成為我們路上的光
[00:01:10.800 --> 00:01:13.800]  成為我們人生的指南
[00:01:13.800 --> 00:01:16.800]  我們能夠得到基督的生命
[00:01:16.800 --> 00:01:19.800]  得到基督的真理
[00:01:19.800 --> 00:01:22.800]  也走在基督的道路上
[00:01:22.800 --> 00:01:24.800]  主耶穌基督
[00:01:24.800 --> 00:01:26.800]  我們知道
[00:01:26.800 --> 00:01:28.800]  你與信祢的人
[00:01:28.800 --> 00:01:31.800]  屬祢的人同行
[00:01:31.800 --> 00:01:33.800]  我們不是孤單的
[00:01:33.800 --> 00:01:35.800]  走在人生的路上
[00:01:35.800 --> 00:01:38.800]  乃是你在我們身邊
[00:01:38.800 --> 00:01:41.800]  在我們前後左右
[00:01:41.800 --> 00:01:43.800]  來指示我們
[00:01:43.800 --> 00:01:45.800]  來引導我們
[00:01:45.800 --> 00:01:47.800]  來扶持我們
[00:01:47.800 --> 00:01:50.800]  讓我們能夠站得正
[00:01:50.800 --> 00:01:52.800]  走得正
[00:01:52.800 --> 00:01:55.800]  做人正 思想正
[00:01:55.800 --> 00:01:58.800]  走在這個正道裏面
[00:01:58.800 --> 00:02:02.800]  然後我們會永遠的與你同在
[00:02:02.800 --> 00:02:07.800]  所以我求你在這個東林會裏面
[00:02:07.800 --> 00:02:11.800]  親自向每一個人說話
[00:02:11.800 --> 00:02:14.800]  讓我們都能夠
[00:02:14.800 --> 00:02:17.800]  在安靜的這個地方
[00:02:17.800 --> 00:02:19.800]  在安靜的氣氛裏面
[00:02:19.800 --> 00:02:21.800]  在安靜的心靈裏面
[00:02:21.800 --> 00:02:24.800]  聽見從上面來的
[00:02:24.800 --> 00:02:28.800]  從裏面伸出來的聲音
[00:02:28.800 --> 00:02:31.800]  主啊 我們已經信靠祢了
[00:02:31.800 --> 00:02:33.800]  求祢監護我們的信仰
[00:02:33.800 --> 00:02:36.800]  提高我們的靈性
[00:02:36.800 --> 00:02:38.800]  還沒有認識主的朋友們
[00:02:38.800 --> 00:02:39.800]  也求主
[00:02:39.800 --> 00:02:43.800]  祢啟發他們的信心
[00:02:43.800 --> 00:02:46.800]  讓他們也能夠認識主
[00:02:46.800 --> 00:02:47.800]  接受主
[00:02:47.800 --> 00:02:48.800]  跟從主
