
[00:00:00.000 --> 00:00:02.520]  今天是教會的家庭主日
[00:00:02.520 --> 00:00:04.520]  亦是母親節
[00:00:04.520 --> 00:00:07.720]  我們很多時候在家庭主日的時候
[00:00:07.720 --> 00:00:11.120]  邀請弟兄姊妹和你的家人一齊來崇拜
[00:00:11.120 --> 00:00:14.280]  我們除了每年的年初一崇拜之外
[00:00:14.280 --> 00:00:16.480]  在家庭主日我們可以有機會
[00:00:16.480 --> 00:00:19.280]  家人一齊來崇拜
[00:00:19.280 --> 00:00:21.440]  我想問在座當中有哪些弟兄姊妹
[00:00:21.440 --> 00:00:24.800]  你和你的家人一起崇拜的
[00:00:24.800 --> 00:00:27.200]  舉手讓我們知道一下
[00:00:27.200 --> 00:00:32.000]  很多弟兄姊妹都可以
[00:00:32.000 --> 00:00:33.200]  可能不是一起崇拜
[00:00:33.200 --> 00:00:34.600]  但都是一起在教會
[00:00:34.600 --> 00:00:36.600]  你要敬拜神
[00:00:36.600 --> 00:00:39.600]  在家庭主日我們習慣了會講故事
[00:00:39.600 --> 00:00:42.800]  但不知道有沒有小朋友在
[00:00:42.800 --> 00:00:44.800]  如果沒有小朋友可能就不講了
[00:00:44.800 --> 00:00:46.800]  小朋友在哪裏?舉手看看
[00:00:46.800 --> 00:00:48.800]  小學生在哪裏?
[00:00:48.800 --> 00:00:50.800]  很多
[00:00:50.800 --> 00:00:55.600]  想不到第四堂也有很多小學生的弟兄姊妹在
[00:00:55.600 --> 00:00:57.600]  我們就講故事吧
[00:00:57.600 --> 00:01:11.600]  有兩個舊朋友是你們以前見過的
[00:01:11.600 --> 00:01:15.600]  這個舊朋友有一個叫小東
[00:01:15.600 --> 00:01:17.600]  你知不知道他是什麼樣子的?
[00:01:17.600 --> 00:01:19.600]  嘩
[00:01:19.600 --> 00:01:21.600]  小羊仔出來了
[00:01:21.600 --> 00:01:24.600]  小東他剛剛上完主學之後
[00:01:24.600 --> 00:01:26.600]  他就出了班房
[00:01:26.600 --> 00:01:30.600]  找他的好朋友小康
[00:01:30.600 --> 00:01:32.600]  但周圍看都不見他
[00:01:32.600 --> 00:01:35.600]  突然間發現原來在走廊另一邊
[00:01:35.600 --> 00:01:37.600]  他在那裏埋頭
[00:01:37.600 --> 00:01:40.600]  在那裏做什麼呢?
[00:01:40.600 --> 00:01:42.600]  在那裏打機
[00:01:42.600 --> 00:01:44.600]  不斷打機
[00:01:44.600 --> 00:01:47.600]  小東見到小康
[00:01:47.600 --> 00:01:48.600]  喂小康
[00:01:48.600 --> 00:01:50.600]  你怎麼瘦了?
[00:01:50.600 --> 00:01:52.600]  連毛都沒有了
[00:01:52.600 --> 00:01:55.600]  為什麼瘦成這樣?
[00:01:55.600 --> 00:01:57.600]  是不是沒吃東西?
[00:01:57.600 --> 00:02:00.600]  小康就說
[00:02:00.600 --> 00:02:03.600]  只想打機,什麼都不想吃
[00:02:03.600 --> 00:02:05.600]  所以他就說
[00:02:05.600 --> 00:02:08.600]  我現在不想吃東西,所以瘦了
[00:02:08.600 --> 00:02:11.600]  小東就說
[00:02:11.600 --> 00:02:14.600]  你不吃東西不行,不如這樣吧
[00:02:14.600 --> 00:02:16.600]  我有些很好吃的
[00:02:16.600 --> 00:02:18.600]  請你吃吧
[00:02:18.600 --> 00:02:20.600]  你猜請他吃什麼呢?
[00:02:21.600 --> 00:02:25.600]  哇,最好的草
[00:02:25.600 --> 00:02:28.600]  你最喜歡吃的,你吃不吃?
[00:02:28.600 --> 00:02:31.600]  他看都不看,沒興趣
[00:02:31.600 --> 00:02:33.600]  就不肯吃了
[00:02:33.600 --> 00:02:36.600]  草不吃,好,還有
[00:02:36.600 --> 00:02:41.600]  我也不捨得給人吃
[00:02:41.600 --> 00:02:43.600]  不過現在見到是你
[00:02:43.600 --> 00:02:45.600]  你最喜歡的粟米
[00:02:45.600 --> 00:02:48.600]  哇,他也是不肯吃
[00:02:48.600 --> 00:02:50.600]  他也是不肯看
[00:02:50.600 --> 00:02:53.600]  只看著腹肌一直打
[00:02:53.600 --> 00:02:54.600]  這樣?
[00:02:54.600 --> 00:02:57.600]  你平時很喜歡打球的
[00:02:57.600 --> 00:02:59.600]  不如這樣吧
[00:02:59.600 --> 00:03:04.600]  下午我們一起去踢足球吧
[00:03:04.600 --> 00:03:06.600]  他還是動都不動
[00:03:06.600 --> 00:03:09.600]  還在打機,什麼都不理
[00:03:09.600 --> 00:03:12.600]  小東也沒有辦法
[00:03:12.600 --> 00:03:14.600]  你只顧著打機
[00:03:14.600 --> 00:03:17.600]  你爸爸媽媽有沒有理你?
[00:03:17.600 --> 00:03:19.600]  說起爸爸媽媽
[00:03:19.600 --> 00:03:23.600]  他們昨天抓著我開什麼家庭會
[00:03:23.600 --> 00:03:25.600]  開完會後就告訴我
[00:03:25.600 --> 00:03:27.600]  你打機太多了
[00:03:27.600 --> 00:03:29.600]  以後明天開始
[00:03:29.600 --> 00:03:31.600]  每天最多打一個小時
[00:03:31.600 --> 00:03:33.600]  如果多過一個小時
[00:03:33.600 --> 00:03:35.600]  第二天就不准打了
[00:03:35.600 --> 00:03:37.600]  哇,這麼緊張
[00:03:37.600 --> 00:03:40.600]  小東就問他
[00:03:40.600 --> 00:03:43.600]  如果多過一個半小時呢?
[00:03:43.600 --> 00:03:45.600]  多過一個半小時
[00:03:45.600 --> 00:03:48.600]  他們說不准打機兩天
[00:03:48.600 --> 00:03:50.600]  我也不知道怎麼辦
[00:03:50.600 --> 00:03:52.600]  看看怎樣吧
[00:03:52.600 --> 00:03:55.600]  他們就聊著聊著
[00:03:55.600 --> 00:03:57.600]  他們就一起走了
[00:03:57.600 --> 00:04:01.600]  回家了
[00:04:01.600 --> 00:04:03.600]  過了兩個星期之後
[00:04:03.600 --> 00:04:09.600]  他們又見面了
[00:04:09.600 --> 00:04:29.600]  兩個星期很久了,等一等
[00:04:29.600 --> 00:04:31.600]  兩個星期之後
[00:04:31.600 --> 00:04:34.600]  他們又上完主學了
[00:04:34.600 --> 00:04:37.600]  小東又來了
[00:04:37.600 --> 00:04:39.600]  小康不知道在哪裏
