
[00:00:00.000 --> 00:00:03.600]  耶穌在地上傳道的日子
[00:00:03.600 --> 00:00:06.080]  其實都經過很多不同的艱難
[00:00:06.080 --> 00:00:08.800]  面對很多群眾的挑戰
[00:00:08.800 --> 00:00:11.200]  也都面對很多宗教領袖的挑戰
[00:00:11.200 --> 00:00:12.920]  其中一個法利塞人
[00:00:12.920 --> 00:00:14.360]  就是當時的宗教領袖
[00:00:14.360 --> 00:00:16.360]  經常去找很多的機會
[00:00:16.360 --> 00:00:17.560]  去試探耶穌
[00:00:17.560 --> 00:00:19.000]  或者去挑戰耶穌
[00:00:19.000 --> 00:00:23.640]  所講的上帝的道的一些內容
[00:00:23.640 --> 00:00:24.960]  在這段經文裏面
[00:00:24.960 --> 00:00:27.680]  法利塞人來到耶穌的面前
[00:00:27.680 --> 00:00:30.720]  去問耶穌一個問題
[00:00:30.720 --> 00:00:33.960]  就是是不是什麼情況之下
[00:00:33.960 --> 00:00:36.560]  只要給一個休書給太太
[00:00:36.560 --> 00:00:37.920]  就可以休了她呢
[00:00:37.920 --> 00:00:39.520]  一個這樣的問題
[00:00:39.520 --> 00:00:40.440]  經文裏面說
[00:00:40.440 --> 00:00:44.560]  法利塞人是試探耶穌
[00:00:44.560 --> 00:00:48.160]  為什麼這個問題是試探耶穌呢
[00:00:48.160 --> 00:00:51.520]  其實最少有兩個的可能性
[00:00:51.520 --> 00:00:52.040]  第一
[00:00:52.040 --> 00:00:53.080]  就是因為這個問題
[00:00:53.080 --> 00:00:54.480]  在當時的猶太人當中
[00:00:54.480 --> 00:00:56.240]  都有很多不同的爭論
[00:00:56.240 --> 00:00:58.720]  有很多不同的看法
[00:00:58.720 --> 00:00:59.760]  一會兒會講
[00:00:59.760 --> 00:01:01.440]  其實摩西在《新命教》裏面
[00:01:01.440 --> 00:01:04.680]  有講了一些基本的內容
[00:01:04.680 --> 00:01:07.120]  他們對這些內容有不同的解釋
[00:01:07.120 --> 00:01:09.920]  所以在當時的猶太人的群體裏面
[00:01:09.920 --> 00:01:13.240]  對這個問題是有不同的理解
[00:01:13.240 --> 00:01:14.560]  接著如果耶穌
[00:01:14.560 --> 00:01:18.160]  搭任何的一個立場
[00:01:18.160 --> 00:01:19.120]  可能都挑起
[00:01:19.120 --> 00:01:21.920]  耶穌和某一些人的一些矛盾
[00:01:21.920 --> 00:01:24.360]  這是其中一個的可能性
[00:01:24.360 --> 00:01:25.920]  就是一個試探耶穌
[00:01:25.920 --> 00:01:28.880]  但另一個更大的情況
[00:01:28.880 --> 00:01:32.520]  就是在這段經文裏面說
[00:01:32.520 --> 00:01:36.200]  法利塞人在哪裏去問耶穌的問題呢
[00:01:36.200 --> 00:01:38.200]  就是在約旦河外
[00:01:38.200 --> 00:01:40.320]  就是耶穌行了很多的神蹟
[00:01:40.320 --> 00:01:42.440]  接著就在這個地方裏面
[00:01:42.440 --> 00:01:44.040]  去問耶穌的問題
[00:01:44.040 --> 00:01:45.880]  約旦河外
