
[00:00:00.000 --> 00:00:04.200]  我們繼續思想亞國書第四章的經文
[00:00:04.200 --> 00:00:12.200]  我們這段時間大家一定很多時候都會談論到關於新冠肺炎疫情的問題
[00:00:12.200 --> 00:00:16.600]  當我在這段時間一直留意疫情的發展的時候
[00:00:16.600 --> 00:00:19.800]  都留意到一個很意外的事情
[00:00:19.800 --> 00:00:23.000]  就是原來新冠肺炎的疫情
[00:00:23.000 --> 00:00:27.200]  也引發了很多世界不同地方糧食供應的問題
[00:00:27.200 --> 00:00:30.400]  我想開始的時候稍微說說這方面
[00:00:30.400 --> 00:00:33.600]  看到很多不同的報導說到在世界不同的地方
[00:00:33.600 --> 00:00:35.800]  不單止有肺炎的問題
[00:00:35.800 --> 00:00:41.400]  也有很多國家出現了嚴重的饑荒的問題
[00:00:41.400 --> 00:00:44.000]  在很多發展中國國家因為疫情
[00:00:44.000 --> 00:00:46.800]  因為要實施人口的流動管制
[00:00:46.800 --> 00:00:51.000]  所以很多的農田是沒有人耕種的
[00:00:51.000 --> 00:00:55.600]  就算有耕種那些農產都不能夠運出來
[00:00:55.600 --> 00:00:58.400]  引發了很多很多糧食的問題
[00:00:58.400 --> 00:01:02.400]  再加上在今年年初如果大家留意新聞一定會知道
[00:01:02.400 --> 00:01:08.800]  特別在非洲的地方有很廣泛的蝗蟲之災的問題
[00:01:08.800 --> 00:01:12.000]  我留意這件事情的時候我心裡面都很震撼
[00:01:12.000 --> 00:01:17.800]  特別在北非的地方有很多很多一群一群的蝗蟲
[00:01:17.800 --> 00:01:20.200]  是充滿著在不同的地方
[00:01:20.200 --> 00:01:25.000]  這些蝗蟲當中其中一群最大的蝗蟲
[00:01:25.000 --> 00:01:32.000]  他們的覆蓋面有60公里乘40公里這麼廣闊的地方
[00:01:32.000 --> 00:01:36.400]  就是2400平方公里的地方
[00:01:36.400 --> 00:01:42.200]  但是一大群蝗蟲只要一平方公里的蝗蟲
[00:01:42.200 --> 00:01:51.400]  是可以一天之內吃了有3萬5千的人口所需要的食糧
[00:01:51.400 --> 00:01:59.200]  你可以想像這些蝗蟲吃了多少多少是人可以食用的糧食
[00:01:59.200 --> 00:02:01.800]  而帶來了很大的災禍
[00:02:01.800 --> 00:02:04.600]  這些災禍其實今天都不只是非洲
[00:02:04.600 --> 00:02:08.200]  很多地方已經出現了這些問題
[00:02:08.200 --> 00:02:12.200]  一個組織世界的糧食計劃署曾經統計
[00:02:12.200 --> 00:02:19.600]  在去年2019年是全世界大概有一億三千五百萬的人口
[00:02:19.600 --> 00:02:23.800]  在饑荒的狀況裏面
[00:02:23.800 --> 00:02:28.800]  但是他們估計在今年這個數字會加一倍
[00:02:28.800 --> 00:02:37.400]  是有二億六千五百萬的人口會陷在嚴重的糧食危機裏面
[00:02:37.400 --> 00:02:40.600]  當留意這些事情的時候相信這些不單單是數字
[00:02:40.600 --> 00:02:45.000]  而是一些很大的一種信號一種警號
[00:02:45.000 --> 00:02:48.000]  我們就會自然想起主耶穌曾經說過的話
