
[00:00:00.000 --> 00:00:03.000]  以敬虔信靠的心摘牛
[00:00:03.000 --> 00:00:07.000]  我們會簡單的看聖經的幾個重點
[00:00:07.000 --> 00:00:10.000]  在思想聖經之前
[00:00:10.000 --> 00:00:12.000]  我想提的就是
[00:00:12.000 --> 00:00:14.000]  在我們日常的生活中
[00:00:14.000 --> 00:00:16.000]  特別是在家庭婚姻有關的事上
[00:00:16.000 --> 00:00:20.000]  有時都會遇到一些不如意的事情
[00:00:20.000 --> 00:00:22.000]  很快就會覺得
[00:00:22.000 --> 00:00:25.000]  神好像不理我們
[00:00:25.000 --> 00:00:28.000]  或者會懷疑神的慈愛
[00:00:28.000 --> 00:00:30.000]  但在聖經面相上
[00:00:30.000 --> 00:00:31.000]  強調一件事情
[00:00:31.000 --> 00:00:33.000]  我記得在聖經詩篇八十九篇
[00:00:33.000 --> 00:00:34.000]  特別提到
[00:00:34.000 --> 00:00:39.000]  公義和公平是神寶座的根基
[00:00:39.000 --> 00:00:44.000]  慈愛和誠實行在祂面前
[00:00:44.000 --> 00:00:48.000]  神的最基本屬性
[00:00:48.000 --> 00:00:50.000]  公義公平
[00:00:50.000 --> 00:00:54.000]  慈愛和信實
[00:00:54.000 --> 00:00:56.000]  當聖經提到神的慈愛的時候
[00:00:56.000 --> 00:00:58.000]  上上用一個字眼
[00:00:58.000 --> 00:01:02.000]  就是神的慈愛是永遠長存
[00:01:02.000 --> 00:01:04.000]  英文也叫unfailing
[00:01:04.000 --> 00:01:07.000]  神的慈愛是不會失效的
[00:01:07.000 --> 00:01:10.000]  是不會改變的
[00:01:10.000 --> 00:01:13.000]  是不會退縮的
[00:01:13.000 --> 00:01:15.000]  因此每當我們回想自己的家庭
[00:01:15.000 --> 00:01:16.000]  自己很多事情的時候
[00:01:16.000 --> 00:01:18.000]  上上思想一件事情
[00:01:18.000 --> 00:01:22.000]  就是神的慈愛是永遠長存
[00:01:22.000 --> 00:01:26.000]  鼓勵我們的心一直來依靠神
[00:01:26.000 --> 00:01:29.000]  阿伯拉罕當他面對一個新的挑戰
[00:01:29.000 --> 00:01:32.000]  如何為自己的兒子摘藕
[00:01:32.000 --> 00:01:35.000]  這牽涉到他整個宗族民族的將來
[00:01:35.000 --> 00:01:38.000]  因此過程當中他有很多學習
[00:01:38.000 --> 00:01:40.000]  要經歷神的慈愛
[00:01:40.000 --> 00:01:42.000]  首先我們看到的就是
[00:01:42.000 --> 00:01:44.000]  這位阿伯拉罕
[00:01:44.000 --> 00:01:46.000]  由開始就蒙神的賜福
[00:01:46.000 --> 00:01:50.000]  二十四章第一節
[00:01:50.000 --> 00:01:52.000]  阿伯拉罕老賣寮
[00:01:52.000 --> 00:01:53.000]  連時以高夜
[00:01:53.000 --> 00:01:55.000]  活化在一切的事上
[00:01:55.000 --> 00:01:58.000]  都賜福給他
[00:01:58.000 --> 00:01:59.000]  簡單來說
[00:01:59.000 --> 00:02:00.000]  阿伯拉罕的人生
[00:02:00.000 --> 00:02:02.000]  可以用四個字去描寫
[00:02:02.000 --> 00:02:05.000]  就是信靠信服
[00:02:05.000 --> 00:02:07.000]  因此神一直賜福給他
[00:02:07.000 --> 00:02:08.000]  來到這一刻
[00:02:08.000 --> 00:02:10.000]  神也繼續賜福給他
[00:02:10.000 --> 00:02:12.000]  而下面的經文就描述
[00:02:12.000 --> 00:02:15.000]  神如何賜福給他
[00:02:15.000 --> 00:02:17.000]  在當時他差派他的老僕人
[00:02:17.000 --> 00:02:18.000]  他的老管家
[00:02:18.000 --> 00:02:22.000]  來為他的兒子尋找賜福
[00:02:22.000 --> 00:02:25.000]  在當中他有兩個堅持
[00:02:25.000 --> 00:02:26.000]  第一
[00:02:26.000 --> 00:02:28.000]  不可以在迦南人當中
[00:02:28.000 --> 00:02:31.000]  為他的兒子娶太太
[00:02:31.000 --> 00:02:33.000]  第二要回到自己的本族
[00:02:33.000 --> 00:02:36.000]  還要將他帶回迦南地
[00:02:36.000 --> 00:02:41.000]  不可以讓兒子回到自己的本族
[00:02:41.000 --> 00:02:42.000]  這兩個堅持
[00:02:42.000 --> 00:02:45.000]  很明顯反映出阿伯拉罕的信心
[00:02:45.000 --> 00:02:48.000]  他相信神所應許的是真實的
[00:02:48.000 --> 00:02:51.000]  所以第七節你見到
[00:02:51.000 --> 00:02:54.000]  第七節最後這樣說
[00:02:54.000 --> 00:02:56.000]  神說
[00:02:56.000 --> 00:03:00.000]  我必把這地賜給你的後裔
[00:03:00.000 --> 00:03:01.000]  很清楚
[00:03:01.000 --> 00:03:02.000]  阿伯拉罕知道
[00:03:02.000 --> 00:03:05.000]  就是神應許了這個土地
[00:03:05.000 --> 00:03:09.000]  會成為他後代繁衍的地方
[00:03:09.000 --> 00:03:11.000]  現在的現實不是這樣
[00:03:11.000 --> 00:03:12.000]  但他仍然相信
[00:03:12.000 --> 00:03:14.000]  這是將來真正的事實
[00:03:14.000 --> 00:03:17.000]  神所應許的必定成全
[00:03:17.000 --> 00:03:23.000]  因此他要求一定要回到這個地方
[00:03:23.000 --> 00:03:26.000]  不可以去到另外的地方
[00:03:26.000 --> 00:03:30.000]  只集中在迦南地
[00:03:30.000 --> 00:03:32.000]  但他不在迦南地娶妻子
[00:03:32.000 --> 00:03:35.000]  為自己的兒子娶妻子
[00:03:35.000 --> 00:03:39.000]  因為他知道迦南地是神所就坐的
[00:03:39.000 --> 00:03:40.000]  神因為他們的罪
[00:03:40.000 --> 00:03:43.000]  要滅絕這個地方的各族
[00:03:43.000 --> 00:03:46.000]  因此他明白神的旨意
[00:03:46.000 --> 00:03:47.000]  各位弟兄姊妹
[00:03:47.000 --> 00:03:49.000]  神賜福一個人
[00:03:49.000 --> 00:03:51.000]  有兩個很簡單的原因
[00:03:51.000 --> 00:03:52.000]  第一
[00:03:52.000 --> 00:03:54.000]  他明白神的旨意
[00:03:54.000 --> 00:03:55.000]  第二
[00:03:55.000 --> 00:03:59.000]  他相信神的應許
[00:03:59.000 --> 00:04:02.000]  在撥擾牛的事件上
[00:04:02.000 --> 00:04:03.000]  聖經很清楚
[00:04:03.000 --> 00:04:05.000]  很清楚神的旨意
[00:04:05.000 --> 00:04:06.000]  聖經的確說
[00:04:06.000 --> 00:04:11.000]  信和不信不能同父一額
[00:04:11.000 --> 00:04:12.000]  聖經也清楚地說
[00:04:12.000 --> 00:04:14.000]  凡是尋求耶和華的人
[00:04:14.000 --> 00:04:16.000]  一樣好處都不會缺乏
[00:04:16.000 --> 00:04:18.000]  詩篇34篇第10節
[00:04:18.000 --> 00:04:21.000]  誰願意去尋求神
[00:04:21.000 --> 00:04:22.000]  有一種信心
[00:04:22.000 --> 00:04:24.000]  知道神的應許就是
[00:04:24.000 --> 00:04:28.000]  一樣好處都不缺
[00:04:28.000 --> 00:04:29.000]  因此帶著這樣的心
[00:04:29.000 --> 00:04:33.000]  你和我都會經歷同樣的恩典
[00:04:33.000 --> 00:04:34.000]  另一方面
[00:04:34.000 --> 00:04:36.000]  因為阿伯拉罕很清楚
[00:04:36.000 --> 00:04:37.000]  神會引導
[00:04:37.000 --> 00:04:39.000]  引導在整篇經文當中
[00:04:39.000 --> 00:04:41.000]  是重要的主題
[00:04:41.000 --> 00:04:45.000]  你看看第七節
[00:04:45.000 --> 00:04:46.000]  剛才讀完一句話
[00:04:46.000 --> 00:04:47.000]  接著一句
[00:04:47.000 --> 00:04:50.000]  他必在你面前猜怕他的使者
[00:04:50.000 --> 00:04:54.000]  你就可以去到適當的地方
[00:04:54.000 --> 00:04:56.000]  去到最後第27節的時候
[00:04:56.000 --> 00:04:58.000]  僕人經過這段日子之後
[00:04:58.000 --> 00:04:59.000]  很深刻體驗
[00:04:59.000 --> 00:05:01.000]  神的確引導他
[00:05:01.000 --> 00:05:05.000]  所以27節這樣說
[00:05:05.000 --> 00:05:07.000]  耶和華我主人阿伯拉罕的神
[00:05:07.000 --> 00:05:09.000]  是應當稱重的
[00:05:09.000 --> 00:05:12.000]  因為他不斷以慈愛和信實
[00:05:12.000 --> 00:05:13.000]  待我的主人
