
[00:00:00.000 --> 00:00:02.000]  靜靜會平安
[00:00:02.000 --> 00:00:06.000]  今天是2018年的第一個主日
[00:00:06.000 --> 00:00:08.000]  我就特別選了這一段聖經
[00:00:08.000 --> 00:00:10.000]  跟大家一齊思想
[00:00:10.000 --> 00:00:13.000]  這是第一封
[00:00:13.000 --> 00:00:16.000]  神主耶穌基督
[00:00:16.000 --> 00:00:19.000]  祂給教會的信
[00:00:19.000 --> 00:00:21.000]  在啟示錄的第二章
[00:00:21.000 --> 00:00:22.000]  如果你有聖經的話
[00:00:22.000 --> 00:00:24.000]  跟我們一起打開好不好
[00:00:24.000 --> 00:00:27.000]  大家應該都記得
[00:00:27.000 --> 00:00:30.000]  在啟示錄裡面有七封信
[00:00:30.000 --> 00:00:34.000]  寫給當時候
[00:00:34.000 --> 00:00:37.000]  在小亞細亞地區
[00:00:37.000 --> 00:00:40.000]  即現在土耳其地區的教會
[00:00:40.000 --> 00:00:42.000]  在這七封信裡面
[00:00:42.000 --> 00:00:45.000]  第一封就是我們剛才所讀的第二章
[00:00:45.000 --> 00:00:47.000]  第一至第七節
[00:00:47.000 --> 00:00:51.000]  就是以弗所的教會
[00:00:51.000 --> 00:00:54.000]  以弗所的教會是約翰
[00:00:54.000 --> 00:00:57.000]  即是寫啟示錄的約翰
[00:00:57.000 --> 00:01:00.000]  他自己比較熟悉的教會
[00:01:00.000 --> 00:01:04.000]  因為如果教會的傳統說得對的話
[00:01:04.000 --> 00:01:08.000]  他是在這教會做了牧師一段很長的時間
[00:01:08.000 --> 00:01:10.000]  所以他最了解這間教會
[00:01:10.000 --> 00:01:13.000]  他就先寫給這間教會
[00:01:13.000 --> 00:01:17.000]  當然每一間教會都不同
[00:01:17.000 --> 00:01:20.000]  今天我們在一年開始的時候
[00:01:20.000 --> 00:01:22.000]  我們透過聖經
[00:01:22.000 --> 00:01:25.000]  主耶穌寫給以弗所的教會
[00:01:25.000 --> 00:01:28.000]  對他所作的一個評價
[00:01:28.000 --> 00:01:33.000]  我們試試看神怎樣去看待我們的要求
[00:01:33.000 --> 00:01:38.000]  這個要求未必一定跟全福堂一樣
[00:01:38.000 --> 00:01:40.000]  未必一定跟你一樣
[00:01:40.000 --> 00:01:41.000]  不過不要緊
[00:01:41.000 --> 00:01:44.000]  在這個要求裡面我們可以學到
[00:01:44.000 --> 00:01:49.000]  究竟神自己的標準是怎樣
[00:01:49.000 --> 00:01:56.000]  他所說的究竟是有什麼對你和我在這一年裡面特別提醒的
[00:01:56.000 --> 00:02:00.000]  我們先看一下這段聖經
[00:02:00.000 --> 00:02:06.000]  差不多每一封信都是由這樣的方式來講
[00:02:06.000 --> 00:02:08.000]  首先他宣佈說
[00:02:08.000 --> 00:02:13.000]  復活的耶穌基督向這間教會所說的話
[00:02:13.000 --> 00:02:17.000]  在他描述復活的耶穌基督的時候
[00:02:17.000 --> 00:02:20.000]  他有一種獨特的描述
[00:02:20.000 --> 00:02:27.000]  在這裡就是在第一節和第二節最初那句話
