
[00:00:00.000 --> 00:00:01.360]  信耶穌一段時間
[00:00:01.360 --> 00:00:03.720]  我想很多人都被人問過問題
[00:00:03.720 --> 00:00:04.880]  什麼叫信耶穌
[00:00:04.880 --> 00:00:07.120]  在我信耶穌的初期
[00:00:07.120 --> 00:00:08.000]  很多年前
[00:00:08.000 --> 00:00:10.120]  有很多的同事
[00:00:10.120 --> 00:00:11.520]  叫我耶穌仔
[00:00:11.520 --> 00:00:12.520]  耶穌仔這樣
[00:00:12.520 --> 00:00:14.400]  但是什麼叫信耶穌呢
[00:00:14.400 --> 00:00:15.960]  其實他們都不是很清楚
[00:00:15.960 --> 00:00:17.200]  玩很多的誤解
[00:00:17.200 --> 00:00:19.640]  其實作為一個基督徒
[00:00:19.640 --> 00:00:21.920]  或者一個真正去跟從耶穌的人
[00:00:21.920 --> 00:00:23.360]  我們都有責任
[00:00:23.360 --> 00:00:24.760]  或者有一個使命
[00:00:24.760 --> 00:00:26.240]  去讓身邊的
[00:00:26.240 --> 00:00:27.360]  無論是親人
[00:00:27.360 --> 00:00:28.200]  無論是朋友
[00:00:28.320 --> 00:00:30.800]  能夠更加清楚的了解
[00:00:30.800 --> 00:00:32.160]  什麼叫信耶穌
[00:00:32.160 --> 00:00:35.320]  什麼叫得到上帝給我們永恆的福分
[00:00:35.320 --> 00:00:38.160]  保羅在《迦太書》裡面
[00:00:38.160 --> 00:00:40.480]  正正就是要去處理這個問題
[00:00:40.480 --> 00:00:42.080]  在當時的教會
[00:00:42.080 --> 00:00:45.200]  有很多的疑端出來
[00:00:45.200 --> 00:00:47.280]  那些疑端說了很多錯
[00:00:47.280 --> 00:00:49.280]  似是而非的一些教訓
[00:00:49.280 --> 00:00:50.640]  保羅在當中
[00:00:50.640 --> 00:00:52.240]  看到他們的錯誤
[00:00:52.240 --> 00:00:54.840]  所以要馬上去澄清
[00:00:54.840 --> 00:00:56.160]  在
[00:00:56.560 --> 00:00:59.240]  《迦太書》第二章的第一至第十節
[00:00:59.240 --> 00:01:01.520]  保羅在當中正正是說
