
[00:00:00.000 --> 00:00:10.000]  感謝主的恩典,感謝主的恩典,是給我們一連十天的時間,與此分享主的話語。
[00:00:10.000 --> 00:00:22.000]  即便我們有十天的時間,給予分享主的話語,這十天的晚上,這十天的晚上,我們要一同思想生命的能力。
[00:00:22.000 --> 00:00:33.000]  生命的工作,和生命的充滿,我深深地相信,
[00:00:33.000 --> 00:00:44.000]  今天基督的宗教會最大的需要是什麼?
[00:00:44.000 --> 00:01:04.000]  就是生靈的作為,神的工作有一個方程式,生靈的能力,精靈的能力,加美好的靈性,再加方法,
[00:01:04.000 --> 00:01:20.000]  這是神工作的方程式,這是神工作的方程式,簡單有方法是絕對不夠的,還要加上美好的靈性,
[00:01:20.000 --> 00:01:33.000]  但是還是不夠,但是仍然不夠,必須加上生靈的能力,當這三樣都有的時候,
[00:01:33.000 --> 00:01:44.000]  神所用的那個條件就具備了,神所用的條件就具備了,神就能夠完成祂最好的主義,
[00:01:44.000 --> 00:01:57.000]  神就能夠完成祂最美好的主義,在這十天的晚上,我們用謙卑的心,用安靜的心,
[00:01:57.000 --> 00:02:09.000]  在主的話語裡面查考領受,我們要接受這個與我們每一個人有密切關係的真理,
[00:02:09.000 --> 00:02:18.000]  我們每一個人要接受這個與我們每一個人有密切關係的真理,我們的主耶穌自己,我們的主耶穌自己,
[00:02:18.000 --> 00:02:32.000]  對於生靈的助教是無以復加的,對於生靈的助教是無以復加的,我們在十六行經裡面看見,
[00:02:32.000 --> 00:02:56.000]  主耶穌對門徒說:生靈將臨在你們身上,你們就必得著能力,在耶路撒冷,猶太天地,瑪利亞,得到的智慧,做我的見證。
[00:02:56.000 --> 00:03:18.000]  耶穌基督對門徒沒有什麼信心,因為門徒很遠的,最大的師徒曾經三次不認祖,所以主耶穌的信心不是在門徒的身上,
[00:03:18.000 --> 00:03:44.000]  實在講主耶穌對他的門徒很不放心,實在來講主耶穌對他的門徒很不放心,但是主耶穌對生靈的能力卻是沒有信心,所以祂說:生靈將臨在你們身上,你們就必得著能力,
[00:03:44.000 --> 00:03:49.000]  從耶路撒冷開始,直到地底,做他的見證。
[00:03:49.000 --> 00:04:03.000]  從耶路撒冷開始,直到地底,做他的見證。主耶穌還講了一句話,耶穌總講了一句話,是我們在聽的時候難以相信接受的,經過了一天的難以真正接受的。
[00:04:03.000 --> 00:04:29.000]  約翰福音十四章十二節,因為我往父那裡去,意思就是說我往父那裡去,包括是生靈就來到世上,生靈來的時候,門徒就改變了,
[00:04:29.000 --> 00:04:44.000]  他們得著生命的能力,得著生命的能力,成為了截然不同的人物,造成與人不同的人物,他們就能夠做比耶穌自己在世的時候所做更大的工作,
[00:04:44.000 --> 00:05:07.000]  因為主耶穌在世的時候,他受肉身的限制,他在這裡就不能在那裡,但是生命不受時間空間限制,
[00:05:07.000 --> 00:05:25.000]  所以當千千萬萬的門徒,在生命充滿的時候,他們可以到地底去,轉變了全世界,轉變了全世界,
[00:05:25.000 --> 00:05:44.000]  所以這句話是很真實的,我們可以得著,可以經歷,這是十天的晚上,在這十天的晚上,我要從兩個角度來講,我要從兩個角度來講,
[00:05:44.000 --> 00:06:00.000]  第一個角度,第一個角度,在聖經裡面,有十五個比喻來形容生命的動作,在聖經裡面用十五個比喻來形容生命的動作,在這十五個比喻裡面,
[00:06:00.000 --> 00:06:23.000]  我們看見生命的能力,看見生命的作為,也看見生命的充滿,第二個角度,就是最後的一個晚上,我要特別講生命的充滿,
[00:06:23.000 --> 00:06:39.000]  這是我十天吧,我要講的兩個角度,告訴大家,大家心裡曉得我要講什麼,我們必須我要把這兩個角度告訴大家,大家就可以知道我要講的是什麼了,
[00:06:39.000 --> 00:06:59.000]  聖經裡面,第一個比喻來形容生命,就是火,聖經裡面用第一個比喻來形容到生命的,就是火,生命好像火一樣,就是我們在聖經裡面很多的地方所看見,
[00:06:59.000 --> 00:07:16.000]  這個在我們聖經裡面,很多地方我們可以看見的,今天晚上,我要特別提到聖經裡面六個靈火的意象,
[00:07:16.000 --> 00:07:40.000]  靈火就是屬靈的火,六個靈火的意象,這六個意象都與生命的工作有關,我們從現在開始就要查看這六個靈火的意象,
[00:07:40.000 --> 00:07:55.000]  第一個意象其實是一對的意象,其實是一對的意象,是一對的意象的第一個,於是就書第一章二十字節,
[00:07:55.000 --> 00:08:18.000]  二十八節,看見一幅畫榮耀的意象,這個意象分為兩個部分,生命的部分當中的地方,就是今天在法國,
[00:08:18.000 --> 00:08:43.000]  這個第一個意象上面的部分是金金的,發光的,在當中,中間是發光的金金,中間是發光的金金,周圍是火,下面的部分,空間是燃發的火,周圍是紅,
[00:08:43.000 --> 00:09:00.000]  彩色的紅,在這個意象裡面,無論是下面的部分,和下面的部分,都有火在裡面,無論是上面的部分,下面的部分,都有火在裡面,
[00:09:00.000 --> 00:09:17.000]  這個火就象徵以後化的聖潔和公義,這個火就象徵以後化的聖潔和公義,我們可以把它叫做公義和聖潔之火,我們可以將它叫做公義和聖潔之火,
[00:09:17.000 --> 00:09:32.000]  這個火非常的重要,這個火非常的重要,這個火也應該燃燒在每一個屬於以後化的人的心中,這個火也應該燃燒在每一個屬於以後化的人的心中,
[00:09:32.000 --> 00:09:48.000]  就像我們講到以下書四章四節的話,中國的《神教語法》第四章第幾句話,在那裡說,以後化要以公義的靈和分化的靈來結定一系列的罪,
[00:09:48.000 --> 00:10:05.000]  我之前講過,以後化要以公義的靈和分化的靈來結定一系列的罪,分化的靈就是聖靈的火,這個火有結定的作用,
[00:10:05.000 --> 00:10:17.000]  神的聖潔,神的聖潔,神的公義,神的公義,像火一樣燃燒,好像火一樣要燃燒,這個火在神的本性裡面燃燒,
[00:10:17.000 --> 00:10:27.000]  這個火在神的本性裡面燃燒,也在每一個屬神的人那一個心的同生的性格裡面燃燒,
[00:10:27.000 --> 00:10:41.000]  也在每一個屬神的人在他的心裡面燃燒,有一次我讀啟示錄,讀的時候得到很大的幫助,
[00:10:41.000 --> 00:10:54.000]  我的啟示錄的四章第三節發現,我在啟示錄第四章第三節發現,用地獄來形容的,用壁獄來形容的,
[00:10:54.000 --> 00:11:23.000]  (下話)
[00:11:23.000 --> 00:11:45.000]  這個叫做地獄是一個很重要的象徵,象徵神的聖潔,神自己是聖潔的,神與神有關的一切也都是聖潔的,
[00:11:45.000 --> 00:12:06.000]  一個信奉神的人也必須聖潔,我自己得到很大的幫助,今天在座的眾弟兄姊妹,在今天這個世代裡面,
[00:12:06.000 --> 00:12:30.000]  (下話)
[00:12:30.000 --> 00:12:46.000]  這個獄火在全世界正在燃燒,我們生存在這樣的時代裡面,我們心裡面必須要聖潔公義的火在燃燒,
[00:12:46.000 --> 00:13:02.000]  (下話)
[00:13:02.000 --> 00:13:17.000]  在這個充滿情慾的時代裡面,我們應該有這個火在裡面,我們能夠一個聖潔的生活,讓我們在裡面有這個靈火點燃燃點起來,可以過一個聖潔的生活,
[00:13:17.000 --> 00:13:32.000]  (下話)
[00:13:32.000 --> 00:13:52.000]  犯了情慾的罪,失去了愛主的心,真的失去了熱心,漸漸冷淡退後,知道這是何等可惜的事,
[00:13:52.000 --> 00:14:21.000]  (下話)
[00:14:21.000 --> 00:14:40.000]  把我們心靈裡面的一切不聖潔的地方都焚燒光顯,這是最異象的第二個,這是在以色列書六章六節,在以色列書六章六節,大家都記得這個異象,
[00:14:40.000 --> 00:15:09.000]  (下話)
[00:15:09.000 --> 00:15:12.000]  用來沾他的口,
[00:15:12.000 --> 00:15:15.000]  (下話)
[00:15:15.000 --> 00:15:18.000]  經過以後,就說你的罪盡了,
[00:15:18.000 --> 00:15:19.000]  (下話)
[00:15:19.000 --> 00:15:21.000]  你得到潔淨了,
[00:15:21.000 --> 00:15:22.000]  (下話)
[00:15:22.000 --> 00:15:24.000]  這個炭火是從哪裡出來的?
[00:15:24.000 --> 00:15:25.000]  (下話)
[00:15:25.000 --> 00:15:28.000]  這個炭火是從祭壇上出來的,
[00:15:28.000 --> 00:15:29.000]  (下話)
[00:15:29.000 --> 00:15:30.000]  是從祭壇上拎出來的,
[00:15:30.000 --> 00:15:31.000]  (下話)
[00:15:31.000 --> 00:15:32.000]  祭壇代表什麼意思?
[00:15:32.000 --> 00:15:33.000]  (下話)
[00:15:33.000 --> 00:15:34.000]  祭壇是代表什麼意思?
[00:15:34.000 --> 00:15:35.000]  (下話)
[00:15:35.000 --> 00:15:36.000]  代表兩個意思,
[00:15:36.000 --> 00:15:37.000]  (下話)
[00:15:37.000 --> 00:15:41.000]  第一,是贖罪的祭壇,
[00:15:41.000 --> 00:15:42.000]  (下話)
[00:15:42.000 --> 00:15:43.000]  是贖罪的祭壇,
