
[00:00:00.000 --> 00:00:03.360]  我記得在去年我們舉辦了一次報道聚會
[00:00:03.360 --> 00:00:06.080]  我們邀請一位青年姐妹
[00:00:06.080 --> 00:00:08.360]  講述她自己家庭的經歷
[00:00:08.360 --> 00:00:11.320]  在當時播放一部電影
[00:00:11.320 --> 00:00:13.320]  講述她們的家庭
[00:00:13.320 --> 00:00:15.920]  從最初一個很大的糾紛
[00:00:15.920 --> 00:00:18.840]  去到一個和諧的家庭狀況
[00:00:18.840 --> 00:00:20.840]  整個過程是怎樣的
[00:00:20.840 --> 00:00:24.120]  在當中聽的時候感受很深
[00:00:24.120 --> 00:00:27.080]  當時這位少年這位青年說
[00:00:27.080 --> 00:00:30.160]  她早期的時候覺得父母不愛護她
[00:00:30.160 --> 00:00:32.520]  因為父母只是關心自己的工作
[00:00:32.520 --> 00:00:34.200]  沒有陪伴她
[00:00:34.200 --> 00:00:36.960]  因此慢慢開始變得很反叛
[00:00:36.960 --> 00:00:39.800]  她開始群組一群不好的朋友
[00:00:39.800 --> 00:00:41.560]  甚至很多時候很晚回家
[00:00:41.560 --> 00:00:43.800]  甚至很多在家的時候
[00:00:43.800 --> 00:00:46.640]  就和家人有很多的糾紛
[00:00:46.640 --> 00:00:49.080]  面對自己的媽媽可以直接地
[00:00:49.080 --> 00:00:52.880]  用很粗俗的言語來責罵母親
[00:00:52.880 --> 00:00:54.360]  在整個過程裏面
[00:00:54.360 --> 00:00:56.080]  因為家庭很傷害
[00:00:56.080 --> 00:00:58.080]  大家有很大的掙扎
[00:00:58.080 --> 00:01:01.840]  後來這位女兒被學校開除
[00:01:01.840 --> 00:01:04.240]  不再讓她回學校
[00:01:04.240 --> 00:01:06.800]  在過程裏面這位女兒可能心裏想
[00:01:06.800 --> 00:01:08.800]  我沒有學校讀書
[00:01:08.800 --> 00:01:10.560]  或者父母更加有原因
[00:01:10.560 --> 00:01:13.440]  去責備我、排斥我
[00:01:13.440 --> 00:01:15.280]  但在那個時候突然間她體會到
[00:01:15.280 --> 00:01:17.120]  父母其實原來愛她
[00:01:17.120 --> 00:01:19.040]  因為爸爸很樂意
[00:01:19.040 --> 00:01:20.240]  不去責備她
[00:01:20.240 --> 00:01:22.160]  而在旁邊陪著她
[00:01:22.160 --> 00:01:24.520]  一間一間學校地去找
[00:01:24.520 --> 00:01:27.480]  直至她最後找到一間學校
[00:01:27.480 --> 00:01:29.360]  願意接納她
[00:01:29.360 --> 00:01:31.200]  她記得當爸爸
[00:01:31.200 --> 00:01:33.240]  載她去一個地方的時候
[00:01:33.240 --> 00:01:35.800]  就和她一起很小心地祈禱
[00:01:35.800 --> 00:01:38.800]  還想保守她、賜她學校
[00:01:38.800 --> 00:01:40.680]  捉著她的手一直為她祈禱
[00:01:40.680 --> 00:01:42.320]  然後說你放心進去
[00:01:42.320 --> 00:01:44.920]  試試這間學校行不行
[00:01:44.920 --> 00:01:46.840]  在整個過程中突然間這位女兒發覺
[00:01:46.840 --> 00:01:49.240]  原來爸爸愛我的
[00:01:49.240 --> 00:01:51.320]  不是說當我犯錯
[00:01:51.320 --> 00:01:54.320]  他就要排斥我、責備我
[00:01:54.320 --> 00:01:57.520]  沒錯有些時候會有教導、會有管教
[00:01:57.520 --> 00:02:00.160]  但實在父母是愛我
[00:02:00.160 --> 00:02:02.000]  在那個醒悟當中
[00:02:02.000 --> 00:02:04.400]  這個青年就改變
[00:02:04.400 --> 00:02:07.280]  後來他們家庭重新有和諧的關係
[00:02:07.280 --> 00:02:09.800]  甚至拍了一套簡單的電影
[00:02:09.800 --> 00:02:11.720]  然後向很多的教徒
[00:02:11.720 --> 00:02:14.200]  講述他們的見證
[00:02:14.200 --> 00:02:15.680]  當我看的時候就體會到
[00:02:15.680 --> 00:02:17.080]  在過程當中
[00:02:17.080 --> 00:02:18.960]  一個人內心當他體會到
[00:02:18.960 --> 00:02:20.520]  父母的愛護的時候
[00:02:20.520 --> 00:02:21.720]  成為一種動力
[00:02:21.720 --> 00:02:23.960]  叫他生命改變
[00:02:23.960 --> 00:02:25.280]  同樣對教徒來說
[00:02:25.280 --> 00:02:27.000]  當你深刻地體會到
[00:02:27.000 --> 00:02:29.400]  你不是奴僕
[00:02:29.400 --> 00:02:31.400]  神待你不是因為你做錯事
[00:02:31.400 --> 00:02:34.960]  就必然要懲罰你、否定你
[00:02:34.960 --> 00:02:38.360]  因為上帝的愛是永不改變
[00:02:38.360 --> 00:02:40.880]  當你體會到祂對你的愛的時候
[00:02:40.880 --> 00:02:43.000]  你的生命產生一種動力
[00:02:43.000 --> 00:02:46.720]  可以改變和更新自己
[00:02:46.720 --> 00:02:48.400]  因此聖經常常鼓勵我們的心
[00:02:48.400 --> 00:02:50.000]  要明白神的愛
[00:02:50.000 --> 00:02:51.880]  要經歷祂的愛
[00:02:51.880 --> 00:02:55.000]  而領受祂要給我們生命的祝福
[00:02:55.000 --> 00:02:56.720]  在今天當我們看到這段聖經的時候
[00:02:56.720 --> 00:02:58.840]  一路強調不是奴僕
[00:02:58.840 --> 00:03:01.080]  我們是神的兒女
[00:03:01.080 --> 00:03:02.720]  首先在聖經第八章
[00:03:02.720 --> 00:03:06.240]  剛才讀的第十二節
[00:03:06.240 --> 00:03:07.440]  聖經一開始就說
[00:03:07.440 --> 00:03:10.040]  「弟兄們,這樣看來
[00:03:10.040 --> 00:03:13.240]  我們並不是欠肉體的債
