
[00:00:00.000 --> 00:00:02.000]  在剛才我們所讀的一段經文
[00:00:02.000 --> 00:00:06.000]  是記載在聶王記的一段經文
[00:00:06.000 --> 00:00:08.000]  是講到所羅門建完聖殿之後
[00:00:08.000 --> 00:00:13.000]  在上帝的面前有一個很長的禱告
[00:00:13.000 --> 00:00:17.000]  希望藉著所羅門建殿之後的禱告
[00:00:17.000 --> 00:00:19.000]  成為我們的提醒
[00:00:19.000 --> 00:00:23.000]  為何上帝要建立一個聖殿在以色列民當中
[00:00:23.000 --> 00:00:29.000]  為何上帝要建立孫愛嘉在這個地方去作自己的見證
[00:00:29.000 --> 00:00:36.000]  在上文更之前講到為何要建立聖殿
[00:00:36.000 --> 00:00:40.000]  其實聖殿的開始不是在所羅門
[00:00:40.000 --> 00:00:42.000]  是在所羅門的父親大衛
[00:00:42.000 --> 00:00:45.000]  大衛在生的年日
[00:00:45.000 --> 00:00:50.000]  他已經想去為上帝建立一個聖殿
[00:00:50.000 --> 00:00:53.000]  為何大衛要希望建立一個聖殿呢
[00:00:53.000 --> 00:00:55.000]  大衛曾經這樣講過
[00:00:55.000 --> 00:00:58.000]  他說我自己住在香柏木的宮裏
[00:00:58.000 --> 00:01:02.000]  但我和華的約櫃卻在帳幕當中
[00:01:02.000 --> 00:01:07.000]  所以他說我不忍心相信約櫃在帳幕的地方
[00:01:07.000 --> 00:01:10.000]  他希望為上帝建立一個聖殿
[00:01:10.000 --> 00:01:14.000]  然後放進約櫃在聖殿裏
[00:01:14.000 --> 00:01:19.000]  所以聖殿重要的地方不是在聖殿這個建築物裏
[00:01:19.000 --> 00:01:24.000]  而是最重要的是承載著上帝的約櫃
[00:01:24.000 --> 00:01:32.000]  約櫃是代表著上帝和一班以色列人納約的一個重要象徵
[00:01:32.000 --> 00:01:36.000]  代表著上帝去看顧一班以色列人
[00:01:36.000 --> 00:01:42.000]  亦代表著一班以色列人願意遵守上帝和他們納約
[00:01:42.000 --> 00:01:46.000]  願意遵循上帝的誡命去跟從上帝
[00:01:46.000 --> 00:01:53.000]  在這個時候所羅門建立好聖殿
[00:01:53.000 --> 00:01:58.000]  上帝對大衛說:在你的再生之年你不會建聖殿
[00:01:58.000 --> 00:02:04.000]  上帝的心意亦不是藉著大衛的手去建立聖殿
[00:02:04.000 --> 00:02:09.000]  而是上帝說:你的兒子必然會建立這個聖殿
[00:02:09.000 --> 00:02:12.000]  所以到所羅門的年代
[00:02:12.000 --> 00:02:15.000]  上帝的應許實現了
[00:02:15.000 --> 00:02:20.000]  上帝藉著所羅門的手去建立這個聖殿
[00:02:20.000 --> 00:02:24.000]  在這段經文22至26節裡
[00:02:24.000 --> 00:02:28.000]  所羅門開始的祈禱是說:上帝你的應許實現了
[00:02:28.000 --> 00:02:32.000]  祈求上帝的應許繼續實現
[00:02:32.000 --> 00:02:36.000]  聖殿被建立,其中上帝的應許被實現
[00:02:36.000 --> 00:02:41.000]  上帝曾經對大衛說過:
[00:02:41.000 --> 00:02:44.000]  如果你的子孫若謹慎自己的行為
[00:02:44.000 --> 00:02:47.000]  在我面前行事像你所行的一樣
[00:02:47.000 --> 00:02:50.000]  就不斷人在以色列的各位
[00:02:50.000 --> 00:02:53.000]  所羅門在上帝面前繼續有一個禱告
[00:02:53.000 --> 00:02:56.000]  上帝求你的應許繼續實現
[00:02:56.000 --> 00:03:00.000]  你曾說過如果大衛的子孫謹慎自己的言行
[00:03:00.000 --> 00:03:04.000]  去遵守你的道,帶領一班以色列人歸向你
[00:03:04.000 --> 00:03:09.000]  大衛的子孫就會不斷人在以色列的各位
[00:03:09.000 --> 00:03:13.000]  然後所羅門繼續說
[00:03:13.000 --> 00:03:17.000]  他再藉著禱告提醒一班以色列人
[00:03:17.000 --> 00:03:21.000]  我們所敬拜的上帝是一個怎樣的上帝
[00:03:21.000 --> 00:03:24.000]  當聖殿被建立起來的時候
[00:03:24.000 --> 00:03:26.000]  所羅門很清楚知道人的罪性
[00:03:26.000 --> 00:03:31.000]  他們也很清楚知道以色列人過去所發生的事情
[00:03:31.000 --> 00:03:37.000]  以色列人是很容易進入一個偶像的崇拜當中
[00:03:37.000 --> 00:03:40.000]  離開上帝進入一個偶像的崇拜裡
[00:03:40.000 --> 00:03:43.000]  在過去的歷史裡
[00:03:43.000 --> 00:03:46.000]  上帝拯救一班以色列人出埃及
[00:03:46.000 --> 00:03:48.000]  在西乃山當中
[00:03:48.000 --> 00:03:52.000]  上帝呼召摩西上西乃山去領受這個十誡
[00:03:52.000 --> 00:03:58.000]  接著一班以色列人在山下做了一個金牛獨
[00:03:58.000 --> 00:04:03.000]  這個金牛獨就是他們說的金牛獨
