
[00:00:00.000 --> 00:00:04.160]  今日和大家思想的題目就是「愛主是奉主」
[00:00:04.160 --> 00:00:07.280]  我預備的時候就很快想起一件事情
[00:00:07.280 --> 00:00:13.080]  十多年前我們所敬愛的藤近輝牧師和張家欽教士
[00:00:13.080 --> 00:00:18.320]  他們兩位在禮堂當中舉行一個結婚典禮
[00:00:18.320 --> 00:00:22.680]  當時我自己是主禮
[00:00:22.680 --> 00:00:24.680]  其中一點令我很深刻的就是
[00:00:24.680 --> 00:00:27.600]  當整個儀式差不多結束的時候
[00:00:27.600 --> 00:00:30.360]  他們兩位就一起唱了一首詩歌
[00:00:30.360 --> 00:00:32.920]  是二重唱
[00:00:32.920 --> 00:00:35.480]  唱詩歌的時候因為他們兩個站在那裡
[00:00:35.480 --> 00:00:36.840]  向著十字架唱
[00:00:36.840 --> 00:00:38.520]  我就站在上面
[00:00:38.520 --> 00:00:41.520]  所以我比較清楚看到他們的面容
[00:00:41.520 --> 00:00:44.760]  當他們兩位唱的時候我心有很大的感動
[00:00:44.760 --> 00:00:46.440]  他們唱什麼詩歌呢?
[00:00:46.440 --> 00:00:50.560]  就是我們熟悉的「事主蒙福」
[00:00:50.560 --> 00:00:51.680]  當他們唱的時候他說
[00:00:51.680 --> 00:00:57.520]  「是奉主耶穌心快樂得滿足」
[00:00:57.520 --> 00:01:01.520]  「在主裡面的喜樂純一不容俗」
[00:01:01.520 --> 00:01:03.640]  一邊唱一邊唱
[00:01:03.640 --> 00:01:06.080]  我就看到兩位的前輩
[00:01:06.080 --> 00:01:08.760]  他們一生侍奉神
[00:01:08.760 --> 00:01:12.320]  但仍然在神的面前表達出那種感恩
[00:01:12.320 --> 00:01:15.240]  深深地說出他們自己的信念
[00:01:15.240 --> 00:01:18.120]  「事主是蒙福」
[00:01:18.120 --> 00:01:20.240]  而他們的詩歌都不斷鼓勵我的心
[00:01:20.240 --> 00:01:22.240]  就是要侍奉主
[00:01:22.240 --> 00:01:25.680]  一生學習去侍奉主
