
[00:00:00.000 --> 00:00:07.000]  今日嘅題目分題就係「獲得誠信正直質素嘅備權」
[00:00:07.000 --> 00:00:10.000]  第三章一到十六節
[00:00:10.000 --> 00:00:16.000]  其實呢一段好寶貴嘅經文可以用幾堂嚟講
[00:00:16.000 --> 00:00:19.000]  不過因為培靈會只係咁短嘅幾日
[00:00:19.000 --> 00:00:25.000]  所以我只能夠係今日好濃縮嘅將呢一段最寶貴
[00:00:25.000 --> 00:00:32.000]  內容最豐富亦都係菲律賓書裏面最精彩嘅一段嘅信息
[00:00:32.000 --> 00:00:37.000]  用三個大綱比佢講完
[00:00:37.000 --> 00:00:40.000]  要獲得誠信嘅秘訣就係要第一
[00:00:40.000 --> 00:00:44.000]  要放棄人為嘅資歷背景一到八節
[00:00:44.000 --> 00:00:51.000]  第二就係要係屬靈上不斷嘅成長第九到十一節
[00:00:51.000 --> 00:01:00.000]  最後就係信仰上要奮力嘅進取第十二到十六節
[00:01:00.000 --> 00:01:03.000]  剛才我哋讀呢段聖經嘅時候
[00:01:03.000 --> 00:01:05.000]  唔知大家有冇留意到
[00:01:05.000 --> 00:01:08.000]  係第二節裏面保羅講一句說話
[00:01:08.000 --> 00:01:12.000]  佢話防備犬類
[00:01:12.000 --> 00:01:16.000]  呢個犬類即係狗啦係咪
[00:01:16.000 --> 00:01:22.000]  保羅係鬧人
[00:01:22.000 --> 00:01:24.000]  鬧咩呀
[00:01:24.000 --> 00:01:26.000]  你留心啲狗呀
[00:01:26.000 --> 00:01:30.000]  好特別係咪
[00:01:30.000 --> 00:01:34.000]  但如果你對保羅嘅背景有啲認識嘅話呢
[00:01:34.000 --> 00:01:40.000]  你就唔會稀奇點解佢會用咁粗俗嘅說話
[00:01:40.000 --> 00:01:46.000]  我哋知道保羅本身嘅性格係激烈嘅
[00:01:46.000 --> 00:01:51.000]  雖然佢嘅文化水平係好高嘅
[00:01:51.000 --> 00:01:56.000]  大家知道佢係受過希臘羅馬嘅訓練
[00:01:56.000 --> 00:01:58.000]  用今日嘅眼光嚟睇
[00:01:58.000 --> 00:02:02.000]  佢真係得到今日好多大學所頒授嘅PhD
[00:02:02.000 --> 00:02:04.000]  即係哲學博士學位
[00:02:04.000 --> 00:02:06.000]  即係佢水平好高嘅一個人
[00:02:06.000 --> 00:02:12.000]  但係好得意嘅係佢行為表現嘅方面
[00:02:12.000 --> 00:02:16.000]  有時好似同佢嘅文化水平好唔相稱
[00:02:16.000 --> 00:02:24.000]  喺哥倫多後書第十一章第六節請大家睇
[00:02:24.000 --> 00:02:31.000]  哥倫多後書第十一章第六節
[00:02:31.000 --> 00:02:34.000]  保羅自己承認
[00:02:34.000 --> 00:02:37.000]  佢嘅知識唔粗俗
[00:02:37.000 --> 00:02:41.000]  但佢言語係粗俗嘅
[00:02:41.000 --> 00:02:48.000]  哥倫多後書第十一章第六節
[00:02:48.000 --> 00:02:51.000]  我嘅言語雖然粗俗
[00:02:51.000 --> 00:02:54.000]  我嘅知識卻不粗俗
[00:02:54.000 --> 00:02:57.000]  呢個講得好清楚
[00:02:57.000 --> 00:03:01.000]  佢講說話呢係有時不留餘地嘅
[00:03:01.000 --> 00:03:02.000]  好激烈嘅
[00:03:02.000 --> 00:03:05.000]  所以俾人感覺係粗俗嘅
[00:03:05.000 --> 00:03:09.000]  有一次我哋喺神樂園嘅飯堂食飯嘅時候
[00:03:09.000 --> 00:03:11.000]  我哋幾位老師一齊講
[00:03:11.000 --> 00:03:14.000]  就話如果比較保羅同彼得
[00:03:14.000 --> 00:03:16.000]  彼得係斯文好多
[00:03:16.000 --> 00:03:18.000]  雖然係漁夫出身
[00:03:18.000 --> 00:03:21.000]  但係佢所寫嘅說話好優美
[00:03:21.000 --> 00:03:22.000]  從來好少責備人
[00:03:22.000 --> 00:03:25.000]  反而係保羅責備彼得
[00:03:25.000 --> 00:03:27.000]  係咪
[00:03:27.000 --> 00:03:29.000]  喺加亞太書裏面
[00:03:29.000 --> 00:03:32.000]  曾經責備過彼得話彼得裝假
[00:03:32.000 --> 00:03:37.000]  咁你顯露出保羅係一個正義感好強烈嘅人嚟嘅
[00:03:37.000 --> 00:03:39.000]  佢對嗰啲得意嘅事呢
[00:03:39.000 --> 00:03:42.000]  佢係好不能夠容忍嘅
