
[00:00:00.000 --> 00:00:01.280]  今年教會的主題
[00:00:01.280 --> 00:00:04.280]  希望幫助大家再一次思想
[00:00:04.280 --> 00:00:08.600]  在宣導會所講的四重福音的內容和意義
[00:00:08.600 --> 00:00:09.880]  究竟是什麼
[00:00:09.880 --> 00:00:11.160]  在過去幾個月
[00:00:11.160 --> 00:00:12.440]  我們在不同的講道裡面
[00:00:12.440 --> 00:00:13.520]  我們都去講
[00:00:13.520 --> 00:00:16.040]  基督是拯救的主
[00:00:16.040 --> 00:00:18.960]  基督是誠信的主
[00:00:18.960 --> 00:00:21.240]  今天我們再去思想
[00:00:21.240 --> 00:00:22.880]  基督是醫治的主
[00:00:22.880 --> 00:00:24.360]  這個意思
[00:00:24.360 --> 00:00:25.320]  我們所讀的經文
[00:00:25.320 --> 00:00:29.080]  在《路加福音》13章的1至17節
[00:00:29.080 --> 00:00:31.280]  在這段經文的上文裡面
[00:00:31.280 --> 00:00:35.440]  可以說耶穌已經強調了一個很重要的信息
[00:00:35.440 --> 00:00:39.520]  就是人會分辨天氣的變幻
[00:00:39.520 --> 00:00:42.840]  當我們見到天有默雲的時候
[00:00:42.840 --> 00:00:45.000]  我們知道要下雨了
[00:00:45.000 --> 00:00:48.960]  耶穌說人要分辨天氣的氣息的時候
[00:00:48.960 --> 00:00:50.560]  其實是強調一樣東西
[00:00:50.560 --> 00:00:53.640]  就是既然我們都懂得分辨天氣
[00:00:53.640 --> 00:00:54.720]  那個什麼時候下雨
[00:00:54.720 --> 00:00:56.120]  什麼時候有太陽
[00:00:56.120 --> 00:00:57.640]  我們應該要去分辨
[00:00:57.640 --> 00:01:00.280]  現在已經是到了一個末世
[00:01:00.280 --> 00:01:02.880]  上帝的審判即將來臨
[00:01:02.880 --> 00:01:05.960]  所以我們要去把握這個機會
[00:01:05.960 --> 00:01:06.760]  去回轉
[00:01:06.760 --> 00:01:07.600]  去悔改
[00:01:07.600 --> 00:01:09.160]  歸向上帝
[00:01:09.160 --> 00:01:10.520]  在這段經文裡面
[00:01:10.520 --> 00:01:14.840]  基本上是在延續一個悔改的主題
[00:01:14.840 --> 00:01:16.120]  人若不悔改
[00:01:16.120 --> 00:01:18.200]  都要如此滅亡
[00:01:18.200 --> 00:01:22.720]  但是這段經文也不單只是重複一個悔改的主題
[00:01:22.720 --> 00:01:26.320]  也再去更深的思考一個問題
[00:01:26.320 --> 00:01:28.600]  哪些人需要悔改
[00:01:28.600 --> 00:01:30.800]  猶太人需不需要悔改呢
[00:01:30.800 --> 00:01:33.360]  還是外邦人需要悔改呢
[00:01:33.360 --> 00:01:34.640]  耶穌在這裡說
[00:01:34.640 --> 00:01:36.320]  其實很重要的一個訊息
[00:01:36.320 --> 00:01:38.320]  世人都要悔改
[00:01:38.320 --> 00:01:40.680]  每一個人都需要悔改
[00:01:40.680 --> 00:01:43.680]  耶穌在這裡用了兩個不同的災難
[00:01:43.680 --> 00:01:48.360]  在這裡帶出了這麼重要的一個訊息
[00:01:48.360 --> 00:01:51.320]  在之後的無花果樹的比喻裡面
[00:01:51.320 --> 00:01:52.640]  同樣是說到
[00:01:52.640 --> 00:01:55.680]  不單止外邦人要悔改
[00:01:55.680 --> 00:01:58.800]  猶太人也需要悔改這麼重要的訊息
[00:01:58.800 --> 00:02:01.160]  接著在第十三章的第一節
[00:02:01.160 --> 00:02:02.120]  就這麼說
[00:02:02.120 --> 00:02:07.160]  正當那時有人將比拉多使加利利人的血
[00:02:07.160 --> 00:02:10.120]  參雜在他們祭物中的事
[00:02:10.120 --> 00:02:12.240]  告訴耶穌
[00:02:12.240 --> 00:02:15.880]  在路加夫林篇第三章已經說了
[00:02:15.880 --> 00:02:21.440]  當時管理猶大地區和撒瑪利亞地區的一個官員
[00:02:21.440 --> 00:02:22.880]  叫做比拉多
[00:02:22.880 --> 00:02:24.480]  他是一個羅馬的官長
[00:02:24.480 --> 00:02:28.640]  他的責任基本上是維持地區的一個穩定
[00:02:28.640 --> 00:02:31.000]  讓人們都好好地生活
[00:02:31.000 --> 00:02:35.000]  不過比拉多和當時的猶太人
[00:02:35.000 --> 00:02:37.320]  發生了很多次的衝突
[00:02:37.320 --> 00:02:39.080]  根據一些歷史的記載
[00:02:39.080 --> 00:02:43.320]  比拉多曾經在聖殿裡面放了一個軍旗
[00:02:43.320 --> 00:02:45.880]  這個軍旗裡面有一個皇帝的像
[00:02:45.880 --> 00:02:51.080]  這是當時猶太人極之不想看到的一件事情
[00:02:51.080 --> 00:02:55.920]  比拉多也盜用了一些聖殿的公款
[00:02:55.920 --> 00:02:57.800]  去資助一些項目
[00:02:57.800 --> 00:03:00.800]  也引來了很多猶太人的不滿
[00:03:00.800 --> 00:03:02.200]  在過程中
[00:03:02.200 --> 00:03:04.880]  比拉多殺了不少猶太人
[00:03:04.880 --> 00:03:06.280]  這裡說到
[00:03:06.280 --> 00:03:09.240]  有些加利利人獻祭的時候
[00:03:09.240 --> 00:03:10.840]  被比拉多殺了
[00:03:10.840 --> 00:03:13.360]  大概是有些加利利猶太人
[00:03:13.360 --> 00:03:14.520]  他們獻祭的時候
[00:03:14.520 --> 00:03:15.800]  因為某些原因
[00:03:15.800 --> 00:03:16.960]  有些是蘇聯
[00:03:16.960 --> 00:03:20.760]  所以引來一些軍事的鎮壓
[00:03:20.760 --> 00:03:23.800]  有些人因此而失去了生命
[00:03:23.800 --> 00:03:26.160]  有些人來到耶穌面前
[00:03:26.160 --> 00:03:28.200]  去將事情告訴耶穌
[00:03:28.200 --> 00:03:30.120]  是不是這一群人
[00:03:30.120 --> 00:03:34.800]  這一群人在獻祭過程中
[00:03:34.800 --> 00:03:39.000]  他們的血參雜在祭物當中
[00:03:39.000 --> 00:03:41.280]  是不是代表著他們得罪上帝
[00:03:41.280 --> 00:03:43.920]  以至上帝給他們刑罰呢
[00:03:43.920 --> 00:03:46.840]  接著耶穌在這裡說一件事
[00:03:46.840 --> 00:03:49.720]  就是你們不要以為
[00:03:49.720 --> 00:03:54.120]  這一群人比你們更有罪
[00:03:54.120 --> 00:03:56.560]  這一群人來到耶穌面前問這個問題
[00:03:56.560 --> 00:03:58.360]  其實是說出
[00:03:58.360 --> 00:03:59.920]  這一群人
[00:03:59.920 --> 00:04:02.960]  他們受了這樣的事件
[00:04:02.960 --> 00:04:04.680]  證明他們應該有罪
[00:04:04.680 --> 00:04:05.880]  被上帝審判
[00:04:05.880 --> 00:04:07.680]  我們是清白的
[00:04:07.680 --> 00:04:09.240]  我們現在好端端
[00:04:09.240 --> 00:04:11.000]  我們現在很平安很平穩
[00:04:11.000 --> 00:04:13.360]  所以我們是清白的
[00:04:13.360 --> 00:04:14.680]  我們在上帝面前
[00:04:14.680 --> 00:04:17.040]  我們是一個很安心的
[00:04:17.040 --> 00:04:19.360]  就是一個清白無辜的人
[00:04:19.360 --> 00:04:21.760]  耶穌在這裡不是這樣說
[00:04:21.760 --> 00:04:23.960]  耶穌在這裡帶出了
[00:04:23.960 --> 00:04:25.560]  你們不要以為
[00:04:25.560 --> 00:04:27.880]  看到那群人
[00:04:27.880 --> 00:04:29.440]  有這樣的災難的時候
[00:04:29.440 --> 00:04:31.440]  你就以為自己是清白的
[00:04:31.440 --> 00:04:35.240]  耶穌在這裡糾正他們的觀念
