
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 主宰庭安
[00:00:02.000 --> 00:00:07.000]  在上個主日的崇拜裏面
[00:00:07.000 --> 00:00:10.000]  講完就提醒我們要有一個孩子的心
[00:00:10.000 --> 00:00:14.000]  所以今天我就想和大家找一個小測試
[00:00:14.000 --> 00:00:17.000]  就想看看我們希同弟兄姊妹
[00:00:17.000 --> 00:00:21.000]  還有沒有童心 或者還有多少童心在裏面
[00:00:21.000 --> 00:00:23.000]  你說怎樣測試呀
[00:00:23.000 --> 00:00:26.000]  一會兒在炎光幕裏面
[00:00:26.000 --> 00:00:29.000]  就會有一些圖片 或者相片在裏面
[00:00:29.000 --> 00:00:35.000]  都是一些我們小時候應該有玩過的經典遊戲
[00:00:35.000 --> 00:00:39.000]  我想你們看看可不可以馬上說出是甚麼遊戲
[00:00:39.000 --> 00:00:41.000]  OK 準備好了沒有
[00:00:41.000 --> 00:00:44.000]  好了 我們事不宜遲 開始了
[00:00:44.000 --> 00:00:47.000]  OK 是甚麼遊戲呢
[00:00:47.000 --> 00:00:49.000]  飛機 有多少人玩過
[00:00:49.000 --> 00:00:52.000]  哦 都不少
[00:00:52.000 --> 00:00:55.000]  好 接下來這個 是甚麼呢
[00:00:57.000 --> 00:00:59.000]  嘩 你們很厲害
[00:00:59.000 --> 00:01:03.000]  因為小時候 出第一張照片的時候
[00:01:03.000 --> 00:01:05.000]  他們不太猜得到
[00:01:05.000 --> 00:01:07.000]  就是護理先生多少點
[00:01:07.000 --> 00:01:09.000]  有多少人喜歡玩這個
[00:01:09.000 --> 00:01:12.000]  還有沒有童心
[00:01:12.000 --> 00:01:16.000]  我特別看到姨姨和梓浩同一時間舉手
[00:01:16.000 --> 00:01:19.000]  好搞笑 你們無恥
[00:01:19.000 --> 00:01:22.000]  好 接著這個是甚麼呢
[00:01:22.000 --> 00:01:24.000]  為甚麼冷卻了
[00:01:26.000 --> 00:01:28.000]  朴莉莉
[00:01:28.000 --> 00:01:30.000]  哦 朴莉莉有紅綠燈
[00:01:30.000 --> 00:01:34.000]  這個就是紅綠燈過馬路要小心
[00:01:34.000 --> 00:01:38.000]  這兩張照片都是我們幼稚級小朋友真實的圖片
[00:01:38.000 --> 00:01:41.000]  他們通常團契結束了
[00:01:41.000 --> 00:01:43.000]  等父母來接他們之前
[00:01:43.000 --> 00:01:47.000]  都會很想邀請導師和他們玩紅綠燈
[00:01:47.000 --> 00:01:50.000]  OK 好了 最後一個
[00:01:50.000 --> 00:01:52.000]  這個是甚麼遊戲呢
[00:01:52.000 --> 00:01:54.000]  嘩 這個很容易問
[00:01:54.000 --> 00:01:56.000]  螞蟻捉雞仔
[00:01:56.000 --> 00:01:59.000]  看到剛才的圖片
[00:01:59.000 --> 00:02:02.000]  大家的童年回憶會不會都回來了
[00:02:02.000 --> 00:02:04.000]  是不是很久沒玩過了
[00:02:04.000 --> 00:02:09.000]  所以我經常覺得
[00:02:09.000 --> 00:02:12.000]  很鼓勵弟兄姊妹來兒童部服侍
[00:02:12.000 --> 00:02:13.000]  就是為甚麼呢
[00:02:13.000 --> 00:02:14.000]  因為像我這樣
[00:02:14.000 --> 00:02:17.000]  我其實很喜歡玩這些小朋友遊戲
[00:02:17.000 --> 00:02:18.000]  但人長大了
[00:02:18.000 --> 00:02:20.000]  你叫我的朋友跟我玩
[00:02:20.000 --> 00:02:22.000]  都不會理你 覺得很幼稚
[00:02:22.000 --> 00:02:24.000]  但你在兒童部和小朋友玩
[00:02:24.000 --> 00:02:27.000]  整件事就很合理 很開心
[00:02:27.000 --> 00:02:29.000]  人家還會覺得你很有愛心
[00:02:29.000 --> 00:02:31.000]  這樣提起小朋友
[00:02:31.000 --> 00:02:34.000]  其實表面上是陪他們玩
[00:02:34.000 --> 00:02:37.000]  但事實上其實是他們陪我們玩
[00:02:37.000 --> 00:02:40.000]  給我們機會去做小朋友
[00:02:40.000 --> 00:02:43.000]  不知道剛才那幾個遊戲裏
[00:02:43.000 --> 00:02:46.000]  大家最喜歡是哪一個
