
[00:00:00.000 --> 00:00:03.520]  今晚繼續和大家一起看傳道書
[00:00:03.520 --> 00:00:06.520]  如果大家手上沒有新譯本的話
[00:00:06.520 --> 00:00:08.320]  你可以打開畫本
[00:00:08.320 --> 00:00:11.600]  因為今天我們不只是讀剛才那幾節聖經
[00:00:11.600 --> 00:00:18.000]  我們也會看更多傳道書裏面的經文
[00:00:18.000 --> 00:00:21.000]  不過你發覺我讀起來有少少不同
[00:00:21.000 --> 00:00:23.800]  不要緊 因為這是新譯本
[00:00:23.800 --> 00:00:27.400]  到時我會解釋給大家聽
[00:00:27.400 --> 00:00:30.800]  今天是第二天來講傳道書
[00:00:30.800 --> 00:00:32.800]  不過如果昨天你沒有來也不要緊
[00:00:32.800 --> 00:00:34.800]  我們每天有一個題目
[00:00:34.800 --> 00:00:38.800]  昨天我們特別集中在傳道書後半
[00:00:38.800 --> 00:00:41.800]  第十一章和第十二章來講
[00:00:41.800 --> 00:00:44.800]  傳道書的作者所羅門王
[00:00:44.800 --> 00:00:48.800]  他經驗了人生最豐富的東西
[00:00:48.800 --> 00:00:50.800]  擁有過權力
[00:00:50.800 --> 00:00:53.800]  享受過財富和美女
[00:00:53.800 --> 00:00:58.800]  到晚年的時候他寫傳道書的時候
[00:00:58.800 --> 00:01:00.800]  反而有很多人生的唏噓
[00:01:00.800 --> 00:01:03.800]  但也有很多人生的智慧
[00:01:03.800 --> 00:01:06.800]  昨天我們看到無論你多厲害
[00:01:06.800 --> 00:01:08.800]  無論你多強壯
[00:01:08.800 --> 00:01:10.800]  無論你多不認輸
[00:01:10.800 --> 00:01:12.800]  你熬到這麼上下
[00:01:12.800 --> 00:01:15.800]  衰敗的日子也要來的
[00:01:15.800 --> 00:01:17.800]  老了嘛
[00:01:17.800 --> 00:01:21.800]  不過人生這個衰敗的日子就是提醒我們
[00:01:21.800 --> 00:01:25.800]  當衰敗日子尚未來到之先
[00:01:25.800 --> 00:01:27.800]  最重要是這幾個字
[00:01:27.800 --> 00:01:29.800]  不單止知道衰敗日子一定會來
[00:01:29.800 --> 00:01:31.800]  就是等它未來到之先
[00:01:31.800 --> 00:01:34.800]  我們要好好把握這個機會
