
[00:00:00.000 --> 00:00:04.600]  好,我們給最大的掌聲我們這位信實慈愛的主
[00:00:04.600 --> 00:00:07.400]  我們在座每一位都是經歷過神
[00:00:07.400 --> 00:00:10.200]  如果你沒有經歷過,盼望在未來的日子
[00:00:10.200 --> 00:00:13.600]  在崇拜當中你都能夠經歷更多
[00:00:13.600 --> 00:00:15.800]  其實我們真的很蒙福
[00:00:15.800 --> 00:00:17.600]  我們剛剛經歷了颱風
[00:00:17.600 --> 00:00:19.800]  這個颱風都挺厲害的
[00:00:19.800 --> 00:00:21.400]  我們都八號風球了
[00:00:21.400 --> 00:00:23.400]  它只是吹歪了一點點
[00:00:23.400 --> 00:00:28.800]  不過盼望它所到之處都能夠減少傷亡
[00:00:28.800 --> 00:00:30.800]  其實我們在香港我們的城市
[00:00:30.800 --> 00:00:32.600]  時常都經歷到神的恩典
[00:00:32.600 --> 00:00:34.000]  不知道大家有沒有
[00:00:34.000 --> 00:00:36.600]  就在兩個多月之前
[00:00:36.600 --> 00:00:37.800]  你有沒有留意到
[00:00:37.800 --> 00:00:40.800]  原來衛生防護中心證實
[00:00:40.800 --> 00:00:43.800]  我們是有一宗麻風個案
[00:00:43.800 --> 00:00:47.800]  是麻風病,不是麻疹
[00:00:47.800 --> 00:00:50.600]  但是我們在香港裡面
[00:00:50.600 --> 00:00:52.800]  很多人都已經接種了卡介苗
[00:00:52.800 --> 00:00:54.400]  原來有預防的
[00:00:54.400 --> 00:00:56.200]  也都不容易人傳人的
[00:00:56.200 --> 00:00:59.400]  所以我們不用太擔心
[00:00:59.400 --> 00:01:03.600]  今天跟大家分享這個小不小
[00:01:03.600 --> 00:01:06.200]  去到第十八講
[00:01:06.200 --> 00:01:09.600]  跟大家分享的正是有關於麻風病
[00:01:09.600 --> 00:01:12.600]  裡面所說的是十個麻風病人
[00:01:12.600 --> 00:01:14.000]  真的不少
[00:01:14.000 --> 00:01:17.600]  而其中有一位我們特別要注意
[00:01:17.600 --> 00:01:20.600]  他生命裡面對我們有很多的提醒
[00:01:20.600 --> 00:01:23.000]  所以我的題目是1比9
[00:01:23.000 --> 00:01:24.800]  這個讀作1比9
[00:01:24.800 --> 00:01:27.000]  我們經文是《路加福音》十七章
[00:01:27.000 --> 00:01:28.400]  十一至十九節
[00:01:28.400 --> 00:01:30.400]  大家都可以打開經文
[00:01:30.400 --> 00:01:33.200]  我們留意這個是獨有經文
[00:01:33.200 --> 00:01:36.400]  獨家的報導
[00:01:36.400 --> 00:01:38.200]  我們知道《路加福音》
[00:01:38.200 --> 00:01:40.000]  他的作者是路加
[00:01:40.000 --> 00:01:42.000]  是什麼人來的?
[00:01:42.000 --> 00:01:43.800]  他是醫生
[00:01:43.800 --> 00:01:45.600]  他是一位醫生
[00:01:45.600 --> 00:01:48.000]  他對於醫治的神蹟
[00:01:48.000 --> 00:01:51.200]  是特別的敏銳和體重
[00:01:51.200 --> 00:01:54.400]  也都他的可信度是非常高的
[00:01:54.400 --> 00:01:56.800]  我們進入經文裡面看看
[00:01:56.800 --> 00:02:01.200]  當時耶穌基督正前往耶路撒冷
[00:02:01.200 --> 00:02:06.200]  他經過撒瑪利亞和加利利中間的地帶
[00:02:06.200 --> 00:02:08.600]  當他進入一個村的時候
[00:02:08.600 --> 00:02:12.800]  有十個麻風病人迎著面而來
[00:02:12.800 --> 00:02:15.000]  遠遠的站著
[00:02:15.000 --> 00:02:17.200]  來到高聲跟他說話
[00:02:17.200 --> 00:02:21.200]  十個麻風病人真的不少
[00:02:21.200 --> 00:02:26.000]  你看看其實是等於你前後左右一大堆人
[00:02:26.000 --> 00:02:28.800]  十個麻風病人是不少
[00:02:28.800 --> 00:02:32.000]  而且當時麻風病是非常驚嚇
[00:02:32.000 --> 00:02:36.000]  幾乎是沒有辦法去醫治絕症
[00:02:36.000 --> 00:02:37.600]  是非常被厭棄
[00:02:37.600 --> 00:02:39.400]  所以他們遠遠站著
[00:02:39.400 --> 00:02:40.200]  為什麼?
[00:02:40.200 --> 00:02:41.800]  從舊約有律法開始
[00:02:41.800 --> 00:02:44.000]  在《理美記》十三章裡面記載
[00:02:44.000 --> 00:02:46.400]  他們是要遠離人群的
[00:02:46.400 --> 00:02:49.800]  待會我們講多一點
[00:02:49.800 --> 00:02:52.600]  在往後的經文你會留意到
[00:02:52.600 --> 00:02:55.000]  你會看到這十個當中
[00:02:55.000 --> 00:02:58.000]  其中有一位是撒瑪利亞人
