
[00:00:00.000 --> 00:00:03.120]  各位朋友 各位弟兄姊妹 轉內平安
[00:00:03.120 --> 00:00:05.120]  轉內平安
[00:00:05.120 --> 00:00:09.760]  今天一開始我想先跟大家有一個故事開始
[00:00:09.760 --> 00:00:12.640]  話說在某一個地方
[00:00:12.640 --> 00:00:16.840]  有一道很高很高的紅色的牆
[00:00:16.840 --> 00:00:20.560]  它延伸到很遠很遠 看不到盡頭
[00:00:20.560 --> 00:00:22.960]  沒有人見過它的起點
[00:00:22.960 --> 00:00:25.160]  也沒有人見過它的終點
[00:00:25.160 --> 00:00:30.440]  更加沒有人知道其實這道牆最初是怎樣出現的呢
[00:00:30.440 --> 00:00:34.600]  而住在裡面的人似乎也不太關心
[00:00:34.600 --> 00:00:38.520]  不過在那裡有一隻小老鼠
[00:00:38.520 --> 00:00:40.720]  這隻小老鼠它覺得很好奇
[00:00:40.720 --> 00:00:46.360]  它很想很想知道這道紅色的牆外面有些什麼呢
[00:00:46.360 --> 00:00:49.640]  於是它四周找人去問
[00:00:49.640 --> 00:00:53.480]  結果得到不同的回應
[00:00:53.480 --> 00:00:56.400]  包括有一隻大的貓
[00:00:56.400 --> 00:00:58.040]  這隻貓一聽到這個問題
[00:00:58.040 --> 00:01:01.160]  它馬上覺得很慌張很害怕
[00:01:01.160 --> 00:01:05.480]  它說牆外面的世界是很危險的
[00:01:05.480 --> 00:01:09.520]  所以這個牆是要保護我們的
[00:01:09.520 --> 00:01:15.040]  接著小老鼠就去問一隻老一點的黑色的熊
[00:01:15.040 --> 00:01:19.240]  覺得牠經驗豐富 應該吃的東西會比較多
[00:01:19.240 --> 00:01:22.000]  但是這隻老了的黑色的熊
[00:01:22.000 --> 00:01:25.800]  它說這個牆的存在已經習以為常
[00:01:25.800 --> 00:01:28.480]  甚至乎習慣到它覺得這個牆
[00:01:28.480 --> 00:01:32.360]  就好像是它生命的一部分一樣
[00:01:32.360 --> 00:01:35.320]  另外這隻黑熊跟小老鼠說
[00:01:35.320 --> 00:01:38.080]  我現在年紀都大了
[00:01:38.080 --> 00:01:40.960]  所以都不用問那麼多了
[00:01:40.960 --> 00:01:43.760]  它也沒有興趣去知道
[00:01:43.760 --> 00:01:48.600]  最後小老鼠問的是一隻狐狸
[00:01:48.600 --> 00:01:51.360]  這隻狐狸它很喜歡笑
[00:01:51.360 --> 00:01:54.120]  不過當它聽到小老鼠這個問題的時候
[00:01:54.120 --> 00:01:55.880]  它一點都不在乎
[00:01:55.880 --> 00:01:58.080]  它說I don't care
[00:01:58.080 --> 00:01:59.960]  在這裏就在這裏
[00:01:59.960 --> 00:02:01.680]  做人最重要是開心
[00:02:01.680 --> 00:02:03.840]  為什麼要理那麼多
[00:02:03.840 --> 00:02:06.920]  接著就走了
[00:02:06.920 --> 00:02:11.840]  武師原來還有最後一隻動物要出現
[00:02:11.840 --> 00:02:15.880]  就是一隻不再嘯叫的獅子
[00:02:15.880 --> 00:02:18.640]  獅子不再嘯叫為什麼呢
[00:02:18.640 --> 00:02:20.960]  也是沒有人知道的
[00:02:20.960 --> 00:02:24.720]  不過當小老鼠問這隻獅子說
[00:02:24.720 --> 00:02:26.800]  這個牆外面是什麼來的
[00:02:26.800 --> 00:02:29.080]  你會不會知道
[00:02:29.080 --> 00:02:33.280]  但是獅子跟小老鼠說
[00:02:33.280 --> 00:02:36.920]  牆外面?
[00:02:36.920 --> 00:02:40.640]  牆外面什麼都沒有
[00:02:40.640 --> 00:02:46.720]  接著它就不想再繼續這個話題了
[00:02:46.720 --> 00:02:48.920]  問完一隻又一隻
[00:02:48.920 --> 00:02:53.280]  大家都沒有回答到牆外面到底是什麼
[00:02:53.280 --> 00:02:56.480]  所以令到小老鼠非常非常疑惑
[00:02:56.480 --> 00:03:00.640]  那就是有什麼呢
[00:03:00.640 --> 00:03:01.920]  感謝主
[00:03:01.920 --> 00:03:05.840]  有一天有一隻藍色的小鳥
[00:03:05.840 --> 00:03:07.560]  它是一隻雌更鳥
[00:03:07.560 --> 00:03:11.240]  它就是在牆外面飛進來
[00:03:11.240 --> 00:03:13.200]  對於小老鼠來說它很開心
[00:03:13.200 --> 00:03:16.560]  因為這是一個很大很好的機會
